Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_calculate…(df,14)","Exit_calculate…(df,14)","Entry_find_frac…(df,5)","Exit_find_frac…(df,5)"
-7,341908,341917,12353.839897,12319.130705305999,12367.721093,12319.130705305999,208.42218301477695,34.5421588432284,0.002410149218525166,2022-11-10 03:40:00,2022-11-10 04:25:00,0 days 00:45:00,,13.225506214285426,10.771079571428865,,12316.922072
6,342180,342193,13332.44622,13300.674078,13300.674078,13389.945068262,-222.59259635759884,31.9597443576,-0.0027825925900940417,2022-11-11 03:20:00,2022-11-11 04:25:00,0 days 01:05:00,,19.513707071428534,16.51159814285698,,
-6,345396,345403,13273.093718,13246.862562642002,13295.778396,13246.862562642002,125.56298461122019,31.8239475367704,0.0015766606148113526,2022-11-29 03:05:00,2022-11-29 03:40:00,0 days 00:35:00,,14.442577428571244,11.86644364285738,,
6,346501,346550,13586.61124,13565.630462,13565.630462,13631.469426338002,-158.46735804240606,32.5826900424,-0.0019439156588689217,2022-12-05 03:10:00,2022-12-05 07:15:00,0 days 04:05:00,,19.087732428571535,11.440468357142631,13577.807759,13564.744529
6,347604,347609,13284.453049,13264.040237,13264.040237,13303.19272565,-154.3350639432029,31.858191943199998,-0.0019362867678723752,2022-12-09 03:05:00,2022-12-09 03:30:00,0 days 00:25:00,,11.075347142857416,10.933355571428624,,
6,348432,348433,13466.396313,13446.182766,13446.182766,13477.866702744002,-153.57637689479628,32.2950948948,-0.0019007358925780546,2022-12-14 03:05:00,2022-12-14 03:10:00,0 days 00:05:00,,13.416146142857412,13.134969428571692,,
-7,350364,350380,12424.917768,12449.067788,12449.067788,12396.438998299998,-203.87371977840667,34.8235797784,-0.002344065180552884,2022-12-23 03:05:00,2022-12-23 04:25:00,0 days 01:20:00,,15.042954142857266,10.021941428571283,,
-7,352572,352572,12167.078722,12154.723749414003,12186.729915,12154.723749414003,52.43428464200311,34.0505234599796,0.0006156458968389115,2023-01-06 03:05:00,2023-01-06 03:05:00,0 days 00:00:00,,13.677238642857057,13.677238642857057,,
7,352848,352850,12535.420216,12547.799931994,12506.771368,12547.799931994,51.541503750811444,35.1165082071916,0.0005873813432281157,2023-01-09 03:05:00,2023-01-09 03:15:00,0 days 00:10:00,,14.84211364285706,14.82202964285729,,
6,353956,353956,12942.564096,12934.159972,12934.159972,12970.677336789999,-81.47681288160356,31.0520688816,-0.001049210087960654,2023-01-13 03:25:00,2023-01-13 03:25:00,0 days 00:00:00,,12.15085099999981,12.15085099999981,12926.8182,12926.8182
6,354462,354473,13000.486499,13016.332561364003,12985.61531,13016.332561364003,63.85619131157601,31.220182872436805,0.0008186384834712972,2023-01-17 03:35:00,2023-01-17 04:30:00,0 days 00:55:00,,12.492279571428558,10.925723642857,,
6,356388,356393,13441.090408,13418.908625,13418.908625,13460.581645532,-165.32269683959998,32.2319988396,-0.0020499663323595013,2023-01-26 03:05:00,2023-01-26 03:30:00,0 days 00:25:00,,13.255473500000205,11.729085714285768,,
6,358872,358927,14343.105303,14302.647034,14302.647034,14395.876616536003,-277.1245168044039,34.3749028044,-0.003220182693474379,2023-02-08 03:05:00,2023-02-08 07:40:00,0 days 04:35:00,,18.81875578571453,16.529173857143178,,
-6,359425,359426,13966.890862,13938.592606809998,13998.632653,13938.592606809998,136.3029509774414,33.486580162572,0.0016265007524364408,2023-02-10 03:10:00,2023-02-10 03:15:00,0 days 00:05:00,,16.187745071428512,16.649678214285682,,
6,359976,359976,14132.503945,14132.503945,14085.016258,14131.522706578002,-33.918009468,33.918009468,-0.0004,2023-02-14 03:05:00,2023-02-14 03:05:00,0 days 00:00:00,,16.54925785714269,16.54925785714269,,
-6,360805,360809,13921.059057,13952.519672,13952.519672,13865.090202889998,-222.21198447479978,33.44829447480001,-0.002660381698989836,2023-02-17 03:10:00,2023-02-17 03:30:00,0 days 00:20:00,,17.392787857142917,17.332535857142698,,
-6,361318,361380,13844.016638,13735.050471499997,13872.103133,13735.050471499997,620.7021184686129,33.094880531399994,0.007472567809124413,2023-02-21 03:55:00,2023-02-21 09:05:00,0 days 05:10:00,,21.48993457142842,27.193805142857205,,
6,363793,363800,13867.073128,13843.766638,13843.766638,13899.617713828,-173.0919477192051,33.2530077192,-0.0020803710838554995,2023-03-06 03:10:00,2023-03-06 03:45:00,0 days 00:35:00,,15.203626714286006,12.331607214285734,,
-6,365448,365454,13447.911588,13498.816,13498.816,13422.47347351,-337.7625451055992,32.3360731056,-0.004186059459807372,2023-03-14 03:05:00,2023-03-14 03:35:00,0 days 00:30:00,,22.325316142857314,23.597640285714338,,
6,366003,366014,13825.314794,13791.109638,13791.109638,13876.701882312,-238.37064531839994,33.1397093184,-0.002873601178588804,2023-03-16 03:20:00,2023-03-16 04:15:00,0 days 00:55:00,,17.573979785714332,19.025224785713753,,
