year,timeframe,rr_ratio,direction,body_size_points,candle_high,candle_low,outcome
2018,5m,3.5,bearish,0.878657999999632,8017.168846,8006.624949,loss
2018,5m,4.0,bearish,0.878657999999632,8017.168846,8006.624949,loss
2018,5m,4.5,bearish,0.878657999999632,8017.168846,8006.624949,loss
2018,5m,5.0,bearish,0.878657999999632,8017.168846,8006.624949,loss
2018,5m,10.0,bearish,0.878657999999632,8017.168846,8006.624949,loss
2018,5m,1.5,bullish,2.3430880000005345,8136.959225,8125.536671,win
2018,5m,2.0,bullish,2.3430880000005345,8136.959225,8125.536671,win
2018,5m,2.5,bullish,2.3430880000005345,8136.959225,8125.536671,win
2018,5m,3.0,bullish,2.3430880000005345,8136.959225,8125.536671,win
2018,5m,3.5,bullish,2.3430880000005345,8136.959225,8125.536671,win
2018,5m,4.0,bullish,2.3430880000005345,8136.959225,8125.536671,win
2018,5m,4.5,bullish,2.3430880000005345,8136.959225,8125.536671,win
2018,5m,5.0,bullish,2.3430880000005345,8136.959225,8125.536671,win
2018,5m,10.0,bullish,2.3430880000005345,8136.959225,8125.536671,no_exit
2018,5m,1.5,bearish,2.6359739999998055,8174.155749,8154.825272,win
2018,5m,2.0,bearish,2.6359739999998055,8174.155749,8154.825272,win
2018,5m,2.5,bearish,2.6359739999998055,8174.155749,8154.825272,win
2018,5m,3.0,bearish,2.6359739999998055,8174.155749,8154.825272,win
2018,5m,3.5,bearish,2.6359739999998055,8174.155749,8154.825272,win
2018,5m,4.0,bearish,2.6359739999998055,8174.155749,8154.825272,win
2018,5m,4.5,bearish,2.6359739999998055,8174.155749,8154.825272,win
2018,5m,5.0,bearish,2.6359739999998055,8174.155749,8154.825272,win
2018,5m,10.0,bearish,2.6359739999998055,8174.155749,8154.825272,win
2018,5m,1.5,bearish,6.736378000000514,8160.975878,8141.352515,loss
2018,5m,2.0,bearish,6.736378000000514,8160.975878,8141.352515,loss
2018,5m,2.5,bearish,6.736378000000514,8160.975878,8141.352515,loss
2018,5m,3.0,bearish,6.736378000000514,8160.975878,8141.352515,loss
2018,5m,3.5,bearish,6.736378000000514,8160.975878,8141.352515,loss
2018,5m,4.0,bearish,6.736378000000514,8160.975878,8141.352515,loss
2018,5m,4.5,bearish,6.736378000000514,8160.975878,8141.352515,loss
2018,5m,5.0,bearish,6.736378000000514,8160.975878,8141.352515,loss
2018,5m,10.0,bearish,6.736378000000514,8160.975878,8141.352515,loss
