Entry_Time,Exit_Time,Direction,Entry_Price,Exit_Price,Stop_Loss,Take_Profit,SL_Type,PnL,Result,Session,Year
2024-01-30 08:46:00,2024-01-30 08:47:00,SHORT,18941.655301,18945.072340749997,18945.072340749997,18915.927003,SL_75,-3.4170397499983665,LOSS,Session_2 (08:30-11:00),2024
2024-01-30 08:46:00,2024-01-30 08:47:00,SHORT,18941.655301,18946.211354,18946.211354,18915.927003,SL_100,-4.556053000000247,LOSS,Session_2 (08:30-11:00),2024
2024-01-30 10:53:00,2024-01-30 10:54:00,SHORT,18909.494929,18905.474882,18913.7829785,18905.474882,SL_50,4.020047000001796,WIN,Session_2 (08:30-11:00),2024
2024-01-30 10:53:00,2024-01-30 10:54:00,SHORT,18909.494929,18905.474882,18915.92700325,18905.474882,SL_75,4.020047000001796,WIN,Session_2 (08:30-11:00),2024
2024-01-30 10:53:00,2024-01-30 10:54:00,SHORT,18909.494929,18905.474882,18918.071028,18905.474882,SL_100,4.020047000001796,WIN,Session_2 (08:30-11:00),2024
2024-01-31 03:42:00,2024-01-31 03:50:00,LONG,18607.455432,18629.431686,18603.83739,18629.431686,SL_50,21.976254000001063,WIN,Session_1 (02:00-05:00),2024
2024-01-31 03:42:00,2024-01-31 03:50:00,LONG,18607.455432,18629.431686,18602.028369,18629.431686,SL_75,21.976254000001063,WIN,Session_1 (02:00-05:00),2024
2024-01-31 03:42:00,2024-01-31 03:50:00,LONG,18607.455432,18629.431686,18600.219348,18629.431686,SL_100,21.976254000001063,WIN,Session_1 (02:00-05:00),2024
2024-02-01 02:34:00,2024-02-01 02:40:00,SHORT,18587.087196,18590.4372345,18590.4372345,18562.162907,SL_50,-3.3500385000006645,LOSS,Session_1 (02:00-05:00),2024
2024-02-01 02:34:00,2024-02-01 02:40:00,SHORT,18587.087196,18592.11225375,18592.11225375,18562.162907,SL_75,-5.025057750000997,LOSS,Session_1 (02:00-05:00),2024
2024-02-01 02:34:00,2024-02-01 02:40:00,SHORT,18587.087196,18593.787273,18593.787273,18562.162907,SL_100,-6.700077000001329,LOSS,Session_1 (02:00-05:00),2024
2024-02-01 02:35:00,2024-02-01 02:38:00,SHORT,18580.655121,18584.541166,18584.541166,18562.162907,SL_50,-3.886044999999285,LOSS,Session_1 (02:00-05:00),2024
2024-02-01 02:35:00,2024-02-01 02:39:00,SHORT,18580.655121,18586.4841885,18586.4841885,18562.162907,SL_75,-5.829067499998928,LOSS,Session_1 (02:00-05:00),2024
2024-02-01 02:35:00,2024-02-01 02:39:00,SHORT,18580.655121,18588.427211,18588.427211,18562.162907,SL_100,-7.77208999999857,LOSS,Session_1 (02:00-05:00),2024
2024-02-01 02:36:00,2024-02-01 02:38:00,SHORT,18576.635075,18579.315106000002,18579.315106000002,18562.162907,SL_50,-2.6800310000035097,LOSS,Session_1 (02:00-05:00),2024
2024-02-01 02:36:00,2024-02-01 02:38:00,SHORT,18576.635075,18580.6551215,18580.6551215,18562.162907,SL_75,-4.0200465000016266,LOSS,Session_1 (02:00-05:00),2024
2024-02-01 02:36:00,2024-02-01 02:38:00,SHORT,18576.635075,18581.995137,18581.995137,18562.162907,SL_100,-5.360062000003381,LOSS,Session_1 (02:00-05:00),2024
2024-02-02 02:47:00,2024-02-02 02:48:00,SHORT,18884.57064,18885.6426525,18885.6426525,18848.122218,SL_50,-1.0720124999970722,LOSS,Session_1 (02:00-05:00),2024
2024-02-02 02:47:00,2024-02-02 02:48:00,SHORT,18884.57064,18886.17865875,18886.17865875,18848.122218,SL_75,-1.6080187499974272,LOSS,Session_1 (02:00-05:00),2024
2024-02-02 02:47:00,2024-02-02 02:48:00,SHORT,18884.57064,18886.714665,18886.714665,18848.122218,SL_100,-2.1440249999977823,LOSS,Session_1 (02:00-05:00),2024
2024-02-02 02:56:00,2024-02-02 03:00:00,SHORT,18890.198705,18891.940725499997,18891.940725499997,18860.986367,SL_50,-1.7420204999980342,LOSS,Session_1 (02:00-05:00),2024
2024-02-02 02:56:00,2024-02-02 03:01:00,SHORT,18890.198705,18892.811735749998,18892.811735749998,18860.986367,SL_75,-2.6130307499988703,LOSS,Session_1 (02:00-05:00),2024
2024-02-02 02:56:00,2024-02-02 03:01:00,SHORT,18890.198705,18893.682746,18893.682746,18860.986367,SL_100,-3.4840409999997064,LOSS,Session_1 (02:00-05:00),2024
2024-02-02 02:57:00,2024-02-02 02:59:00,SHORT,18884.302637,18886.982668,18886.982668,18860.986367,SL_50,-2.6800309999998717,LOSS,Session_1 (02:00-05:00),2024
2024-02-02 02:57:00,2024-02-02 03:00:00,SHORT,18884.302637,18888.322683500002,18888.322683500002,18860.986367,SL_75,-4.0200465000016266,LOSS,Session_1 (02:00-05:00),2024
2024-02-02 02:57:00,2024-02-02 03:00:00,SHORT,18884.302637,18889.662699,18889.662699,18860.986367,SL_100,-5.360061999999743,LOSS,Session_1 (02:00-05:00),2024
2024-02-02 03:32:00,2024-02-02 03:33:00,LONG,18884.034634,18881.7566075,18881.7566075,18906.010888,SL_50,-2.2780265000001236,LOSS,Session_1 (02:00-05:00),2024
2024-02-02 03:32:00,2024-02-02 03:33:00,LONG,18884.034634,18880.617594249998,18880.617594249998,18906.010888,SL_75,-3.4170397500020044,LOSS,Session_1 (02:00-05:00),2024
2024-02-02 03:32:00,2024-02-02 03:33:00,LONG,18884.034634,18879.478581,18879.478581,18906.010888,SL_100,-4.556053000000247,LOSS,Session_1 (02:00-05:00),2024
2024-02-02 10:55:00,2024-02-02 11:00:00,SHORT,18981.051757,18985.205805,18985.205805,18908.154913,SL_50,-4.15404800000033,LOSS,Session_2 (08:30-11:00),2024
2024-02-02 10:55:00,2024-02-02 11:00:00,SHORT,18981.051757,18987.282829000003,18987.282829000003,18908.154913,SL_75,-6.231072000002314,LOSS,Session_2 (08:30-11:00),2024
2024-02-02 10:55:00,2024-02-02 11:00:00,SHORT,18981.051757,18989.359853,18989.359853,18908.154913,SL_100,-8.30809600000066,LOSS,Session_2 (08:30-11:00),2024
2024-02-02 10:56:00,2024-02-02 11:00:00,SHORT,18975.959698,18979.041733500002,18979.041733500002,18908.154913,SL_50,-3.0820355000032578,LOSS,Session_2 (08:30-11:00),2024
2024-02-02 10:56:00,2024-02-02 11:00:00,SHORT,18975.959698,18980.58275125,18980.58275125,18908.154913,SL_75,-4.623053250001249,LOSS,Session_2 (08:30-11:00),2024
2024-02-02 10:56:00,2024-02-02 11:00:00,SHORT,18975.959698,18982.123769,18982.123769,18908.154913,SL_100,-6.1640710000028776,LOSS,Session_2 (08:30-11:00),2024
2024-02-06 02:01:00,2024-02-06 02:02:00,SHORT,19041.888461,19043.094474999998,19043.094474999998,19034.116371,SL_50,-1.2060139999994135,LOSS,Session_1 (02:00-05:00),2024
2024-02-06 02:01:00,2024-02-06 02:02:00,SHORT,19041.888461,19043.697482,19043.697482,19034.116371,SL_75,-1.8090210000009392,LOSS,Session_1 (02:00-05:00),2024
2024-02-06 02:01:00,2024-02-06 02:02:00,SHORT,19041.888461,19044.300489,19044.300489,19034.116371,SL_100,-2.412028000002465,LOSS,Session_1 (02:00-05:00),2024
2024-02-06 04:06:00,2024-02-06 04:07:00,LONG,19007.852067,19005.574041,19005.574041,19025.808275,SL_50,-2.2780259999999544,LOSS,Session_1 (02:00-05:00),2024
2024-02-06 04:06:00,2024-02-06 04:08:00,LONG,19007.852067,19004.435028,19004.435028,19025.808275,SL_75,-3.4170389999999315,LOSS,Session_1 (02:00-05:00),2024
2024-02-06 04:06:00,2024-02-06 04:08:00,LONG,19007.852067,19003.296015,19003.296015,19025.808275,SL_100,-4.556051999999909,LOSS,Session_1 (02:00-05:00),2024
2024-02-07 03:01:00,2024-02-07 03:02:00,SHORT,18921.823071,18923.967096,18923.967096,18916.195006,SL_50,-2.1440250000014203,LOSS,Session_1 (02:00-05:00),2024
