year,timeframe,stop_loss_type,rr_ratio,total_fvgs,total_trades,wins,losses,no_exit,win_rate,total_pnl,avg_win,avg_loss,profit_factor,gross_profit,gross_loss
2021,15m,edge,2.0,16,13,4,9,2,30.76923076923077,-60.69559999999365,90.86287850000099,47.12745711111084,0.8568996510960724,363.45151400000395,424.1471139999976
2021,15m,edge,2.5,16,12,3,9,3,25.0,-252.61660149999898,57.17683749999954,47.12745711111084,0.4044127776382786,171.53051249999862,424.1471139999976
2021,15m,edge,3.0,16,12,3,9,3,25.0,-218.31049899999925,68.61220499999945,47.12745711111084,0.48529533316593426,205.83661499999835,424.1471139999976
2021,15m,edge,3.5,16,12,3,9,3,25.0,-184.00439649999953,80.04757249999936,47.12745711111084,0.56617788869359,240.14271749999807,424.1471139999976
2021,15m,edge,4.0,16,12,3,9,3,25.0,-149.6982939999998,91.48293999999926,47.12745711111084,0.6470604442212458,274.4488199999978,424.1471139999976
2021,15m,edge,4.5,16,10,1,9,5,10.0,-323.75660499999776,100.39050899999984,47.12745711111084,0.23668794549430885,100.39050899999984,424.1471139999976
2021,15m,edge,5.0,16,10,1,9,5,10.0,-312.6021039999978,111.54500999999982,47.12745711111084,0.26298660610478763,111.54500999999982,424.1471139999976
2021,15m,edge,10.0,16,10,1,9,5,10.0,-201.05709399999796,223.09001999999964,47.12745711111084,0.5259732122095753,223.09001999999964,424.1471139999976
2022,1m,middle,1.5,14,10,1,9,0,10.0,-277.1123274999982,48.56113800000003,36.18594061111091,0.14910990038886143,48.56113800000003,325.6734654999982
2022,1m,middle,2.0,14,10,1,9,0,10.0,-260.92528149999816,64.74818400000004,36.18594061111091,0.1988132005184819,64.74818400000004,325.6734654999982
2022,1m,middle,2.5,14,10,1,9,0,10.0,-244.73823549999815,80.93523000000005,36.18594061111091,0.24851650064810238,80.93523000000005,325.6734654999982
2022,1m,middle,3.0,14,10,1,9,0,10.0,-228.55118949999815,97.12227600000006,36.18594061111091,0.29821980077772287,97.12227600000006,325.6734654999982
2022,1m,middle,3.5,14,10,1,9,0,10.0,-212.36414349999814,113.30932200000007,36.18594061111091,0.3479231009073433,113.30932200000007,325.6734654999982
2022,1m,middle,4.0,14,10,1,9,0,10.0,-196.17709749999813,129.49636800000007,36.18594061111091,0.3976264010369638,129.49636800000007,325.6734654999982
2022,1m,middle,4.5,14,10,1,9,0,10.0,-179.99005149999812,145.68341400000008,36.18594061111091,0.44732970116658427,145.68341400000008,325.6734654999982
2022,1m,middle,5.0,14,10,1,9,0,10.0,-163.8030054999981,161.8704600000001,36.18594061111091,0.49703300129620476,161.8704600000001,325.6734654999982
2022,1m,middle,10.0,14,10,1,9,0,10.0,-1.9325454999980138,323.7409200000002,36.18594061111091,0.9940660025924095,323.7409200000002,325.6734654999982
2022,1m,edge,1.5,14,10,1,9,0,10.0,-286.4073410000028,51.96893699999873,37.597364222222396,0.15358327512544628,51.96893699999873,338.37627800000155
2022,1m,edge,2.0,14,10,1,9,0,10.0,-269.08436200000324,69.29191599999831,37.597364222222396,0.2047777001672617,69.29191599999831,338.37627800000155
2022,1m,edge,2.5,14,10,1,9,0,10.0,-251.76138300000366,86.61489499999789,37.597364222222396,0.25597212520907714,86.61489499999789,338.37627800000155
2022,1m,edge,3.0,14,10,1,9,0,10.0,-234.43840400000408,103.93787399999746,37.597364222222396,0.30716655025089257,103.93787399999746,338.37627800000155
2022,1m,edge,3.5,14,10,1,9,0,10.0,-217.1154250000045,121.26085299999704,37.597364222222396,0.358360975292708,121.26085299999704,338.37627800000155
2022,1m,edge,4.0,14,10,1,9,0,10.0,-199.79244600000493,138.58383199999662,37.597364222222396,0.4095554003345234,138.58383199999662,338.37627800000155
2022,1m,edge,4.5,14,10,1,9,0,10.0,-182.46946700000535,155.9068109999962,37.597364222222396,0.46074982537633885,155.9068109999962,338.37627800000155
2022,1m,edge,5.0,14,10,1,9,0,10.0,-165.14648800000577,173.22978999999577,37.597364222222396,0.5119442504181543,173.22978999999577,338.37627800000155
2022,1m,edge,10.0,14,10,1,9,0,10.0,8.083301999989999,346.45957999999155,37.597364222222396,1.0238885008363086,346.45957999999155,338.37627800000155
2022,5m,middle,1.5,26,23,10,13,2,43.47826086956522,281.7105182499963,100.64261137499962,55.74735349999999,1.388718719452473,1006.4261137499961,724.7155954999998
2022,5m,middle,2.0,26,22,9,13,3,40.909090909090914,485.4176544999991,134.45924999999988,55.74735349999999,1.6698043446479127,1210.133249999999,724.7155954999998
2022,5m,middle,2.5,26,21,8,13,4,38.095238095238095,627.6028407500025,169.0398045312503,55.74735349999999,1.8659988064931916,1352.3184362500024,724.7155954999998
2022,5m,middle,3.0,26,19,6,13,6,31.57894736842105,174.29189649999716,149.8345819999995,55.74735349999999,1.240496958506528,899.007491999997,724.7155954999998
2022,5m,middle,3.5,26,18,5,13,7,27.77777777777778,-35.68031675000293,137.8070557499994,55.74735349999999,0.9507664565637143,689.0352787499969,724.7155954999998
2022,5m,middle,4.0,26,18,5,13,7,27.77777777777778,62.75329449999663,157.49377799999928,55.74735349999999,1.0865902360728164,787.4688899999965,724.7155954999998
2022,5m,middle,4.5,26,18,4,14,7,22.22222222222222,48.29445849999411,198.38398837499858,53.231535357142874,1.064803770085285,793.5359534999943,745.2414950000002
