entry_datetime,exit_datetime,type,entry_price,exit_price,stop_loss,take_profit,pnl,exit_reason,bars_held
2022-07-20 04:00:00,2022-07-20 05:30:00,long,14066.566129,14046.066129,14046.066129,14106.066129,-26.0,stop_loss,18
2022-07-21 03:50:00,2022-07-21 04:40:00,long,14197.987309,14237.487309,14177.487309,14237.487309,34.0,take_profit,10
2022-07-22 03:10:00,2022-07-22 04:15:00,long,14345.693289,14385.193289,14325.193289,14385.193289,34.0,take_profit,13
2022-07-25 01:30:00,2022-07-25 02:20:00,long,14186.559381,14166.059381,14166.059381,14226.059381,-26.0,stop_loss,10
2022-07-25 02:20:00,2022-07-25 02:45:00,short,14181.845304,14202.345304,14202.345304,14142.345304,-26.0,stop_loss,5
2022-07-25 03:00:00,2022-07-25 03:35:00,long,14197.415913,14236.915913,14176.915913,14236.915913,34.0,take_profit,7
2022-07-25 04:05:00,2022-07-25 06:25:00,long,14243.127628,14282.627628,14222.627628,14282.627628,34.0,take_profit,28
2022-07-26 03:35:00,2022-07-26 04:05:00,short,14073.565679,14094.065679,14094.065679,14034.065679,-26.0,stop_loss,6
2022-07-27 03:55:00,2022-07-27 05:30:00,short,14068.994507,14029.494507,14089.494507,14029.494507,34.0,take_profit,19
2022-07-29 01:20:00,2022-07-29 02:40:00,long,14764.812577,14744.312577,14744.312577,14804.312577,-26.0,stop_loss,16
2022-07-29 03:10:00,2022-07-29 03:25:00,long,14753.09895,14732.59895,14732.59895,14792.59895,-26.0,stop_loss,3
2022-07-29 03:25:00,2022-07-29 03:35:00,long,14752.241855,14731.741855,14731.741855,14791.741855,-26.0,stop_loss,2
2022-07-29 04:45:00,2022-07-29 06:05:00,long,14727.671808,14707.171808,14707.171808,14767.171808,-26.0,stop_loss,16
2022-08-01 01:10:00,2022-08-01 02:35:00,long,14768.240955,14807.740955,14747.740955,14807.740955,34.0,take_profit,17
2022-08-01 02:35:00,2022-08-01 03:00:00,long,14812.238481,14791.738481,14791.738481,14851.738481,-26.0,stop_loss,5
2022-08-01 04:30:00,2022-08-01 06:40:00,long,14790.239718,14829.739718,14769.739718,14829.739718,34.0,take_profit,26
2022-08-02 03:20:00,2022-08-02 03:35:00,long,14717.67237,14697.17237,14697.17237,14757.17237,-26.0,stop_loss,3
2022-08-03 03:20:00,2022-08-03 04:10:00,long,14768.812352,14808.312352,14748.312352,14808.312352,34.0,take_profit,10
2022-08-04 03:50:00,2022-08-04 04:45:00,long,15151.647965,15191.147965,15131.147965,15191.147965,34.0,take_profit,11
2022-08-08 01:50:00,2022-08-08 02:05:00,long,15159.933214,15199.433214,15139.433214,15199.433214,34.0,take_profit,3
2022-08-08 02:50:00,2022-08-08 03:15:00,long,15185.360355,15164.860355,15164.860355,15224.860355,-26.0,stop_loss,5
2022-08-08 03:30:00,2022-08-08 04:10:00,long,15187.931639,15167.431639,15167.431639,15227.431639,-26.0,stop_loss,8
2022-08-09 01:05:00,2022-08-09 02:05:00,short,15078.937712,15099.437712,15099.437712,15039.437712,-26.0,stop_loss,12
2022-08-09 02:05:00,2022-08-09 02:15:00,long,15101.650777,15081.150777,15081.150777,15141.150777,-26.0,stop_loss,2
2022-08-09 02:40:00,2022-08-09 02:55:00,short,15060.367328,15080.867328,15080.867328,15020.867328,-26.0,stop_loss,3
2022-08-09 03:05:00,2022-08-09 03:20:00,short,15049.796494,15070.296494,15070.296494,15010.296494,-26.0,stop_loss,3
2022-08-09 04:20:00,2022-08-09 05:10:00,short,15068.938275,15029.438275,15089.438275,15029.438275,34.0,take_profit,10
2022-08-10 01:20:00,2022-08-10 01:50:00,short,14842.950983,14863.450983,14863.450983,14803.450983,-26.0,stop_loss,6
2022-08-11 02:10:00,2022-08-11 02:30:00,long,15390.205979,15369.705979,15369.705979,15429.705979,-26.0,stop_loss,4
2022-08-12 01:30:00,2022-08-12 02:15:00,long,15263.355969,15242.855969,15242.855969,15302.855969,-26.0,stop_loss,9
2022-08-12 03:10:00,2022-08-12 05:10:00,long,15301.639531,15281.139531,15281.139531,15341.139531,-26.0,stop_loss,24
2022-08-15 04:10:00,2022-08-15 04:35:00,long,15451.631096,15431.131096,15431.131096,15491.131096,-26.0,stop_loss,5
2022-08-17 04:05:00,2022-08-17 04:45:00,long,15534.769278,15514.269278,15514.269278,15574.269278,-26.0,stop_loss,8
2022-08-18 01:20:00,2022-08-18 01:55:00,short,15373.492577,15333.992577,15393.992577,15333.992577,34.0,take_profit,7
2022-08-18 02:15:00,2022-08-18 02:20:00,short,15336.923204,15357.423204,15357.423204,15297.423204,-26.0,stop_loss,1
2022-08-18 03:20:00,2022-08-18 03:40:00,short,15363.493139,15383.993139,15383.993139,15323.993139,-26.0,stop_loss,4
2022-08-19 01:05:00,2022-08-19 01:40:00,short,15398.63402,15359.13402,15419.13402,15359.13402,34.0,take_profit,7
2022-08-19 02:35:00,2022-08-19 03:15:00,short,15366.921517,15327.421517,15387.421517,15327.421517,34.0,take_profit,8
2022-08-19 04:50:00,2022-08-19 05:40:00,short,15314.638743,15275.138743,15335.138743,15275.138743,34.0,take_profit,10
2022-08-22 01:25:00,2022-08-22 02:25:00,short,15053.224873,15013.724873,15073.724873,15013.724873,34.0,take_profit,12
