timeframe,rr_ratio,body_size_bucket,min_body_size,max_body_size,avg_body_size,total_trades,wins,losses,win_rate
5m,2.5,Petit,54.41296299999885,61.85449899999912,58.335965428571456,49,18,31,36.734693877551024
5m,2.5,Très grand,84.76357300000018,172.58443499999976,105.01981424999975,48,11,37,22.916666666666664
5m,2.5,Moyen,61.85449999999946,69.3324939999984,65.20563926530612,49,13,36,26.53061224489796
5m,3.0,Grand,69.5355810000001,84.0529260000003,75.7507505714286,49,22,27,44.89795918367347
5m,3.0,Très petit,50.08440299999893,54.40904999999839,52.167211877550955,49,17,32,34.69387755102041
5m,3.0,Petit,54.41296299999885,61.85449899999912,58.335965428571456,49,16,33,32.6530612244898
5m,3.0,Très grand,84.76357300000018,172.58443499999976,105.01981424999975,48,9,39,18.75
5m,3.0,Moyen,61.85449999999946,69.3324939999984,65.20563926530612,49,11,38,22.448979591836736
5m,3.5,Grand,69.5355810000001,84.0529260000003,75.7507505714286,49,19,30,38.775510204081634
5m,3.5,Très petit,50.08440299999893,54.40904999999839,52.167211877550955,49,16,33,32.6530612244898
5m,3.5,Petit,54.41296299999885,61.85449899999912,58.335965428571456,49,14,35,28.57142857142857
5m,3.5,Très grand,84.76357300000018,172.58443499999976,105.01981424999975,48,7,41,14.583333333333334
5m,3.5,Moyen,61.85449999999946,69.3324939999984,65.20563926530612,49,11,38,22.448979591836736
5m,4.0,Grand,69.5355810000001,84.0529260000003,75.7507505714286,49,18,31,36.734693877551024
5m,4.0,Très petit,50.08440299999893,54.40904999999839,52.167211877550955,49,15,34,30.612244897959183
5m,4.0,Petit,54.41296299999885,61.85449899999912,58.335965428571456,49,13,36,26.53061224489796
5m,4.0,Très grand,84.76357300000018,172.58443499999976,105.01981424999975,48,6,42,12.5
5m,4.0,Moyen,61.85449999999946,69.3324939999984,65.20563926530612,49,8,41,16.3265306122449
5m,4.5,Grand,69.5355810000001,84.0529260000003,75.7507505714286,49,17,32,34.69387755102041
5m,4.5,Très petit,50.08440299999893,54.40904999999839,52.167211877550955,49,13,36,26.53061224489796
5m,4.5,Petit,54.41296299999885,61.85449899999912,58.335965428571456,49,11,38,22.448979591836736
5m,4.5,Très grand,84.76357300000018,172.58443499999976,105.01981424999975,48,6,42,12.5
5m,4.5,Moyen,61.85449999999946,69.3324939999984,65.20563926530612,49,6,43,12.244897959183673
