year,timeframe,stop_loss_type,rr_ratio,total_fvgs,total_trades,wins,losses,no_exit,win_rate,total_pnl,avg_win,avg_loss,profit_factor,gross_profit,gross_loss
2021,5m,edge,2.5,25,19,9,10,3,47.368421052631575,495.8827675000175,102.6940347222242,42.83635450000001,2.15762130855467,924.2463125000176,428.36354500000016
2021,5m,edge,3.0,25,18,8,10,4,44.44444444444444,411.8367770000186,105.02504025000236,42.83635450000001,1.9614188270853403,840.2003220000188,428.36354500000016
2021,5m,edge,3.5,25,16,6,10,6,37.5,199.7371695000238,104.68345241667066,42.83635450000001,1.4662795698453372,628.100714500024,428.36354500000016
2021,5m,edge,4.0,25,16,6,10,6,37.5,289.46584300002723,119.6382313333379,42.83635450000001,1.6757480798232425,717.8293880000274,428.36354500000016
2022,5m,middle,1.5,26,23,10,13,2,43.47826086956522,281.7105182499963,100.64261137499962,55.74735349999999,1.388718719452473,1006.426113749996,724.7155954999998
2022,5m,middle,2.0,26,22,9,13,3,40.909090909090914,485.4176544999991,134.45924999999988,55.74735349999999,1.6698043446479127,1210.133249999999,724.7155954999998
2022,5m,middle,2.5,26,21,8,13,4,38.095238095238095,627.6028407500025,169.0398045312503,55.74735349999999,1.865998806493192,1352.3184362500024,724.7155954999998
2022,5m,edge,1.5,26,23,12,11,2,52.17391304347826,615.9290544999994,104.12843462499973,57.601105545454296,1.972091592320309,1249.5412154999967,633.6121609999973
2022,5m,edge,2.0,26,22,11,11,3,50.0,900.1065909999998,139.4289774545452,57.601105545454296,2.420595510003167,1533.718751999997,633.6121609999973
2022,5m,edge,2.5,26,19,7,12,6,36.84210526315789,399.9484754999985,151.65129464285656,55.13421558333312,1.6045073693779934,1061.559062499996,661.6105869999974
2024,5m,middle,1.5,43,38,17,21,1,44.73684210526316,965.418857250006,100.80841583823565,35.63448628571426,2.290107739090509,1713.7430692500056,748.3242119999995
2024,5m,middle,2.0,43,37,16,21,2,43.24324324324324,1391.2499330000064,133.72338406250037,35.63448628571426,2.859153974560972,2139.574145000006,748.3242119999995
2024,5m,middle,2.5,43,36,15,21,3,41.66666666666667,1319.806329250012,137.87536941666744,35.63448628571426,2.763682516328916,2068.1305412500114,748.3242119999995
2024,5m,edge,1.5,43,37,16,21,3,43.24324324324324,488.8161135000046,81.77811571875054,39.03017800000019,1.5963835928627943,1308.449851500009,819.6337380000041
2024,5m,edge,2.0,43,37,16,21,3,43.24324324324324,924.9660640000076,109.03748762500072,39.03017800000019,2.128511457150392,1744.5998020000116,819.6337380000041
2024,5m,edge,2.5,43,36,13,23,4,36.11111111111111,807.5121405000064,131.16853826923173,39.029515521739405,1.8995557088184831,1705.1909975000126,897.6788570000062
2025,5m,middle,1.5,35,29,13,16,2,44.82758620689656,77.18631774999085,94.84446490384568,72.2369828750002,1.066782203067952,1232.978043749994,1155.791726000003
2025,5m,middle,2.0,35,28,11,17,3,39.285714285714285,80.17328899999848,118.12449563636356,71.7174213529412,1.06575913821999,1299.369451999999,1219.1961630000003
2025,5m,middle,2.5,35,27,10,17,4,37.03703703703704,133.09393699999964,135.22901000000002,71.7174213529412,1.1091653181326486,1352.2901000000002,1219.1961630000003
2025,5m,edge,1.5,35,29,12,17,3,41.37931034482759,-39.26397000000907,98.69252624999945,71.97495794117661,0.9679104321810678,1184.3103149999934,1223.5742850000024
2025,5m,edge,2.0,35,29,11,18,3,37.93103448275862,131.2709309999991,129.9627530909089,72.12885294444439,1.1011083526535086,1429.590283999998,1298.319352999999
