year,timeframe,body_filter,sl_type,rr_ratio,total_candles,total_trades,wins,losses,no_exit,win_rate,total_pnl,profit_factor,gross_profit,gross_loss
2018,5m,50,78%,4.5,2,2,0,2,0,0.0,-100.8477788400005,0.0,0.0,100.8477788400005
2018,5m,50,78%,5.0,2,2,0,2,0,0.0,-100.8477788400005,0.0,0.0,100.8477788400005
2018,15m,50,middle,1.5,18,18,5,13,0,27.77777777777778,-139.31587574999776,0.6705392019691212,283.5443752500023,422.86025100000006
2018,15m,50,middle,2.0,18,18,3,15,0,16.666666666666664,-358.4202424999985,0.3204014741218153,168.97972800000207,527.3999705000006
2018,15m,50,middle,2.5,18,18,3,15,0,16.666666666666664,-316.175310499998,0.40050184265226907,211.2246600000026,527.3999705000006
2018,15m,50,middle,3.0,18,18,3,15,0,16.666666666666664,-273.93037849999746,0.4806022111827229,253.4695920000031,527.3999705000006
2018,15m,50,middle,3.5,18,18,3,15,0,16.666666666666664,-231.68544649999694,0.5607025797131767,295.7145240000036,527.3999705000006
2018,15m,50,middle,4.0,18,18,3,15,0,16.666666666666664,-189.44051449999643,0.6408029482436306,337.95945600000414,527.3999705000006
2018,15m,50,middle,4.5,18,18,3,15,0,16.666666666666664,-147.1955824999959,0.7209033167740844,380.20438800000466,527.3999705000006
2018,15m,50,middle,5.0,18,18,3,15,0,16.666666666666664,-104.95065049999539,0.8010036853045381,422.4493200000052,527.3999705000006
2018,15m,50,62%,1.5,18,18,4,14,0,22.22222222222222,-415.7485581899996,0.3311046533340105,205.7964417299986,621.5449999199982
2018,15m,50,62%,2.0,18,18,4,14,0,22.22222222222222,-347.14974428000005,0.44147287111201405,274.39525563999814,621.5449999199982
2018,15m,50,62%,2.5,18,18,4,14,0,22.22222222222222,-278.5509303700005,0.5518410888900176,342.9940695499977,621.5449999199982
2018,15m,50,62%,3.0,18,18,4,14,0,22.22222222222222,-209.95211646000098,0.662209306668021,411.5928834599972,621.5449999199982
2018,15m,50,62%,3.5,18,18,4,14,0,22.22222222222222,-141.35330255000144,0.7725775244460246,480.19169736999675,621.5449999199982
2018,15m,50,62%,4.0,18,18,4,14,0,22.22222222222222,-72.75448864000191,0.8829457422240281,548.7905112799963,621.5449999199982
2018,15m,50,62%,4.5,18,18,4,14,0,22.22222222222222,-4.155674730002374,0.9933139600020316,617.3893251899958,621.5449999199982
2018,15m,50,62%,5.0,18,18,4,14,0,22.22222222222222,64.44313917999716,1.1036821777800352,685.9881390999954,621.5449999199982
2018,15m,50,78%,1.5,18,18,4,14,0,22.22222222222222,-523.4116781100015,0.3307547510873995,258.6808043699989,782.0924824800004
2018,15m,50,78%,2.0,18,18,4,14,0,22.22222222222222,-437.18474332000187,0.44100633478319934,344.9077391599985,782.0924824800004
2018,15m,50,78%,2.5,18,18,4,14,0,22.22222222222222,-350.95780853000224,0.5512579184789992,431.13467394999816,782.0924824800004
2018,15m,50,78%,3.0,18,18,4,14,0,22.22222222222222,-264.7308737400026,0.661509502174799,517.3616087399978,782.0924824800004
2018,15m,50,78%,3.5,18,18,4,14,0,22.22222222222222,-178.50393895000298,0.7717610858705989,603.5885435299974,782.0924824800004
2018,15m,50,78%,4.0,18,18,4,14,0,22.22222222222222,-92.27700416000334,0.8820126695663987,689.815478319997,782.0924824800004
2018,15m,50,78%,4.5,18,18,4,14,0,22.22222222222222,-6.050069370003712,0.9922642532621986,776.0424131099967,782.0924824800004
2018,15m,50,78%,5.0,18,18,4,14,0,22.22222222222222,80.17686541999592,1.1025158369579984,862.2693478999963,782.0924824800004
2018,15m,100,middle,1.5,1,1,1,0,0,100.0,88.52479799999946,0.0,88.52479799999946,0.0
2018,15m,100,middle,2.0,1,1,0,1,0,0.0,-59.01653199999964,0.0,0.0,59.01653199999964
2018,15m,100,middle,2.5,1,1,0,1,0,0.0,-59.01653199999964,0.0,0.0,59.01653199999964
