year,timeframe,rr_ratio,min_ticks_required,total_body_candles,total_trades,wins,losses,no_exit,win_rate,total_pnl,avg_win,avg_loss,profit_factor,gross_profit,gross_loss
2023,5m,1.5,50,23,23,9,14,0,39.130434782608695,-27.34348434000458,62.83043463999942,42.34409972142852,0.9538753678284566,565.4739117599947,592.8173960999993
2023,5m,2.0,50,23,23,8,15,0,34.78260869565217,54.77867021999555,85.38155617999928,41.88491861466658,1.087189171395953,683.0524494399942,628.2737792199987
2023,5m,2.5,50,23,23,8,15,0,34.78260869565217,225.5417825799941,106.7269452249991,41.88491861466658,1.3589864642449412,853.8155617999928,628.2737792199987
2023,5m,3.0,50,23,23,7,16,0,30.434782608695656,241.92763357999138,129.82796116285576,41.67925590999994,1.3627818387976947,908.7957281399904,666.868094559999
2023,5m,3.5,50,23,23,7,16,0,30.434782608695656,393.3935882699898,151.4659546899984,41.67925590999994,1.589912145263977,1060.2616828299888,666.868094559999
2023,5m,4.0,50,23,23,6,17,0,26.08695652173913,323.48829185999784,172.43843943999914,41.831902634117476,1.4548854307924441,1034.630636639995,711.1423447799971
2023,5m,4.5,50,23,23,4,19,0,17.391304347826086,20.127345129995774,202.48513958249828,41.56911648421038,1.0254836773981637,809.9405583299931,789.8132131999973
2023,5m,5.0,50,23,23,4,19,0,17.391304347826086,110.12074049999501,224.9834884249981,41.56911648421038,1.1394263082201819,899.9339536999923,789.8132131999973
2023,5m,10.0,50,23,23,3,20,0,13.043478260869565,631.9732374799842,485.3858307333273,41.209212735999884,1.7667863513052504,1456.1574921999818,824.1842547199976
2023,15m,1.5,75,23,23,7,16,0,30.434782608695656,-237.1362879999897,100.34520827142907,58.72204661874957,0.7476072641639315,702.4164579000035,939.5527458999932
2023,15m,2.0,75,23,23,7,16,0,30.434782608695656,-2.9974686999885307,133.7936110285721,58.72204661874957,0.9968096855519087,936.5552772000046,939.5527458999932
2023,15m,2.5,75,23,23,7,16,0,30.434782608695656,231.14135060001263,167.2420137857151,58.72204661874957,1.246012106939886,1170.6940965000058,939.5527458999932
2023,15m,3.0,75,23,23,5,18,0,21.73913043478261,-60.59598881999227,202.0851593520005,59.501210309999706,0.943422263080132,1010.4257967600024,1071.0217855799947
2023,15m,3.5,75,23,23,5,18,0,21.73913043478261,107.80831064000813,235.76601924400057,59.501210309999706,1.1006593069268207,1178.8300962200028,1071.0217855799947
2023,15m,4.0,75,23,23,5,18,0,21.73913043478261,276.21261010000853,269.44687913600063,59.501210309999706,1.2578963507735093,1347.2343956800032,1071.0217855799947
2023,15m,4.5,75,23,23,5,18,0,21.73913043478261,444.61690956000893,303.12773902800075,59.501210309999706,1.4151333946201978,1515.6386951400036,1071.0217855799947
