outcome,exit_price,entry_price,stop_loss,take_profit,risk,pnl,exit_datetime,year,timeframe,stop_loss_type,rr_ratio,fvg_type,date
loss,13231.206187,13224.53258,13231.206187,13191.164544999996,6.673607000000629,-6.673607000000629,2022-11-11 09:15:00,2022,15m,middle,5.0,bearish,2022-11-11
loss,13211.043375,13152.684815,13211.043375,12860.892015000007,58.35855999999876,-58.35855999999876,2022-11-29 09:30:00,2022,15m,middle,5.0,bearish,2022-11-29
no_exit,,13488.353031,13445.1875755,13704.180308500003,43.16545550000046,,,2022,15m,middle,5.0,bullish,2022-12-02
no_exit,,13250.65904,13412.103525,12443.436615,161.444485,,,2022,15m,middle,5.0,bearish,2022-12-06
no_exit,,15091.065953,15292.6658025,13075.067457999996,201.59984950000035,,,2022,15m,middle,10.0,bearish,2022-05-05
loss,14646.200378000001,14630.307208,14646.200378000001,14471.375507999988,15.893170000001192,-15.893170000001192,2022-05-30 09:45:00,2022,15m,middle,10.0,bearish,2022-05-30
loss,14579.907246,14668.679907,14579.907246,15556.40651699999,88.77266099999906,-88.77266099999906,2022-06-01 09:15:00,2022,15m,middle,10.0,bullish,2022-06-01
no_exit,,13247.255032,13073.979062499999,14980.014727000003,173.27596950000043,,,2022,15m,middle,10.0,bullish,2022-06-22
no_exit,,15562.267703,15460.8448355,16576.496377999996,101.42286749999948,,,2022,15m,middle,10.0,bullish,2022-08-15
loss,13750.3695965,13803.795163,13750.3695965,14338.050828000001,53.42556650000006,-53.42556650000006,2022-09-07 09:15:00,2022,15m,middle,10.0,bullish,2022-09-07
loss,13272.525751500001,13168.303894,13272.525751500001,12126.085318999994,104.22185750000062,-104.22185750000062,2022-09-22 14:45:00,2022,15m,middle,10.0,bearish,2022-09-22
no_exit,,12579.322607,12483.336264000001,13539.186036999987,95.98634299999867,,,2022,15m,middle,10.0,bullish,2022-10-17
no_exit,,12859.330104,12723.586104499998,14216.770099000023,135.74399950000225,,,2022,15m,middle,10.0,bullish,2022-10-28
loss,13231.206187,13224.53258,13231.206187,13157.796509999993,6.673607000000629,-6.673607000000629,2022-11-11 09:15:00,2022,15m,middle,10.0,bearish,2022-11-11
loss,13211.043375,13152.684815,13211.043375,12569.099215000013,58.35855999999876,-58.35855999999876,2022-11-29 09:30:00,2022,15m,middle,10.0,bearish,2022-11-29
no_exit,,13488.353031,13445.1875755,13920.007586000005,43.16545550000046,,,2022,15m,middle,10.0,bullish,2022-12-02
no_exit,,13250.65904,13412.103525,11636.21419,161.444485,,,2022,15m,middle,10.0,bearish,2022-12-06
win,14780.934366499998,15091.065953,15297.820344,14780.934366499998,206.7543910000004,310.1315865000006,2022-05-05 10:00:00,2022,15m,edge,1.5,bearish,2022-05-05
loss,14659.516277,14630.307208,14659.516277,14586.4936045,29.209069000000454,-29.209069000000454,2022-05-30 09:45:00,2022,15m,edge,1.5,bearish,2022-05-30
loss,14576.470885,14668.679907,14576.470885,14806.993439999998,92.2090219999991,-92.2090219999991,2022-06-01 09:15:00,2022,15m,edge,1.5,bullish,2022-06-01
no_exit,,13247.255032,13066.693758,13518.096942999999,180.56127399999968,,,2022,15m,edge,1.5,bullish,2022-06-22
no_exit,,15562.267703,15454.845173,15723.401498,107.42252999999982,,,2022,15m,edge,1.5,bullish,2022-08-15
win,13890.361723000002,13803.795163,13746.084123,13890.361723000002,57.71104000000014,86.56656000000021,2022-09-07 10:45:00,2022,15m,edge,1.5,bullish,2022-09-07
no_exit,,13168.303894,13274.797618,13008.563308,106.49372399999993,,,2022,15m,edge,1.5,bearish,2022-09-22
win,12739.4891675,12579.322607,12472.5449,12739.4891675,106.77770699999928,160.16656049999892,2022-10-17 18:30:00,2022,15m,edge,1.5,bullish,2022-10-17
win,13071.891576000002,12859.330104,12717.622456,13071.891576000002,141.70764800000143,212.56147200000214,2022-10-28 11:15:00,2022,15m,edge,1.5,bullish,2022-10-28
loss,13235.323944,13224.53258,13235.323944,13208.345533999998,10.791364000000613,-10.791364000000613,2022-11-11 09:15:00,2022,15m,edge,1.5,bearish,2022-11-11
loss,13213.457233,13152.684815,13213.457233,13061.526188000003,60.77241799999865,-60.77241799999865,2022-11-29 09:30:00,2022,15m,edge,1.5,bearish,2022-11-29
win,13566.732411,13488.353031,13436.100111,13566.732411,52.25292000000081,78.37938000000122,2022-12-02 09:15:00,2022,15m,edge,1.5,bullish,2022-12-02
no_exit,,13250.65904,13413.665433,13006.149450500001,163.00639299999966,,,2022,15m,edge,1.5,bearish,2022-12-06
win,14677.557170999999,15091.065953,15297.820344,14677.557170999999,206.7543910000004,413.5087820000008,2022-05-05 11:00:00,2022,15m,edge,2.0,bearish,2022-05-05
loss,14659.516277,14630.307208,14659.516277,14571.88907,29.209069000000454,-29.209069000000454,2022-05-30 09:45:00,2022,15m,edge,2.0,bearish,2022-05-30
loss,14576.470885,14668.679907,14576.470885,14853.097950999998,92.2090219999991,-92.2090219999991,2022-06-01 09:15:00,2022,15m,edge,2.0,bullish,2022-06-01
no_exit,,13247.255032,13066.693758,13608.377579999998,180.56127399999968,,,2022,15m,edge,2.0,bullish,2022-06-22
no_exit,,15562.267703,15454.845173,15777.112763,107.42252999999982,,,2022,15m,edge,2.0,bullish,2022-08-15
win,13919.217243000001,13803.795163,13746.084123,13919.217243000001,57.71104000000014,115.42208000000028,2022-09-07 12:00:00,2022,15m,edge,2.0,bullish,2022-09-07
no_exit,,13168.303894,13274.797618,12955.316446,106.49372399999993,,,2022,15m,edge,2.0,bearish,2022-09-22
win,12792.878020999999,12579.322607,12472.5449,12792.878020999999,106.77770699999928,213.55541399999856,2022-10-17 22:30:00,2022,15m,edge,2.0,bullish,2022-10-17
win,13142.745400000003,12859.330104,12717.622456,13142.745400000003,141.70764800000143,283.41529600000285,2022-10-28 13:30:00,2022,15m,edge,2.0,bullish,2022-10-28
loss,13235.323944,13224.53258,13235.323944,13202.949851999998,10.791364000000613,-10.791364000000613,2022-11-11 09:15:00,2022,15m,edge,2.0,bearish,2022-11-11
loss,13213.457233,13152.684815,13213.457233,13031.139979000003,60.77241799999865,-60.77241799999865,2022-11-29 09:30:00,2022,15m,edge,2.0,bearish,2022-11-29
win,13592.858871000002,13488.353031,13436.100111,13592.858871000002,52.25292000000081,104.50584000000163,2022-12-02 10:45:00,2022,15m,edge,2.0,bullish,2022-12-02
no_exit,,13250.65904,13413.665433,12924.646254000001,163.00639299999966,,,2022,15m,edge,2.0,bearish,2022-12-06
win,14574.1799755,15091.065953,15297.820344,14574.1799755,206.7543910000004,516.885977500001,2022-05-05 14:00:00,2022,15m,edge,2.5,bearish,2022-05-05
loss,14659.516277,14630.307208,14659.516277,14557.284535499999,29.209069000000454,-29.209069000000454,2022-05-30 09:45:00,2022,15m,edge,2.5,bearish,2022-05-30
loss,14576.470885,14668.679907,14576.470885,14899.202461999997,92.2090219999991,-92.2090219999991,2022-06-01 09:15:00,2022,15m,edge,2.5,bullish,2022-06-01
no_exit,,13247.255032,13066.693758,13698.658216999998,180.56127399999968,,,2022,15m,edge,2.5,bullish,2022-06-22
no_exit,,15562.267703,15454.845173,15830.824027999999,107.42252999999982,,,2022,15m,edge,2.5,bullish,2022-08-15
win,13948.072763,13803.795163,13746.084123,13948.072763,57.71104000000014,144.27760000000035,2022-09-07 12:30:00,2022,15m,edge,2.5,bullish,2022-09-07
no_exit,,13168.303894,13274.797618,12902.069584,106.49372399999993,,,2022,15m,edge,2.5,bearish,2022-09-22
win,12846.266874499997,12579.322607,12472.5449,12846.266874499997,106.77770699999928,266.9442674999982,2022-10-17 22:45:00,2022,15m,edge,2.5,bullish,2022-10-17
no_exit,,12859.330104,12717.622456,13213.599224000005,141.70764800000143,,,2022,15m,edge,2.5,bullish,2022-10-28
loss,13235.323944,13224.53258,13235.323944,13197.554169999998,10.791364000000613,-10.791364000000613,2022-11-11 09:15:00,2022,15m,edge,2.5,bearish,2022-11-11
loss,13213.457233,13152.684815,13213.457233,13000.753770000003,60.77241799999865,-60.77241799999865,2022-11-29 09:30:00,2022,15m,edge,2.5,bearish,2022-11-29
win,13618.985331000003,13488.353031,13436.100111,13618.985331000003,52.25292000000081,130.63230000000203,2022-12-02 13:45:00,2022,15m,edge,2.5,bullish,2022-12-02
no_exit,,13250.65904,13413.665433,12843.143057500001,163.00639299999966,,,2022,15m,edge,2.5,bearish,2022-12-06
no_exit,,15091.065953,15297.820344,14470.802779999998,206.7543910000004,,,2022,15m,edge,3.0,bearish,2022-05-05
loss,14659.516277,14630.307208,14659.516277,14542.680000999999,29.209069000000454,-29.209069000000454,2022-05-30 09:45:00,2022,15m,edge,3.0,bearish,2022-05-30
loss,14576.470885,14668.679907,14576.470885,14945.306972999997,92.2090219999991,-92.2090219999991,2022-06-01 09:15:00,2022,15m,edge,3.0,bullish,2022-06-01
no_exit,,13247.255032,13066.693758,13788.938853999998,180.56127399999968,,,2022,15m,edge,3.0,bullish,2022-06-22
no_exit,,15562.267703,15454.845173,15884.535292999999,107.42252999999982,,,2022,15m,edge,3.0,bullish,2022-08-15
win,13976.928283000001,13803.795163,13746.084123,13976.928283000001,57.71104000000014,173.13312000000042,2022-09-07 13:00:00,2022,15m,edge,3.0,bullish,2022-09-07
no_exit,,13168.303894,13274.797618,12848.822722,106.49372399999993,,,2022,15m,edge,3.0,bearish,2022-09-22
