timeframe,body_filter,sl_type,rr_ratio,total_trades,wins,losses,total_pnl,gross_profit,gross_loss,win_rate,profit_factor,expected_value
5m,100,78%,2.0,22,3,19,-1230.081433739988,576.9842876000039,1807.0657213399918,13.64,0.32,-0.5908
5m,100,78%,2.5,22,2,20,-1404.6900877499866,493.4769838500051,1898.1670715999917,9.09,0.26,-0.6818500000000001
5m,100,78%,3.0,22,2,20,-1305.9946909799855,592.1723806200062,1898.1670715999917,9.09,0.31,-0.6364000000000001
5m,100,78%,3.5,22,2,20,-1207.2992942099845,690.8677773900072,1898.1670715999917,9.09,0.36,-0.5909500000000001
5m,100,78%,4.0,22,2,20,-1108.6038974399835,789.5631741600082,1898.1670715999917,9.09,0.42,-0.5455000000000001
5m,100,78%,4.5,22,2,20,-1009.9085006699825,888.2585709300092,1898.1670715999917,9.09,0.47,-0.5000500000000001
5m,100,78%,5.0,22,2,20,-911.2131038999814,986.9539677000103,1898.1670715999917,9.09,0.52,-0.45460000000000006
5m,100,middle,1.5,22,8,14,-78.43505025000195,759.9415387499976,838.3765889999995,36.36,0.91,-0.09099999999999997
5m,100,middle,2.0,22,7,15,-22.76727749999918,881.4913359999991,904.2586134999983,31.82,0.97,-0.04540000000000011
5m,100,middle,2.5,22,4,18,-390.887493750005,681.5119912499949,1072.399485,18.18,0.64,-0.36369999999999997
5m,100,middle,3.0,22,3,19,-605.4592375000066,554.6587829999935,1160.1180205,13.64,0.48,-0.4544
5m,100,middle,3.5,22,2,20,-774.5594077500073,443.6793462499927,1218.238754,9.09,0.36,-0.5909500000000001
5m,100,middle,4.0,22,2,20,-711.1766440000083,507.06210999999166,1218.238754,9.09,0.42,-0.5455000000000001
5m,100,middle,4.5,22,2,20,-647.7938802500094,570.4448737499906,1218.238754,9.09,0.47,-0.5000500000000001
5m,100,middle,5.0,22,2,20,-584.4111165000104,633.8276374999896,1218.238754,9.09,0.52,-0.45460000000000006
5m,150,62%,1.5,1,1,0,162.64300155,162.64300155,0.0,100.0,0.0,1.5
5m,150,62%,2.0,1,1,0,216.8573354,216.8573354,0.0,100.0,0.0,2.0
5m,150,62%,2.5,1,0,1,-108.4286677,0.0,108.4286677,0.0,0.0,-1.0
5m,150,62%,3.0,1,0,1,-108.4286677,0.0,108.4286677,0.0,0.0,-1.0
5m,150,62%,3.5,1,0,1,-108.4286677,0.0,108.4286677,0.0,0.0,-1.0
5m,150,62%,4.0,1,0,1,-108.4286677,0.0,108.4286677,0.0,0.0,-1.0
5m,150,62%,4.5,1,0,1,-108.4286677,0.0,108.4286677,0.0,0.0,-1.0
5m,150,62%,5.0,1,0,1,-108.4286677,0.0,108.4286677,0.0,0.0,-1.0
5m,150,78%,1.5,1,1,0,204.06326594999973,204.06326594999973,0.0,100.0,0.0,1.5
5m,150,78%,2.0,1,0,1,-136.04217729999982,0.0,136.04217729999982,0.0,0.0,-1.0
5m,150,78%,2.5,1,0,1,-136.04217729999982,0.0,136.04217729999982,0.0,0.0,-1.0
5m,150,78%,3.0,1,0,1,-136.04217729999982,0.0,136.04217729999982,0.0,0.0,-1.0
5m,150,78%,3.5,1,0,1,-136.04217729999982,0.0,136.04217729999982,0.0,0.0,-1.0
5m,150,78%,4.0,1,0,1,-136.04217729999982,0.0,136.04217729999982,0.0,0.0,-1.0
5m,150,78%,4.5,1,0,1,-136.04217729999982,0.0,136.04217729999982,0.0,0.0,-1.0
5m,150,78%,5.0,1,0,1,-136.04217729999982,0.0,136.04217729999982,0.0,0.0,-1.0
5m,150,middle,1.5,1,1,0,131.57780325000022,131.57780325000022,0.0,100.0,0.0,1.5
5m,150,middle,2.0,1,1,0,175.4370710000003,175.4370710000003,0.0,100.0,0.0,2.0
5m,150,middle,2.5,1,1,0,219.29633875000036,219.29633875000036,0.0,100.0,0.0,2.5
5m,150,middle,3.0,1,0,1,-87.71853550000014,0.0,87.71853550000014,0.0,0.0,-1.0
5m,150,middle,3.5,1,0,1,-87.71853550000014,0.0,87.71853550000014,0.0,0.0,-1.0
5m,150,middle,4.0,1,0,1,-87.71853550000014,0.0,87.71853550000014,0.0,0.0,-1.0
5m,150,middle,4.5,1,0,1,-87.71853550000014,0.0,87.71853550000014,0.0,0.0,-1.0
5m,150,middle,5.0,1,0,1,-87.71853550000014,0.0,87.71853550000014,0.0,0.0,-1.0
