sweep_type,sweep_level,sweep_wick,sweep_time,fvg_type,fvg_time,fvg_high,fvg_low,direction,entry_time,entry_price,stop_loss,take_profit,risk,outcome,exit_time,exit_price,pnl
bearish,8859.433895,8859.719739,2019-10-07 08:45:00,bullish_fvg,2019-10-07 08:50:00,8845.713406,8843.426658,SHORT,2019-10-07 08:50:00,8844.855876,8860.219739,8798.764286999998,15.363863000000492,LOSS,2019-10-07 09:06:00,8860.219739,-15.363863000000492
bearish,8803.69441,8814.556463,2019-10-08 13:30:00,bullish_fvg,2019-10-08 13:45:00,8809.41128,8805.981158,SHORT,2019-10-08 13:45:00,8806.267001,8815.056463,8779.898614999998,8.78946200000064,LOSS,2019-10-08 13:47:00,8815.056463,-8.78946200000064
bearish,8811.983872,8812.841402,2019-10-09 11:45:00,bullish_fvg,2019-10-09 11:55:00,8809.982967,8807.982062,SHORT,2019-10-09 11:57:00,8808.553749,8813.341402,8794.190790000002,4.787652999999409,LOSS,2019-10-09 12:00:00,8813.341402,-4.787652999999409
bearish,8805.123627,8815.985681,2019-10-09 20:30:00,bullish_fvg,2019-10-09 20:35:00,8794.833261,8775.967589,SHORT,2019-10-09 20:37:00,8793.404043,8816.485681,8724.159129000001,23.081637999999657,LOSS,2019-10-10 05:11:00,8816.485681,-23.081637999999657
bearish,8868.580887,8870.295949,2019-10-10 14:30:00,bullish_fvg,2019-10-10 14:45:00,8864.007391,8861.148956,SHORT,2019-10-10 14:56:00,8862.006487,8870.795949,8835.638101000004,8.78946199999882,LOSS,2019-10-10 15:00:00,8870.795949,-8.78946199999882
bullish,9089.252081,9088.39455,2019-10-15 18:30:00,bearish_fvg,2019-10-15 18:40:00,9090.109611,9089.823768,LONG,2019-10-15 18:44:00,9089.823768,9087.89455,9095.611421999998,1.9292179999993095,LOSS,2019-10-15 18:45:00,9087.89455,-1.9292179999993095
bearish,9078.390027,9079.533401,2019-10-18 03:30:00,bullish_fvg,2019-10-18 03:40:00,9078.104184,9077.81834,SHORT,2019-10-18 03:44:00,9078.104184,9080.033401,9072.316532999997,1.92921700000079,LOSS,2019-10-18 03:45:00,9080.033401,-1.92921700000079
bearish,9074.102375,9074.388218,2019-10-21 11:00:00,bullish_fvg,2019-10-21 11:05:00,9069.243035,9066.098756,SHORT,2019-10-21 11:06:00,9067.24213,9074.888218,9044.303866000002,7.646087999999509,LOSS,2019-10-21 11:21:00,9074.888218,-7.646087999999509
bullish,9056.380077,9051.520737,2019-10-22 12:45:00,bearish_fvg,2019-10-22 12:50:00,9063.240321,9060.381886,LONG,2019-10-22 12:52:00,9062.096947,9051.020737,9095.325576999998,11.076209999999264,LOSS,2019-10-22 13:33:00,9051.020737,-11.076209999999264
bearish,9000.640591,9005.785775,2019-10-23 09:30:00,bullish_fvg,2019-10-23 09:40:00,8993.20866,8989.778538,SHORT,2019-10-23 09:43:00,8990.921912,9006.285775,8944.830322999998,15.363863000000492,LOSS,2019-10-23 09:51:00,9006.285775,-15.363863000000492
bearish,9192.44159,9194.442494,2019-10-25 14:45:00,bullish_fvg,2019-10-25 14:55:00,9184.437971,9182.72291,SHORT,2019-10-25 14:55:00,9184.437971,9194.942494,9152.924401999995,10.504523000001427,LOSS,2019-10-27 17:00:00,9194.942494,-10.504523000001427
bearish,9218.739193,9221.025941,2019-10-27 19:00:00,bullish_fvg,2019-10-27 19:05:00,9215.594914,9212.736479,SHORT,2019-10-27 19:08:00,9213.022323,9221.525941,9187.511468999997,8.503618000000642,LOSS,2019-10-28 03:13:00,9221.525941,-8.503618000000642
bullish,9203.303643,9202.446113,2019-10-30 02:00:00,bearish_fvg,2019-10-30 02:05:00,9204.732861,9204.447017,LONG,2019-10-30 02:07:00,9204.732861,9201.946113,9213.093105000002,2.7867480000004434,LOSS,2019-10-30 02:42:00,9201.946113,-2.7867480000004434
