direction,entry_time,entry_price,stop_loss,take_profit,fvg_type,year,exit_time,exit_price,exit_reason,exit_idx,pnl
long,2018-02-21 02:00:00,7967.671109,7958.970301,7980.722320999999,bearish,2018,2018-02-21 02:05:00,7958.970301,SL,9847,-8.700807999999597
short,2018-02-21 02:10:00,7953.026809,7982.229638,7909.2225655,bullish,2018,2018-02-21 07:30:00,7982.229638,SL,9912,-29.202828999999838
short,2018-02-22 02:00:00,7874.826243,7889.091886,7853.427778500001,bullish,2018,2018-02-22 02:20:00,7889.091886,SL,10123,-14.265642999999727
long,2018-02-22 02:25:00,7892.399404,7866.711207,7930.931699499999,bearish,2018,2018-02-22 03:00:00,7866.711207,SL,10131,-25.68819699999949
short,2018-02-22 03:05:00,7875.704901,7893.778062,7848.5951595,bullish,2018,2018-02-22 04:00:00,7893.778062,SL,10143,-18.073161000000255
long,2018-02-22 04:05:00,7891.22786,7863.196575,7933.2747875000005,bearish,2018,2018-02-22 06:05:00,7933.2747875000005,TP,10168,42.04692750000049
long,2018-02-23 02:00:00,7984.072726,7979.472322,7990.973332000001,bearish,2018,2018-02-23 02:05:00,7979.472322,SL,10393,-4.600404000000708
long,2018-02-23 02:10:00,7985.24427,7974.49326,8001.370785,bearish,2018,2018-02-23 02:25:00,7974.49326,SL,10397,-10.751009999999951
short,2018-02-23 02:30:00,7977.92212,7992.187763,7956.523655500001,bullish,2018,2018-02-23 06:00:00,7992.187763,SL,10440,-14.265642999999727
long,2018-02-26 02:00:00,8096.540955,8084.911287,8113.985457000001,bearish,2018,2018-02-26 03:00:00,8113.985457000001,TP,10677,17.444502000000284
long,2018-02-26 03:05:00,8112.649686,8086.375717,8152.0606394999995,bearish,2018,2018-02-26 08:35:00,8152.0606394999995,TP,10744,39.41095349999978
long,2018-02-27 02:00:00,8197.879516,8179.806355,8224.989257500003,bearish,2018,2018-02-27 03:10:00,8179.806355,SL,10952,-18.073161000001164
short,2018-02-27 03:15:00,8181.770785,8202.47992,8150.707082499999,bullish,2018,2018-02-27 09:10:00,8202.47992,SL,11024,-20.70913500000006
long,2018-02-28 02:00:00,8102.10579,8084.032629,8129.215531499998,bearish,2018,2018-02-28 07:30:00,8129.215531499998,TP,11277,27.109741499998563
long,2018-03-01 02:00:00,8065.202152,8043.321473,8098.0231705,bearish,2018,2018-03-01 03:40:00,8043.321473,SL,11504,-21.880678999999873
short,2018-03-01 03:45:00,8039.721069,8082.689541,7975.268361,bullish,2018,2018-03-01 08:50:00,7975.268361,TP,11566,64.4527079999998
short,2018-03-02 02:00:00,7909.972565,7939.46828,7865.7289925000005,bullish,2018,2018-03-02 02:20:00,7939.46828,SL,11761,-29.49571500000002
long,2018-03-02 02:25:00,7934.867876,7908.593907,7974.2788295,bearish,2018,2018-03-02 02:55:00,7908.593907,SL,11768,-26.273968999999852
long,2018-03-02 05:45:00,7854.909994,7840.351466,7876.747785999999,bearish,2018,2018-03-02 06:45:00,7840.351466,SL,11814,-14.55852799999957
short,2018-03-05 02:00:00,7916.123171,7930.6817,7894.2853775,bullish,2018,2018-03-05 02:15:00,7930.6817,SL,12033,-14.558528999999908
long,2018-03-05 02:20:00,7940.725596,7898.635782,8003.860317000001,bearish,2018,2018-03-05 04:45:00,8003.860317000001,TP,12063,63.134721000000354
long,2018-03-05 04:50:00,7998.131255,7953.698353,8064.780608000001,bearish,2018,2018-03-05 07:55:00,7953.698353,SL,12101,-44.43290200000047
long,2018-03-06 02:00:00,8089.218805,8079.346453,8104.027333000001,bearish,2018,2018-03-06 02:40:00,8079.346453,SL,12311,-9.872352000000319
long,2018-03-06 02:45:00,8080.725111,8077.882023,8084.989742999999,bearish,2018,2018-03-06 02:55:00,8084.989742999999,TP,12314,4.2646319999994375
short,2018-03-06 03:10:00,8081.603769,8094.990753,8061.523293,bullish,2018,2018-03-06 04:40:00,8094.990753,SL,12335,-13.386983999999757
long,2018-03-07 02:00:00,8028.005628,7990.894877,8083.6717545,bearish,2018,2018-03-07 09:25:00,8083.6717545,TP,12665,55.666126500000246
long,2018-03-08 02:00:00,8132.565935,8119.17895,8152.646412499998,bearish,2018,2018-03-08 06:10:00,8152.646412499998,TP,12899,20.08047749999878
short,2018-03-09 02:00:00,8171.514544,8174.349262,8167.262467,bullish,2018,2018-03-09 02:10:00,8167.262467,TP,13124,4.252077000000099
long,2018-03-09 02:15:00,8168.887985,8162.25935,8178.830937500001,bearish,2018,2018-03-09 04:55:00,8178.830937500001,TP,13157,9.942952500000501
long,2018-03-09 05:00:00,8177.64318,8166.636947,8194.1525295,bearish,2018,2018-03-09 07:20:00,8166.636947,SL,13186,-11.006233000000066
long,2018-03-12 02:00:00,8371.42481,8362.461456,8384.869841,bearish,2018,2018-03-12 03:30:00,8362.461456,SL,13413,-8.963353999999526
short,2018-03-12 03:35:00,8361.210417,8378.637126,8335.070353500001,bullish,2018,2018-03-12 10:25:00,8335.070353500001,TP,13496,26.140063499999087
long,2018-03-13 02:00:00,8365.004335,8360.418577,8371.882972,bearish,2018,2018-03-13 03:00:00,8371.882972,TP,13680,6.878636999999799
long,2018-03-13 03:05:00,8371.42481,8360.418577,8387.9341595,bearish,2018,2018-03-13 07:30:00,8387.9341595,TP,13734,16.5093495000001
long,2018-03-14 02:00:00,8250.311291,8241.056097,8264.194081999998,bearish,2018,2018-03-14 02:45:00,8264.194081999998,TP,13950,13.882790999998178
long,2018-03-14 02:50:00,8274.825835,8242.223456,8323.7294035,bearish,2018,2018-03-14 10:20:00,8242.223456,SL,14041,-32.60237899999993
long,2018-03-15 02:00:00,8252.937849,8245.141854,8264.6318415,bearish,2018,2018-03-15 03:40:00,8245.141854,SL,14234,-7.795995000000403
long,2018-03-15 03:45:00,8248.268412,8243.390815,8255.584807499998,bearish,2018,2018-03-15 04:05:00,8255.584807499998,TP,14239,7.31639549999818
short,2018-03-15 05:00:00,8243.307136,8261.901204,8215.416033999998,bullish,2018,2018-03-15 09:30:00,8261.901204,SL,14304,-18.594068000000334
long,2018-03-16 02:00:00,8243.015296,8242.223456,8244.203055999998,bearish,2018,2018-03-16 02:05:00,8242.223456,SL,14488,-0.7918399999998655
short,2018-03-16 02:10:00,8240.972417,8256.939927,8217.021152000003,bullish,2018,2018-03-16 06:00:00,8256.939927,SL,14535,-15.967509999998583
short,2018-03-19 02:00:00,8155.463354,8168.220626,8136.327446000001,bullish,2018,2018-03-19 03:20:00,8136.327446000001,TP,14776,19.13590799999929
short,2018-03-19 03:25:00,8093.009636,8165.594068,7984.132987999999,bullish,2018,2018-03-19 11:45:00,7984.132987999999,TP,14877,108.87664800000039
long,2018-03-20 02:00:00,8057.11334,8052.819423,8063.5542155,bearish,2018,2018-03-20 02:20:00,8063.5542155,TP,15037,6.440875500000402
long,2018-03-20 02:25:00,8061.199097,8053.403102,8072.893089499999,bearish,2018,2018-03-20 02:45:00,8053.403102,SL,15042,-7.795994999999493
long,2018-03-20 02:50:00,8052.735743,8049.901025,8056.98782,bearish,2018,2018-03-20 02:55:00,8049.901025,SL,15044,-2.8347180000000662
