1.0R,1.5R,2.0R
-60.52069099998971,-79.061361999994,-108.62608499999806
-60.228850999989845,-78.62360199999421,-108.04240499999833
-85.61891399998967,-104.01366499999403,-133.43246799999815
-104.00482199998987,-122.39957299999423,-151.81837599999835
-99.62722499999018,-126.77716999999393,-156.19597299999805
-115.09473399999024,-142.244678999994,-171.6634819999981
-130.56224399998973,-157.7121889999935,-187.1309919999976
-127.35200599998916,-152.89683199999308,-180.71051599999646
-115.3865739999892,-134.9486839999936,-156.77965199999653
-119.76417199998923,-139.32628199999363,-161.15724999999657
-135.23168199998963,-154.79379199999403,-176.62475999999697
-148.07263299998976,-167.63474299999416,-189.4657109999971
-162.08094299998993,-181.64305299999432,-203.47402099999726
-160.91358299999047,-179.89201299999513,-201.13930099999834
-150.9910289999898,-165.00818199999412,-181.294192999997
-154.49310699998932,-168.51025999999365,-184.79627099999652
-127.93568499998946,-195.0676819999935,-211.35369299999638
-152.15838899998926,-219.2903859999933,-235.57639699999618
-142.81951499998922,-205.2820749999937,-216.8986489999961
-118.8886509999893,-169.38577899999382,-169.03692099999625
-129.1030439999895,-179.60017199999402,-179.25131399999646
-141.65215499998885,-192.14928299999337,-191.8004249999958
-147.48895099998845,-197.98607899999297,-197.6372209999954
-144.86239199998818,-200.61263799999324,-200.26377999999568
-153.61758599998757,-209.36783199999263,-209.01897399999507
-162.63495899998816,-218.38520499999322,-218.03634699999566
-144.30933099998765,-190.89676299999155,-181.38509099999465
-153.03582099998857,-199.62325299999247,-190.11158099999557
-164.67113999998946,-211.25857199999336,-201.74689999999646
-167.2890869999901,-213.876518999994,-204.3648469999971
-150.41787399998975,-188.56969949999439,-170.6224209999964
-142.56403299998965,-196.4235404999945,-178.4762619999965
-141.69138399998883,-195.11456699999326,-176.73096399999486
-126.85635099998944,-172.86201749999418,-147.0608979999961
-115.51191499999004,-155.84536349999507,-124.37202599999728
-129.18341499999042,-169.51686349999545,-138.04352599999766
-124.23840399999062,-174.46187449999525,-142.98853699999745
-106.78542499998912,-148.282405999993,-108.08257899999444
-143.43668199998865,-184.93366299999252,-144.73383599999397
-164.67113999998764,-206.16812099999152,-165.96829399999297
-168.1617359999882,-209.65871699999207,-169.45888999999352
-155.94464999998945,-191.33308799999486,-145.02471799999603
-165.54378899998937,-200.93222699999478,-154.62385699999595
-139.94608699998844,-162.5356739999943,-103.4284529999959
-152.16317199998684,-174.7527589999927,-115.6455379999943
-150.12699099998554,-171.69848749998982,-111.57317599999169
-151.87228899998536,-173.44378549998964,-113.31847399999151
