date,entry_time,direction,entry_price,stop_loss,take_profit,box_high,box_low,box_range,risk,order_type,result,exit_time,exit_price,pnl,pnl_points
2022-02-22,2022-02-22 09:30:00+01:00,SHORT,15908.919885,15944.572131,15766.310900999997,15980.224377,15908.919885,71.30449200000112,35.65224600000147,LIMIT,LOSS,2022-02-22 09:35:00+01:00,15944.572131,-35.65224600000147,-35.65224600000147
2022-02-25,2022-02-25 09:50:00+01:00,SHORT,16013.442534,16086.465206500001,15721.351843999999,16159.487879,16013.442534,146.04534500000045,73.02267250000114,LIMIT,LOSS,2022-02-25 10:45:00+01:00,16086.465206500001,-73.02267250000114,-73.02267250000114
2022-02-28,2022-02-28 09:20:00+01:00,LONG,16072.147036,16035.492518,16218.765108000001,16072.147036,15998.838,73.30903600000056,36.65451800000119,LIMIT,WIN,2022-02-28 10:35:00+01:00,16218.765108000001,146.61807200000112,146.61807200000112
2022-03-01,2022-03-01 09:35:00+01:00,LONG,16276.896882,16211.176477,16539.778501999994,16276.896882,16145.456072,131.44080999999824,65.72040499999821,LIMIT,LOSS,2022-03-01 10:10:00+01:00,16211.176477,-65.72040499999821,-65.72040499999821
2022-03-02,2022-03-02 09:45:00+01:00,LONG,16138.583349,16090.187931,16332.165021,16138.583349,16041.792513,96.79083600000013,48.39541800000006,LIMIT,LOSS,2022-03-02 10:05:00+01:00,16090.187931,-48.39541800000006,-48.39541800000006
2022-03-03,2022-03-03 09:30:00+01:00,LONG,16422.942227,16345.480921499999,16732.787449,16422.942227,16268.019616,154.92261099999996,77.46130550000089,LIMIT,LOSS,2022-03-03 09:45:00+01:00,16345.480921499999,-77.46130550000089,-77.46130550000089
2022-03-04,2022-03-04 09:10:00+01:00,SHORT,15910.638066,15979.2221055,15636.301907999998,16047.806145,15910.638066,137.16807900000094,68.58403950000138,LIMIT,LOSS,2022-03-04 09:30:00+01:00,15979.2221055,-68.58403950000138,-68.58403950000138
2022-03-07,2022-03-07 09:15:00+01:00,LONG,15805.829054,15751.4200035,16023.465255999998,15805.829054,15697.010953,108.81810099999893,54.409050500000376,LIMIT,LOSS,2022-03-07 09:40:00+01:00,15751.4200035,-54.409050500000376,-54.409050500000376
2022-03-08,2022-03-08 09:45:00+01:00,LONG,15260.306735,15206.3272305,15476.224753,15260.306735,15152.347726,107.95900900000015,53.979504500000985,LIMIT,LOSS,2022-03-08 09:50:00+01:00,15206.3272305,-53.979504500000985,-53.979504500000985
2022-03-09,2022-03-09 09:10:00+01:00,LONG,15589.338307,15554.401969499999,15729.083657000001,15589.338307,15519.465632,69.87267500000053,34.93633750000117,LIMIT,LOSS,2022-03-09 09:15:00+01:00,15554.401969499999,-34.93633750000117,-34.93633750000117
2022-03-10,2022-03-10 09:40:00+01:00,SHORT,15473.647485,15538.795162999999,15213.056772999998,15603.942841,15473.647485,130.29535600000054,65.14767799999936,LIMIT,LOSS,2022-03-10 09:55:00+01:00,15538.795162999999,-65.14767799999936,-65.14767799999936
2022-03-11,2022-03-11 09:15:00+01:00,SHORT,15728.51093,15756.574545,15616.25647,15784.63816,15728.51093,56.127230000000054,28.063614999999118,LIMIT,WIN,2022-03-11 09:35:00+01:00,15616.25647,112.25446000000011,112.25446000000011
2022-03-14,2022-03-14 10:30:00+01:00,LONG,15260.020372,15205.038595,15479.947480000004,15260.020372,15150.056818,109.96355400000175,54.981777000000875,LIMIT,LOSS,2022-03-14 11:20:00+01:00,15205.038595,-54.981777000000875,-54.981777000000875
2022-03-15,2022-03-15 10:05:00+01:00,LONG,15102.234127,15033.6500875,15376.570284999998,15102.234127,14965.066048,137.16807899999912,68.58403949999956,LIMIT,WIN,2022-03-15 15:15:00+01:00,15376.570284999998,274.33615799999825,274.33615799999825
2022-03-16,2022-03-16 09:15:00+01:00,SHORT,15626.565552,15668.517792999999,15458.756588,15710.470034,15626.565552,83.90448199999992,41.95224099999905,LIMIT,LOSS,2022-03-16 09:35:00+01:00,15668.517792999999,-41.95224099999905,-41.95224099999905
2022-03-17,2022-03-17 10:15:00+01:00,LONG,15953.878943,15899.183529,16172.660598999999,15953.878943,15844.488115,109.3908279999996,54.6954139999998,LIMIT,LOSS,2022-03-17 10:45:00+01:00,15899.183529,-54.6954139999998,-54.6954139999998
2022-03-18,2022-03-18 09:30:00+01:00,LONG,16068.997038,16040.217514,16184.115133999998,16068.997038,16011.43799,57.559047999999166,28.779523999999583,LIMIT,LOSS,2022-03-18 09:35:00+01:00,16040.217514,-28.779523999999583,-28.779523999999583
2022-03-21,2022-03-21 09:45:00+01:00,LONG,16501.405805,16475.489915,16605.069364999992,16501.405805,16449.574025,51.8317799999968,25.915890000000218,LIMIT,LOSS,2022-03-21 09:50:00+01:00,16475.489915,-25.915890000000218,-25.915890000000218
2022-03-22,2022-03-22 09:05:00+01:00,LONG,16493.673992,16472.483098999997,16578.437564000003,16493.673992,16451.292206,42.38178600000174,21.19089300000269,LIMIT,LOSS,2022-03-22 09:10:00+01:00,16472.483098999997,-21.19089300000269,-21.19089300000269
2022-03-23,2022-03-23 09:35:00+01:00,SHORT,16631.987525,16657.0443245,16531.760327,16682.101124,16631.987525,50.11359900000025,25.056799499998306,LIMIT,LOSS,2022-03-23 10:10:00+01:00,16657.0443245,-25.056799499998306,-25.056799499998306
2022-03-24,2022-03-24 09:35:00+01:00,SHORT,16613.946629,16636.855703,16522.310332999994,16659.764777,16613.946629,45.81814800000211,22.909074000002875,LIMIT,LOSS,2022-03-24 09:40:00+01:00,16636.855703,-22.909074000002875,-22.909074000002875
2022-03-25,2022-03-25 09:10:00+01:00,SHORT,16951.28274,16972.473633,16866.519167999995,16993.664526,16951.28274,42.38178600000174,21.19089300000269,LIMIT,WIN,2022-03-25 09:35:00+01:00,16866.519167999995,84.76357200000348,84.76357200000348
2022-03-29,2022-03-29 09:05:00+02:00,LONG,17296.637026,17246.666609,17496.518694000002,17296.637026,17196.696192,99.9408340000009,49.97041700000045,LIMIT,LOSS,2022-03-29 11:10:00+02:00,17246.666609,-49.97041700000045,-49.97041700000045
2022-03-30,2022-03-30 09:35:00+02:00,SHORT,17373.382423,17389.275593,17309.809742999994,17405.168763,17373.382423,31.786340000002383,15.893169999999373,LIMIT,LOSS,2022-03-30 10:30:00+02:00,17389.275593,-15.893169999999373,-15.893169999999373
2022-03-31,2022-03-31 09:10:00+02:00,LONG,17320.977917,17295.634754,17422.350569,17320.977917,17270.291591,50.6863259999991,25.34316300000137,LIMIT,LOSS,2022-03-31 09:35:00+02:00,17295.634754,-25.34316300000137,-25.34316300000137
2022-04-01,2022-04-01 09:35:00+02:00,SHORT,17103.341717,17114.509890499998,17058.669023,17125.678064,17103.341717,22.336347000000387,11.168173499998375,LIMIT,WIN,2022-04-01 10:00:00+02:00,17058.669023,44.672694000000774,44.672694000000774
2022-04-04,2022-04-04 09:40:00+02:00,SHORT,17073.273557,17088.307636999998,17013.137237000003,17103.341717,17073.273557,30.068159999998898,15.03407999999763,LIMIT,LOSS,2022-04-04 10:30:00+02:00,17088.307636999998,-15.03407999999763,-15.03407999999763
2022-04-05,2022-04-05 09:05:00+02:00,LONG,17347.896079,17331.000636999997,17415.477846999995,17347.896079,17314.105195,33.79088399999819,16.895442000000912,LIMIT,LOSS,2022-04-05 09:15:00+02:00,17331.000636999997,-16.895442000000912,-16.895442000000912
2022-04-07,2022-04-07 09:05:00+02:00,SHORT,16648.31024,16688.257937000002,16488.519451999993,16728.205634,16648.31024,79.89539400000285,39.947697000003245,LIMIT,LOSS,2022-04-07 10:35:00+02:00,16688.257937000002,-39.947697000003245,-39.947697000003245
2022-04-08,2022-04-08 09:05:00+02:00,SHORT,16694.414751,16709.0192855,16635.996613,16723.62382,16694.414751,29.209069000000454,14.604534499998408,LIMIT,WIN,2022-04-08 09:45:00+02:00,16635.996613,58.41813800000091,58.41813800000091
2022-04-11,2022-04-11 09:45:00+02:00,SHORT,16231.937825,16271.026432,16075.583397000002,16310.115039,16231.937825,78.17721399999937,39.08860699999968,LIMIT,WIN,2022-04-11 11:50:00+02:00,16075.583397000002,156.35442799999873,156.35442799999873
2022-04-12,2022-04-12 09:05:00+02:00,LONG,16076.442487,16048.808417,16186.978767,16076.442487,16021.174347,55.26814000000013,27.634070000000065,LIMIT,WIN,2022-04-12 09:30:00+02:00,16186.978767,110.53628000000026,110.53628000000026
2022-04-13,2022-04-13 09:05:00+02:00,SHORT,16006.283449,16058.8311365,15796.092699000003,16111.378824,16006.283449,105.09537499999897,52.54768750000039,LIMIT,LOSS,2022-04-13 10:40:00+02:00,16058.8311365,-52.54768750000039,-52.54768750000039
2022-04-14,2022-04-14 09:55:00+02:00,SHORT,16255.133262,16285.774148,16132.569717999999,16316.415034,16255.133262,61.281772000000274,30.640886000001046,LIMIT,LOSS,2022-04-14 10:20:00+02:00,16285.774148,-30.640886000001046,-30.640886000001046
