date,direction,tokyo_high,tokyo_low,tokyo_range,manipulation_high,manipulation_low,amplitude
2024-03-15,bullish,19320.844455,19269.287655,51.556799999998475,19356.008836,,35.16438100000232
2024-03-18,bullish,19186.003595,19103.512716,82.49087899999722,19243.112665,,57.10907000000225
2024-03-19,bullish,19258.976295,19196.050561,62.925734000000375,19303.658855,,44.682560000001104
2024-03-20,bullish,19320.315667,19276.955077,43.36059000000023,19331.420208,,11.104541000000609
2024-03-21,bullish,19677.776142,19627.012525,50.76361700000052,19742.023846,,64.24770400000125
2024-03-22,bullish,19665.878419,19598.986777,66.89164200000232,19678.30493,,12.426510999997845
2024-03-25,bearish,19672.223872,19634.415552,37.808320000000094,,19585.502691,48.912860999997065
2024-03-26,bullish,19624.368586,19582.858753,41.50983300000007,19685.443564,,61.074978000000556
2024-03-27,bearish,19583.38754,19545.843615,37.543924999998126,,19533.945892,11.89772300000186
2024-03-28,bearish,19570.696636,19543.46407,27.23256599999877,,19522.048169,21.415901000000304
2024-04-01,bearish,19682.535231,19632.036008,50.49922300000253,,19625.426161,6.609846999999718
2024-04-02,bullish,19555.097399,19520.461806,34.63559299999906,19576.777694,,21.680295000001934
2024-04-03,bearish,19384.563371,19344.904294,39.65907700000025,,19314.763396,30.14089800000147
2024-04-04,bearish,19524.692107,19491.642877,33.049230000000534,,19470.755763,20.887113999997382
2024-04-05,bullish,19163.00133,19092.672568,70.32876199999737,19192.349047,,29.347717000000557
2024-04-08,bearish,19389.586854,19322.166424,67.42043000000194,,19297.049009,25.11741500000062
2024-04-09,bearish,19372.13686,19337.765661,34.37119899999743,,19317.671728,20.093933000000106
2024-04-10,bullish,19444.845167,19424.222447,20.62271999999939,19471.548945,,26.703777999999147
2024-04-11,bullish,19255.274782,19195.786167,59.48861500000203,19265.850535,,10.575753000000987
2024-04-12,bearish,19565.144365,19538.440587,26.703777999999147,,19470.226976,68.21361099999922
2024-04-15,bullish,19302.601279,19239.939939,62.661339999998745,19348.870202,,46.26892299999963
2024-04-17,bearish,18970.522613,18920.287783,50.23483000000124,,18801.574947,118.71283599999879
2024-04-18,bullish,18757.685569,18696.874986,60.810583000002225,18793.907526,,36.22195699999793
2024-04-22,bullish,18265.384234,18191.089564,74.29466999999931,18301.870585,,36.48635099999956
2024-04-23,bullish,18340.736479,18287.064529,53.671949999999924,18406.83494,,66.09846100000141
2024-04-24,bearish,18766.939354,18705.071195,61.86815899999783,,18684.184081,20.88711400000102
2024-04-25,bearish,18501.75233,18452.839469,48.9128610000007,,18409.478879,43.36059000000023
2024-04-26,bearish,18810.564338,18763.766628,46.797709999998915,,18732.039367,31.727261
2024-04-29,bearish,18948.31353,18903.630971,44.682559000000765,,18895.170368,8.460602999999537
2024-04-30,bearish,18952.015044,18927.69081,24.324233999999706,,18889.882491,37.808318999999756
2024-05-01,bearish,18538.503074,18506.511419,31.99165500000163,,18420.054632,86.45678699999917
2024-05-02,bullish,18572.345486,18525.283382,47.06210399999691,18613.062137,,40.71665100000246
2024-05-03,bearish,18811.093126,18758.743145,52.34998099999939,,18739.706788,19.036357000000862
2024-05-06,bullish,19051.691523,19025.252138,26.439385000001494,19084.740753,,33.049229999996896
2024-05-07,bearish,19237.560394,19214.822524,22.73787000000084,,19200.280862,14.541661999999633
2024-05-08,bullish,19264.264172,19232.536911,31.727261,19265.586141,,1.3219690000005357
2024-05-09,bearish,19223.283127,19193.671016,29.61211099999855,,19146.080125,47.59089099999983
2024-05-10,bullish,19284.622498,19262.149021,22.473476999999548,19360.767925,,76.14542699999947
2024-05-13,bullish,19340.409599,19288.059618,52.34998099999939,19356.008836,,15.599237000002177
2024-05-14,bullish,19342.789144,19314.234609,28.554534999999305,19362.883076,,20.093931999999768
2024-05-15,bearish,19499.839086,19459.122434,40.71665199999916,,19451.983801,7.138633000002301
2024-05-16,bearish,19817.640485,19790.407919,27.23256599999877,,19783.004892,7.403027000000293
2024-05-17,bearish,19741.759452,19717.964006,23.795446000000084,,19688.880684,29.08332199999859
