date,type,entry_price,stop_loss,risk,tokyo_high,tokyo_low,tokyo_eq,entry_datetime,outcome,profit_points,Sweep_Depth,Time_Outside,Tokyo_Range_Size
2022-10-04,short,13045.055158,13047.577024,2.521866000000955,12980.874941,12875.801133,12928.338037000001,2022-10-04 03:25:00,loss,-2.521866000000955,81.22,28,105.07
2022-10-05,long,13169.439827,13162.658212,6.781614999999874,13201.245953,13135.077852,13168.1619025,2022-10-05 01:40:00,loss,-6.781614999999874,61.62,-4,66.17
2022-10-06,long,13235.607927,13234.789961,0.8179659999987052,13324.210705,13254.066839,13289.138771999998,2022-10-06 02:15:00,loss,-0.8179659999987052,114.73,12,70.14
2022-10-07,long,13084.528832,13075.47535,9.053481999999349,13136.497769,13058.402371,13097.450069999999,2022-10-07 02:10:00,loss,-9.053481999999349,48.85,10,78.1
2022-10-10,long,12581.026507,12548.970381,32.05612600000131,12588.410072,12510.882641,12549.646356500001,2022-10-10 02:10:00,loss,-32.05612600000131,20.45,4,77.53
2022-10-11,long,12428.243511,12400.447135,27.796376000000237,12528.489603,12396.721369,12462.605486,2022-10-11 02:25:00,loss,-27.796376000000237,68.16,6,131.77
2022-10-12,short,12400.981118,12433.60521,32.62409200000002,12414.896298,12308.970541,12361.933419500001,2022-10-12 02:00:00,loss,-32.62409200000002,53.96,12,105.93
2022-10-13,long,12308.118591,12281.174165,26.94442600000002,12357.247696,12307.550625,12332.399160500001,2022-10-13 02:10:00,win,26.94442600000002,35.78,14,49.7
2022-10-14,long,12682.692515,12675.05895,7.63356500000009,12705.411176,12519.970105,12612.6906405,2022-10-14 01:35:00,win,7.63356500000009,18.46,-27,185.44
2022-10-17,short,12301.01901,12323.135721,22.116711000000578,12272.620683,12224.911495,12248.766089,2022-10-17 01:30:00,loss,-22.116711000000578,110.75,6,47.71
2022-10-19,long,12779.814791,12757.698079,22.116712000000916,12924.078288,12848.254757,12886.1665225,2022-10-19 02:50:00,loss,-22.116712000000916,155.34,22,75.82
2022-10-21,short,12511.450607,12534.987235,23.536627999999837,12565.975394,12475.384733,12520.6800635,2022-10-21 02:05:00,loss,-23.536627999999837,27.26,-3,90.59
2022-10-24,long,12949.068815,12938.027451,11.041364000000613,13035.115744,12907.607259,12971.3615015,2022-10-24 01:25:00,loss,-11.041364000000613,116.15,3,127.51
2022-10-25,short,13056.698472,13069.443735,12.745263000000705,13067.489836,12983.998757,13025.744296500001,2022-10-25 01:45:00,loss,-12.745263000000705,11.36,9,83.49
2022-10-26,short,13048.462957,13054.108639,5.645682000000306,13071.181618,12990.814355,13030.9979865,2022-10-26 01:30:00,win,5.645682000000306,69.86,4,80.37
2022-10-27,long,13010.693183,13005.047501,5.645682000000306,13105.827576,13019.496664,13062.66212,2022-10-27 03:25:00,win,5.645682000000306,37.77,21,86.33
2022-10-28,long,12623.907979,12605.483051,18.424928000000364,12709.954908,12635.26731,12672.611109,2022-10-28 03:45:00,loss,-18.424928000000364,69.58,33,74.69
2022-10-31,long,13116.050974,13113.529108,2.521865999999136,13156.092614,13082.824932,13119.458772999998,2022-10-31 02:35:00,win,2.521865999999136,38.05,-6,73.27
2022-11-01,short,13073.737468,13077.963233,4.225765000001047,13063.230087,13021.484547,13042.357317,2022-11-01 02:30:00,loss,-4.225765000001047,84.34,18,41.75
2022-11-02,short,12883.468682,12886.842497,3.373814999999013,12931.745836,12857.342221,12894.5440285,2022-11-02 02:20:00,loss,-3.373814999999013,6.53,-13,74.4
2022-11-04,short,12249.618039,12261.22737,11.609330999999656,12247.346173,12166.410943,12206.878558,2022-11-04 02:20:00,loss,-11.609330999999656,53.67,15,80.94
2022-11-07,short,12304.710792,12308.368591,3.657799000000523,12372.582792,12251.037955,12311.8103735,2022-11-07 01:40:00,win,3.657799000000523,59.35,-10,121.54
2022-11-08,long,12483.904231,12480.530415,3.3738160000011703,12558.023862,12476.236683,12517.130272499999,2022-11-08 01:30:00,loss,-3.3738160000011703,32.37,4,81.79
2022-11-09,long,12625.611879,12617.410348,8.201531000000614,12681.840565,12581.026507,12631.433536,2022-11-09 01:15:00,loss,-8.201531000000614,47.71,-24,100.81
2022-11-10,long,12328.281403,12323.203687,5.077716000001601,12371.730842,12322.033771,12346.8823065,2022-11-10 01:50:00,win,5.077716000001601,8.8,4,49.7
2022-11-11,short,13317.111124,13317.361124,0.25,13316.259174,13199.826036,13258.042605,2022-11-11 02:10:00,loss,-0.25,61.91,14,116.43
2022-11-14,long,13407.133818,13398.36432,8.769497999999658,13434.112228,13357.436747,13395.774487499999,2022-11-14 02:50:00,loss,-8.769497999999658,7.38,-7,76.68
2022-11-15,short,13452.855123,13457.364872,4.509749000000738,13435.248161,13361.12853,13398.188345499999,2022-11-15 02:00:00,loss,-4.509749000000738,39.19,12,74.12
2022-11-16,short,13551.681299,13554.487148,2.8058490000003076,13550.829349,13447.743425,13499.286387,2022-11-16 02:40:00,loss,-2.8058490000003076,38.34,20,103.09
2022-11-17,short,13388.10694,13395.172538,7.065598000001046,13394.354571,13338.977835,13366.666203,2022-11-17 01:20:00,loss,-7.065598000001046,40.89,4,55.38
2022-11-18,long,13309.727559,13308.909592,0.8179670000008628,13346.929366,13297.800262,13322.364814,2022-11-18 01:20:00,loss,-0.8179670000008628,38.91,4,49.13
2022-11-21,long,13255.770739,13251.828957,3.9417819999998756,13277.63745,13242.991492,13260.314471,2022-11-21 01:20:00,win,3.9417819999998756,45.72,-4,34.65
2022-11-22,long,13160.636346,13158.11448,2.521865999999136,13206.357651,13155.808631,13181.083141,2022-11-22 01:55:00,loss,-2.521865999999136,62.48,11,50.55
2022-11-23,short,13354.880898,13359.67463,4.793732000000091,13338.977835,13313.135358,13326.056596499999,2022-11-23 02:10:00,win,4.793732000000091,43.73,9,25.84
2022-11-24,long,13520.727123,13517.637291,3.089832000001479,13522.998989,13501.700245,13512.349617,2022-11-24 01:25:00,win,3.089832000001479,13.63,5,21.3
2022-11-25,long,13529.814588,13528.144671,1.6699169999992591,13539.470019,13520.44314,13529.9565795,2022-11-25 01:30:00,win,1.6699169999992591,63.9,4,19.03
2022-11-28,short,13293.824496,13303.729927,9.905431000001045,13296.096362,13241.571576,13268.833969,2022-11-28 02:55:00,win,9.905431000001045,27.55,19,54.52
2022-11-29,short,13259.178538,13267.948036,8.769497999999658,13263.438287,13198.122137,13230.780212000001,2022-11-29 03:15:00,win,8.769497999999658,32.09,27,65.32
2022-11-30,short,13103.271727,13107.781476,4.509749000000738,13116.902924,13086.232731,13101.5678275,2022-11-30 01:45:00,loss,-4.509749000000738,44.59,6,30.67
2022-12-02,short,13672.942152,13678.019868,5.077715999999782,13662.718755,13628.924746,13645.8217505,2022-12-02 03:20:00,loss,-5.077715999999782,34.93,28,33.79
2022-12-05,long,13598.254554,13587.21319,11.041363999998794,13630.060679,13609.897868,13619.979273500001,2022-12-05 01:50:00,loss,-11.041363999998794,44.02,9,20.16
2022-12-06,long,13413.38145,13394.388555,18.992895000001226,13453.991056,13398.61432,13426.302688,2022-12-06 02:00:00,win,18.992895000001226,16.19,12,55.38
2022-12-07,long,13139.905568,13134.827852,5.077715999999782,13172.27966,13138.485652,13155.382656,2022-12-07 02:55:00,loss,-5.077715999999782,61.34,23,33.79
2022-12-08,short,13082.256966,13083.926882,1.6699159999989206,13060.958221,12987.122572,13024.0403965,2022-12-08 02:10:00,loss,-1.6699159999989206,57.65,14,73.84
2022-12-09,short,13274.797618,13285.271015,10.47339699999975,13277.353467,13208.913501,13243.133484000002,2022-12-09 02:15:00,win,10.47339699999975,32.09,15,68.44
2022-12-12,short,13126.274371,13137.315735,11.041364000000613,13135.645819,13089.072564,13112.3591915,2022-12-12 02:15:00,loss,-11.041364000000613,39.19,15,46.57
2022-12-13,short,13315.404418,13326.901486,11.497068000000581,13323.074772,13268.266003,13295.6703875,2022-12-13 02:05:00,win,11.497068000000581,38.44,12,54.81
2022-12-19,short,12780.887486,12784.23043,3.3429439999999886,12803.100447,12745.459221,12774.279834,2022-12-19 01:25:00,win,3.3429439999999886,25.02,-9,57.64
2022-12-21,long,12651.546198,12638.36207,13.184128000000783,12668.416801,12603.746157,12636.081479,2022-12-21 03:00:00,loss,-13.184128000000783,8.15,10,64.67
2022-12-22,long,12781.44984,12777.544543,3.9052969999993365,12800.28868,12765.14159,12782.715134999999,2022-12-22 01:25:00,loss,-3.9052969999993365,16.03,-7,35.15
2022-12-27,long,12553.415526,12547.541991,5.873535000000629,12578.440253,12536.8261,12557.6331765,2022-12-27 02:00:00,win,5.873535000000629,33.74,12,41.61
2022-12-28,short,12298.10707,12303.418251,5.311180999999124,12302.324721,12251.712913,12277.018817,2022-12-28 01:45:00,loss,-5.311180999999124,18.28,9,50.61
2022-12-30,long,12348.718879,12347.344172,1.3747070000008534,12405.516575,12364.183598,12384.850086499999,2022-12-30 01:50:00,loss,-1.3747070000008534,56.24,10,41.33
2023-01-03,short,12453.878969,12457.50309,3.6241210000007413,12437.008366,12317.78944,12377.398903000001,2023-01-03 02:15:00,loss,-3.6241210000007413,122.87,7,119.22
2023-01-04,short,12393.425976,12407.453635,14.027658999999403,12359.122417,12313.852966,12336.4876915,2023-01-04 02:55:00,win,14.027658999999403,70.29,14,45.27
2023-01-05,long,12327.630625,12323.725328,3.9052969999993365,12366.995365,12297.544717,12332.270041,2023-01-05 01:25:00,loss,-3.9052969999993365,3.09,-14,69.45
2023-01-06,long,12149.083412,12139.835758,9.247654000000693,12243.277611,12195.47757,12219.3775905,2023-01-06 03:50:00,loss,-9.247654000000693,73.39,30,47.8
2023-01-09,long,12551.166112,12535.732569,15.43354300000101,12571.973189,12519.111967,12545.542578,2023-01-09 03:15:00,win,15.43354300000101,12.09,19,52.86
2023-01-10,short,12550.322582,12560.413767,10.091184999999314,12573.097896,12512.363726,12542.730811,2023-01-10 02:10:00,loss,-10.091184999999314,19.68,-2,60.73
2023-01-11,long,12658.575616,12655.232672,3.3429439999999886,12705.813304,12676.008572,12690.910938,2023-01-11 01:40:00,loss,-3.3429439999999886,34.58,8,29.8
2023-01-12,long,12901.512296,12893.389348,8.122948000000179,12925.97467,12891.108758,12908.541713999999,2023-01-12 02:55:00,win,8.122948000000179,12.37,22,34.87
2023-01-13,short,12944.81351,12951.811751,6.998240999999325,12965.33941,12902.07465,12933.707030000001,2023-01-13 02:10:00,loss,-6.998240999999325,0.28,-2,63.26
2023-01-17,long,12992.894728,12987.864724,5.03000400000019,13037.039472,12972.650005,13004.8447385,2023-01-17 02:00:00,win,5.03000400000019,4.22,12,64.39
2023-01-19,long,12871.988741,12867.802267,4.186474000000089,12907.417007,12873.956978,12890.6869925,2023-01-19 01:40:00,win,4.186474000000089,27.56,8,33.46
2023-01-20,short,12834.029885,12839.059889,5.03000400000019,12830.374588,12809.005158,12819.689873,2023-01-20 02:10:00,win,5.03000400000019,28.4,12,21.37
2023-01-23,short,13127.578373,13130.921317,3.3429439999999886,13135.170145,13109.301887,13122.236015999999,2023-01-23 01:40:00,win,3.3429439999999886,30.93,8,25.87
2023-01-24,long,13408.47391,13400.913315,7.560595000000831,13434.342167,13397.789195,13416.065681,2023-01-24 02:20:00,loss,-7.560595000000831,13.5,6,36.55
2023-01-25,short,13305.000879,13310.31206,5.311181000000943,13309.499707,13269.572613,13289.53616,2023-01-25 02:20:00,win,5.311181000000943,27.27,16,39.93
2023-01-26,short,13431.811577,13437.403934,5.592356999999538,13428.15628,13360.673868,13394.415074,2023-01-26 02:35:00,loss,-5.592356999999538,26.71,19,67.48
2023-01-27,long,13532.47284,13531.941663,0.5311770000007527,13561.996395,13524.881069,13543.438731999999,2023-01-27 01:25:00,loss,-0.5311770000007527,7.03,5,37.12
2023-01-31,long,13431.249223,13430.43687,0.812353000001167,13500.981048,13408.47391,13454.727479000001,2023-01-31 01:40:00,win,0.812353000001167,16.59,-13,92.51
2023-02-01,short,13639.882344,13641.819405,1.93706100000054,13630.322336,13591.801126,13611.061731,2023-02-01 02:55:00,win,1.93706100000054,32.62,20,38.52
2023-02-02,short,14069.520362,14081.01743,11.497068000000581,14109.447455,14060.803884,14085.125669500001,2023-02-02 01:40:00,loss,-11.497068000000581,69.17,-7,48.64
2023-02-03,long,14219.668726,14210.702248,8.96647800000028,14258.471113,14192.394585,14225.432849,2023-02-03 03:20:00,loss,-8.96647800000028,41.9,21,66.08
2023-02-06,long,14141.220424,14127.473941,13.746482999998989,14175.242806,14106.073334,14140.658070000001,2023-02-06 02:10:00,loss,-13.746482999998989,61.58,-3,69.17
2023-02-07,long,14106.354511,14101.88686,4.467650999999023,14133.628652,14091.452145,14112.5403985,2023-02-07 01:15:00,win,4.467650999999023,60.17,-6,42.18
2023-02-08,long,14373.472388,14370.129445,3.34294299999965,14405.80771,14341.69942,14373.753564999999,2023-02-08 01:35:00,loss,-3.34294299999965,38.8,-6,64.11
2023-02-09,short,14234.571092,14239.601096,5.03000400000019,14185.365168,14120.694524,14153.029846000001,2023-02-09 02:55:00,win,5.03000400000019,102.35,23,64.67
2023-02-10,short,13953.675556,13956.17497,2.499413999999888,13977.013223,13921.902587,13949.457905,2023-02-10 01:50:00,loss,-2.499413999999888,21.37,-4,55.11
