Date,Direction,Entry_Time,Entry_Price,SL_Level,SL_Distance,TP_Level,TP_Distance,Exit_Time,Exit_Price,Exit_Type,PnL_Points,Result,Asian_High,Asian_Low,Asian_Mid
2022-06-30,SHORT,2022-06-30 01:00:00,13228.970346,13328.970346,100,13128.970346,100,2022-06-30 04:00:00,13128.970346,TAKE_PROFIT,100.0,WIN,13361.248622,13290.96686,13326.107741
2022-07-05,SHORT,2022-07-05 02:45:00,13294.10954,13394.10954,100,13194.10954,100,2022-07-05 03:30:00,13194.10954,TAKE_PROFIT,100.0,WIN,13426.673514,13313.251321,13369.962417499999
2022-07-07,LONG,2022-07-07 01:00:00,13622.376794,13522.376794,100,13722.376794,100,2022-07-07 08:00:00,13632.376232,TIME_EXIT,9.999438000000737,WIN,13618.091321,13526.667891,13572.379605999999
2022-07-11,SHORT,2022-07-11 01:00:00,13714.657319,13814.657319,100,13614.657319,100,2022-07-11 08:00:00,13778.939418,TIME_EXIT,-64.28209900000002,LOSS,13859.220618,13741.512952,13800.366784999998
2022-07-12,SHORT,2022-07-12 02:15:00,13460.9573,13560.9573,100,13360.9573,100,2022-07-12 06:15:00,13560.9573,STOP_LOSS,-100.0,LOSS,13609.806072,13471.813832,13540.809952
2022-07-14,SHORT,2022-07-14 03:15:00,13327.82193,13427.82193,100,13227.82193,100,2022-07-14 08:00:00,13294.966635,TIME_EXIT,32.85529499999939,WIN,13445.243898,13328.679025,13386.9614615
2022-07-18,LONG,2022-07-18 01:30:00,13846.0785,13746.0785,100,13946.0785,100,2022-07-18 08:00:00,13850.363973,TIME_EXIT,4.285472999999911,WIN,13836.650459,13745.512727,13791.081592999999
2022-07-20,SHORT,2022-07-20 02:30:00,14033.496532,14133.496532,100,13933.496532,100,2022-07-20 08:00:00,14014.926147,TIME_EXIT,18.570384999999078,WIN,14123.205772,14054.352502,14088.779137
2022-07-25,LONG,2022-07-25 03:30:00,14236.627966,14136.627966,100,14336.627966,100,2022-07-25 08:00:00,14208.62954,TIME_EXIT,-27.99842600000011,LOSS,14212.629315,14152.346991,14182.488153
2022-07-27,LONG,2022-07-27 03:00:00,14079.779643,13979.779643,100,14179.779643,100,2022-07-27 08:00:00,14066.637525,TIME_EXIT,-13.142117999999755,LOSS,14061.780655,13993.498781,14027.639718
2022-07-28,SHORT,2022-07-28 02:30:00,14334.336757,14434.336757,100,14234.336757,100,2022-07-28 08:00:00,14389.190815,TIME_EXIT,-54.854058000000805,LOSS,14391.4764,14344.336194,14367.906297
2022-08-02,SHORT,2022-08-02 02:00:00,14706.601536,14806.601536,100,14606.601536,100,2022-08-02 08:00:00,14715.743879,TIME_EXIT,-9.142342999999528,LOSS,14828.594676,14723.457731,14776.026203500001
2022-08-05,SHORT,2022-08-05 03:30:00,15221.144029,15321.144029,100,15121.144029,100,2022-08-05 07:30:00,15121.144029,TAKE_PROFIT,100.0,WIN,15295.711264,15232.28626,15263.998762
2022-08-08,LONG,2022-08-08 01:00:00,15149.148078,15049.148078,100,15249.148078,100,2022-08-08 07:45:00,15249.148078,TAKE_PROFIT,100.0,WIN,15122.578144,15056.581855,15089.5799995
2022-08-15,SHORT,2022-08-15 02:00:00,15451.98819,15551.98819,100,15351.98819,100,2022-08-15 08:00:00,15451.702492,TIME_EXIT,0.2856979999996838,WIN,15502.842473,15461.130533,15481.986503
2022-08-17,SHORT,2022-08-17 01:45:00,15584.266466,15684.266466,100,15484.266466,100,2022-08-17 05:15:00,15484.266466,TAKE_PROFIT,100.0,WIN,15623.121424,15585.123561,15604.1224925
2022-08-19,SHORT,2022-08-19 01:00:00,15395.419943,15495.419943,100,15295.419943,100,2022-08-19 03:30:00,15295.419943,TAKE_PROFIT,100.0,WIN,15464.84461,15415.13312,15439.988865
2022-08-22,SHORT,2022-08-22 01:00:00,15045.725323,15145.725323,100,14945.725323,100,2022-08-22 03:00:00,14945.725323,TAKE_PROFIT,100.0,WIN,15110.864517,15058.581742,15084.7231295
2022-08-25,LONG,2022-08-25 01:15:00,14909.161574,14809.161574,100,15009.161574,100,2022-08-25 08:00:00,14874.020693,TIME_EXIT,-35.140880999999354,LOSS,14841.451096,14770.597937,14806.024516500001
2022-08-30,LONG,2022-08-30 02:15:00,14369.477638,14269.477638,100,14469.477638,100,2022-08-30 08:00:00,14371.477525,TIME_EXIT,1.9998869999999442,WIN,14359.4782,14266.054882,14312.766541
2022-09-07,LONG,2022-09-07 02:45:00,13760.369034,13660.369034,100,13860.369034,100,2022-09-07 08:00:00,13740.08446,TIME_EXIT,-20.28457399999934,LOSS,13740.941555,13623.805285,13682.37342
