date,tokyo_high,tokyo_low,tokyo_eq,manipulation_type,direction,fvg_timeframe,fvg_top,fvg_bottom,fvg_formation_time,inversion_time,entry_price,manip_candle_high,manip_candle_low,manip_candle_open,manip_candle_close,sl_type,sl_price,tp_level,tp_price,risk,reward_target,rr_ratio,result,exit_price,exit_time,pnl_r
2025-03-27,20400.058014,20331.966011,20366.0120125,LOW,LONG,5m,20334.261247,20331.455959,2025-03-28 02:30:00,2025-03-28 05:10:00,20343.697218,20331.455959,20305.443284,20331.200933,20309.013651,SL-Body,20309.013651,1R,20378.380785,34.68356700000004,34.68356700000004,1.0,LOSS,20309.013651,2025-03-28 06:30:00,-1.0
2025-03-27,20400.058014,20331.966011,20366.0120125,LOW,LONG,5m,20334.261247,20331.455959,2025-03-28 02:30:00,2025-03-28 05:10:00,20343.697218,20331.455959,20305.443284,20331.200933,20309.013651,SL-Body,20309.013651,1.5R,20395.7225685,34.68356700000004,52.02535050000006,1.5,LOSS,20309.013651,2025-03-28 06:30:00,-1.0
2025-03-27,20400.058014,20331.966011,20366.0120125,LOW,LONG,5m,20334.261247,20331.455959,2025-03-28 02:30:00,2025-03-28 05:10:00,20343.697218,20331.455959,20305.443284,20331.200933,20309.013651,SL-Body,20309.013651,2R,20413.064352,34.68356700000004,69.36713400000008,2.0,LOSS,20309.013651,2025-03-28 06:30:00,-1.0
2025-03-27,20400.058014,20331.966011,20366.0120125,LOW,LONG,5m,20334.261247,20331.455959,2025-03-28 02:30:00,2025-03-28 05:10:00,20343.697218,20331.455959,20305.443284,20331.200933,20309.013651,SL-Wick,20305.443284,1R,20381.951152,38.2539340000003,38.2539340000003,1.0,LOSS,20305.443284,2025-03-28 07:30:00,-1.0
2025-03-27,20400.058014,20331.966011,20366.0120125,LOW,LONG,5m,20334.261247,20331.455959,2025-03-28 02:30:00,2025-03-28 05:10:00,20343.697218,20331.455959,20305.443284,20331.200933,20309.013651,SL-Wick,20305.443284,1.5R,20401.078119,38.2539340000003,57.38090100000045,1.5,LOSS,20305.443284,2025-03-28 07:30:00,-1.0
2025-03-27,20400.058014,20331.966011,20366.0120125,LOW,LONG,5m,20334.261247,20331.455959,2025-03-28 02:30:00,2025-03-28 05:10:00,20343.697218,20331.455959,20305.443284,20331.200933,20309.013651,SL-Wick,20305.443284,2R,20420.205086,38.2539340000003,76.5078680000006,2.0,LOSS,20305.443284,2025-03-28 07:30:00,-1.0
2025-03-31,19776.773914,19670.938029,19723.8559715,HIGH,SHORT,1m,19836.450051,19831.0945,2025-04-01 02:04:00,2025-04-01 03:31:00,19829.564343,19870.878592,19847.416179,19855.832044,19852.771729,SL-Body,19855.832044,1R,19803.296641999998,26.26770100000067,26.26770100000067,1.0,LOSS,19855.832044,2025-04-01 03:40:00,-1.0
2025-03-31,19776.773914,19670.938029,19723.8559715,HIGH,SHORT,1m,19836.450051,19831.0945,2025-04-01 02:04:00,2025-04-01 03:31:00,19829.564343,19870.878592,19847.416179,19855.832044,19852.771729,SL-Body,19855.832044,1.5R,19790.1627915,26.26770100000067,39.401551500001005,1.5,LOSS,19855.832044,2025-04-01 03:40:00,-1.0
2025-03-31,19776.773914,19670.938029,19723.8559715,HIGH,SHORT,1m,19836.450051,19831.0945,2025-04-01 02:04:00,2025-04-01 03:31:00,19829.564343,19870.878592,19847.416179,19855.832044,19852.771729,SL-Body,19855.832044,2R,19777.028940999997,26.26770100000067,52.53540200000134,2.0,LOSS,19855.832044,2025-04-01 03:40:00,-1.0
2025-03-31,19776.773914,19670.938029,19723.8559715,HIGH,SHORT,1m,19836.450051,19831.0945,2025-04-01 02:04:00,2025-04-01 03:31:00,19829.564343,19870.878592,19847.416179,19855.832044,19852.771729,SL-Wick,19870.878592,1R,19788.250093999995,41.31424900000275,41.31424900000275,1.0,LOSS,19870.878592,2025-04-01 04:00:00,-1.0
