Date;High_829;Low_829;Open_830;High_830;Low_830;Close_830;High_831;Low_831;FVG_Type;FVG_Size;Year
2018-05-11;8119.567058;8117.81602;8118.399699;8124.820175;8116.64866;8124.236495;8126.571214;8119.858898;Bullish;0.29184000000077504;2018
2018-05-14;8142.622403;8140.871364;8141.455044;8148.459199;8140.871364;8148.459199;8152.544956;8146.70816;Bullish;4.08575699999983;2018
2018-05-15;8071.413491;8066.452214;8070.829811;8074.915568;8066.160374;8068.203253;8072.58085;8061.782777;;0.0;2018
2018-05-16;8056.8215;8054.194942;8054.778622;8059.739898;8053.903102;8055.654141;8063.825656;8055.654141;;0.0;2018
2018-05-17;8069.662452;8064.701175;8069.078772;8071.413491;8064.409335;8069.662452;8072.28901;8065.284855;;0.0;2018
2018-05-18;8037.851913;8032.890636;8034.933515;8039.311112;8032.015117;8034.057996;8040.770311;8032.890636;;0.0;2018
2018-05-21;8085.713641;8082.503403;8084.254442;8092.717796;8082.503403;8092.717796;8100.889311;8090.674918;Bullish;4.961276999999427;2018
2018-05-22;8104.975068;8103.515869;8104.099549;8106.434267;8102.05667;8103.224029;8109.936345;8102.34851;;0.0;2018
2018-05-23;7994.951462;7993.200423;7994.367782;8003.414816;7994.367782;8000.788258;8004.582175;7997.86986;Bullish;2.9183979999997973;2018
2018-05-24;8123.069136;8121.318097;8121.609937;8122.193617;8111.395544;8112.271063;8125.112015;8112.271063;;0.0;2018
2018-05-25;8121.318097;8118.107859;8120.734418;8131.240651;8118.691539;8130.365131;8132.69985;8128.030413;Bullish;6.712316000000101;2018
2018-05-28;8141.746884;8140.579524;8140.871364;8145.540801;8140.871364;8143.789762;8144.373442;8142.330563;Bullish;0.583679000000302;2018
2018-05-29;8091.550437;8081.919724;8090.091238;8100.889311;8086.58916;8093.593316;8104.099549;8093.593316;Bullish;2.0428790000005392;2018
2018-05-30;8126.863054;8123.652816;8123.944655;8127.738573;8121.318097;8127.446733;8128.614092;8121.609937;;0.0;2018
2018-05-31;8149.334719;8144.373442;8147.58368;8149.334719;8139.412165;8144.373442;8151.085757;8141.455044;;0.0;2018
2018-06-01;8188.149413;8182.604456;8183.479976;8190.192291;8182.604456;8184.647335;8190.484131;8182.896296;;0.0;2018
2018-06-04;8293.211742;8291.460704;8292.628063;8298.756699;8288.250466;8297.2975;8300.507738;8296.42198;Bullish;3.210237999999663;2018
2018-06-05;8364.420655;8361.210417;8364.420655;8367.047213;8362.377776;8366.755373;8370.257451;8364.420655;;0.0;2018
2018-06-06;8381.055524;8379.304485;8381.055524;8386.016801;8379.596325;8385.141281;8386.016801;8383.682082;Bullish;2.626557999999932;2018
2018-06-07;8422.204936;8418.119179;8421.913097;8423.080456;8412.574223;8413.741582;8418.411019;8412.574223;;0.0;2018
2018-06-08;8308.490749;8305.000153;8306.163685;8321.2896;8306.163685;8316.635472;8318.962536;8312.272228;Bullish;3.781478999999308;2018
2018-06-11;8345.723771;8342.524058;8343.68759;8348.341718;8342.524058;8346.887303;8348.923484;8344.560239;;0.0;2018
2018-06-12;8387.029155;8384.992974;8384.992974;8387.901804;8383.247676;8386.738272;8391.974166;8386.156506;;0.0;2018
2018-06-13;8431.825135;8430.37072;8430.952486;8432.406901;8425.134826;8426.880124;8433.27955;8426.880124;;0.0;2018
2018-06-14;8455.67754;8451.023412;8455.095774;8456.841072;8448.696348;8452.186944;8458.295487;8449.85988;;0.0;2018
2018-06-15;8478.948179;8473.421402;8474.294051;8475.457583;8461.786083;8462.658732;8464.40403;8455.386657;Bearish;9.01737200000025;2018
2018-06-18;8415.535688;8412.335975;8415.244805;8415.826571;8404.191251;8404.773017;8406.518315;8401.282421;Bearish;5.817660000000615;2018
2018-06-19;8355.904676;8352.123197;8354.159378;8363.758516;8351.832314;8363.758516;8375.975602;8363.758516;Bullish;7.853839999999764;2018
2018-06-20;8477.202881;8475.1667;8476.911998;8483.311424;8474.294051;8479.820828;8488.256435;8478.948179;Bullish;1.7452980000016396;2018
2018-06-21;8520.835329;8519.090031;8519.671797;8528.107404;8517.926499;8527.816521;8528.398287;8520.835329;;0.0;2018
2018-06-22;8457.422838;8453.932242;8453.932242;8456.841072;8444.914869;8445.205752;8446.369284;8433.570433;Bearish;7.562958000000435;2018
2018-06-25;8332.343154;8330.01609;8330.01609;8331.179622;8317.799004;8322.162249;8328.852558;8320.707834;Bearish;1.1635319999986677;2018
2018-06-26;8246.532673;8243.33296;8244.787375;8250.314151;8239.551481;8247.987088;8254.968279;8245.950907;;0.0;2018
