entry_time,entry_price,direction,setup_class,position_size,stop_loss,tp1,tp2,exit_price_1,exit_price_2,exit_time_1,exit_time_2,exit_reason,pnl,r_multiple,winner
2021-07-23 03:15:00,17164.926462,bullish,C,1,17130.013854,17234.751677999997,17191.69880830651,17173.226163,17177.519112,2021-07-23 06:00:00,2021-07-23 05:00:00,Force Close 06:00,208.92351000002236,0.2992092570111491,True
2021-08-11 02:30:00,17204.421591,bearish,B,1,17233.037873,17147.189026999993,17180.738476561288,17147.189026999993,17180.738476561288,2021-08-11 04:15:00,2021-08-11 04:15:00,Full TP2,809.1567843871599,1.4138048828060263,True
2021-08-12 01:45:00,17169.791804,bearish,C,3,17186.101633,17137.172146000004,17156.104679518674,17186.101633,17186.101633,2021-08-12 03:30:00,2021-08-12 03:30:00,Stop Loss,-978.5897399998794,-1.0,False
2021-08-16 01:00:00,17294.573515,bearish,C,2,17314.6039,17254.512745000004,17282.936803684217,17254.512745000004,17288.27719,2021-08-16 05:15:00,2021-08-16 05:00:00,Force Close 06:00,927.141899999915,1.1571693454718894,True
2021-08-16 01:15:00,17290.85296,bearish,C,2,17314.031507,17244.495866,17276.523421255755,17244.495866,17288.27719,2021-08-16 05:15:00,2021-08-16 05:00:00,Force Close 06:00,978.6572799999703,1.0555636641071486,True
2021-09-07 03:15:00,17947.674125,bearish,A,2,17967.990707,17907.040961000002,17930.799252641536,17907.040961000002,17930.799252641536,2021-09-07 04:15:00,2021-09-07 04:15:00,Full TP2,1150.1607271692774,1.415298015150023,True
2021-09-23 01:45:00,17397.723314,bullish,C,3,17383.123324,17426.923293999997,17415.68478078406,17426.923293999997,17415.68478078406,2021-09-23 02:00:00,2021-09-23 02:00:00,Full TP2,1414.8434035217724,1.6151191467960926,True
2021-09-23 02:00:00,17408.891488,bullish,C,1,17383.123324,17460.427816000003,17431.861092610994,17460.427816000003,17431.861092610994,2021-09-23 02:30:00,2021-09-23 02:30:00,Full TP2,745.0593261099493,1.4456973459768439,True
2021-09-23 02:45:00,17432.086925,bullish,B,1,17383.123324,17530.014127,17476.07522924145,17530.014127,17476.07522924145,2021-09-23 04:00:00,2021-09-23 04:00:00,Full TP2,1419.155062414502,1.4491939251103256,True
2021-09-23 03:00:00,17470.17326,bullish,B,1,17383.123324,17644.273132,17527.694219642806,17468.168716,17503.105053,2021-09-23 06:00:00,2021-09-23 05:00:00,Force Close 06:00,309.272490000003,0.17764084858144238,True
2021-09-28 01:15:00,17374.527877,bearish,C,1,17404.018765,17315.546101,17332.892636145203,17315.546101,17332.892636145203,2021-09-28 01:30:00,2021-09-28 01:30:00,Full TP2,1006.1701685479784,1.7059000877626493,True
2021-09-28 01:30:00,17354.768801,bearish,C,1,17404.018765,17256.268872999994,17301.592597304963,17256.268872999994,17301.592597304963,2021-09-28 01:45:00,2021-09-28 01:45:00,Full TP2,1516.7613169503966,1.5398603306088952,True
2021-09-28 01:45:00,17309.237017,bearish,C,1,17404.018765,17119.673520999997,17236.94129644484,17119.673520999997,17236.94129644484,2021-09-28 04:45:00,2021-09-28 04:45:00,Full TP2,2618.592165551636,1.3813799707257992,True
2021-09-28 02:30:00,17241.082522,bearish,B,1,17404.018765,16915.210036,17103.890496347114,17112.218983,17125.678064,2021-09-28 06:00:00,2021-09-28 05:00:00,Force Close 06:00,2442.6799700000265,0.7495815311023297,True
2021-10-01 01:30:00,16723.62382,bearish,C,1,16876.823706,16417.224048000004,16694.114745667688,16770.301057,16742.523806,2021-10-01 06:00:00,2021-10-01 05:00:00,Force Close 06:00,-655.7722300000023,-0.2140250385042743,False
2021-10-18 01:15:00,17279.455221,bearish,C,1,17325.841551,17186.682560999998,17250.48770816067,17261.127962,17262.559779,2021-10-18 06:00:00,2021-10-18 05:00:00,Force Close 06:00,352.22701000002417,0.37966682210040675,True
2021-10-19 01:00:00,17525.4414,bullish,C,1,17487.932336,17600.459527999996,17543.94951100779,17583.000448,17562.955008,2021-10-19 06:00:00,2021-10-19 05:00:00,Force Close 06:00,950.7265600000028,1.267329091443141,True
2021-11-11 03:15:00,18363.054408,bullish,C,1,18302.63627,18483.890684,18410.308996307627,18424.908907,18414.027097,2021-11-11 06:00:00,2021-11-11 05:00:00,Force Close 06:00,1128.271879999993,0.9337195065494869,True
2021-11-11 03:30:00,18394.268021,bullish,C,1,18302.63627,18577.531523,18446.555094864678,18424.908907,18414.027097,2021-11-11 06:00:00,2021-11-11 05:00:00,Force Close 06:00,503.99961999999505,0.2750136358302215,True
2021-12-14 03:30:00,18442.377076,bearish,C,1,18481.317957,18364.495314000003,18408.56799970068,18364.495314000003,18408.56799970068,2021-12-14 03:45:00,2021-12-14 03:45:00,Full TP2,1116.9083829931697,1.4341077478360198,True
2021-12-14 03:45:00,18427.486178,bearish,B,1,18481.317957,18319.82262,18371.805242369617,18319.82262,18371.805242369617,2021-12-14 04:00:00,2021-12-14 04:00:00,Full TP2,1633.444936303822,1.5171753252886357,True
2021-12-17 03:15:00,18068.959174,bearish,C,1,18183.786362,17839.304798,17973.102985383684,18054.35464,18010.8274,2021-12-17 06:00:00,2021-12-17 05:00:00,Force Close 06:00,727.3630799999955,0.31672075780519854,True
2021-12-22 02:30:00,18247.936313,bearish,B,1,18302.627182,18138.554574999995,18206.950132809758,18302.627182,18280.868106,2021-12-22 05:45:00,2021-12-22 05:00:00,Stop Loss,-876.2266200000522,-0.8010721314375373,False
2022-02-15 02:15:00,16338.751381,bullish,C,1,16290.074143,16436.105857000002,16412.715875073878,16436.105857000002,16412.715875073878,2022-02-15 02:30:00,2022-02-15 02:30:00,Full TP2,1713.1897007388034,1.7597441546897092,True
2022-02-15 02:30:00,16450.719479,bullish,C,1,16290.074143,16772.010151,16582.312223225443,16664.060228,16631.701161,2022-02-15 06:00:00,2022-02-15 05:00:00,Force Close 06:00,3943.224310000005,1.2273074364262948,True
2022-02-15 03:15:00,16581.587563,bullish,C,1,16290.074143,17164.614403000003,16821.181130709556,16664.060228,16631.701161,2022-02-15 06:00:00,2022-02-15 05:00:00,Force Close 06:00,1325.8626299999742,0.22741022180041814,True
2022-03-23 03:30:00,16757.98743,bearish,B,1,16812.6783,16648.605690000004,16724.66407116483,16692.69657,16714.746554,2022-03-23 06:00:00,2022-03-23 05:00:00,Force Close 06:00,1085.3173600000082,0.9922290137275538,True
2022-03-31 02:15:00,17339.877903,bullish,C,1,17291.773392,17436.086925000003,17370.284949278037,17310.955197,17337.300632,2022-03-31 06:00:00,2022-03-31 05:00:00,Force Close 06:00,-314.9997700000313,-0.3274118824324213,False
2022-04-06 02:45:00,16973.90545,bearish,C,1,17003.969065,16913.778219999993,16919.895530154776,16913.778219999993,16919.895530154776,2022-04-06 03:00:00,2022-04-06 03:00:00,Full TP2,1141.3714984522812,1.898260569216604,True
2022-04-06 03:00:00,16898.019143,bearish,C,1,17003.969065,16686.119299,16827.80688348106,16791.491951,16849.337362,2022-04-06 06:00:00,2022-04-06 05:00:00,Force Close 06:00,1552.0897300000433,0.7324638379630173,True
2022-05-09 03:00:00,14385.180119,bearish,C,1,14462.207336,14231.125685000003,14332.997942305168,14231.125685000003,14268.630207,2022-05-09 05:30:00,2022-05-09 05:00:00,Force Close 06:00,2706.0434599999826,1.7565501944592001,True
2022-05-11 03:15:00,14231.975689,bullish,C,1,14147.21666,14401.493747000002,14276.317571654,14347.952874,14331.343796,2022-05-11 06:00:00,2022-05-11 05:00:00,Force Close 06:00,2153.4529199999815,1.2703383612381653,True
2022-05-11 03:30:00,14248.87113,bullish,C,1,14147.21666,14452.180069999999,14296.690053117482,14347.952874,14331.343796,2022-05-11 06:00:00,2022-05-11 05:00:00,Force Close 06:00,1815.5441000000064,0.8929976714255731,True
2022-05-11 03:45:00,14285.525648,bullish,C,1,14152.371201,14551.834542000002,14345.826185814622,14347.952874,14331.343796,2022-05-11 06:00:00,2022-05-11 05:00:00,Force Close 06:00,1082.4537399999826,0.4064654859029891,True
2022-05-19 02:30:00,13585.080719,bearish,C,1,13694.180639,13366.880878999998,13502.456560961851,13523.22622,13433.308106,2022-05-19 06:00:00,2022-05-19 05:00:00,Force Close 06:00,2136.271119999983,0.9790433943489473,True
2022-06-28 01:15:00,13779.796513,bullish,C,1,13678.373533,13982.642472999998,13861.609764065799,13832.079287,13813.508903,2022-06-28 06:00:00,2022-06-28 05:00:00,Force Close 06:00,859.9516400000175,0.4239431931501238,True
2022-06-29 01:45:00,13344.678125,bearish,B,1,13399.532295,13234.969785,13307.883148859644,13299.537806,13282.96731,2022-06-29 06:00:00,2022-06-29 05:00:00,Force Close 06:00,1068.5113400000046,0.9739563464363734,True
2022-06-29 02:00:00,13328.107628,bearish,B,1,13399.532295,13185.258293999997,13277.454415482374,13299.537806,13282.96731,2022-06-29 06:00:00,2022-06-29 05:00:00,Force Close 06:00,737.1013999999923,0.5159991855474668,True
2022-08-11 01:45:00,15377.992352,bullish,C,1,15294.568359,15544.840337999996,15397.477784000455,15329.709353,15345.994151,2022-08-11 06:00:00,2022-08-11 05:00:00,Force Close 06:00,-802.8119999999763,-0.4811637342748569,False
2022-08-15 02:15:00,15474.272652,bearish,C,2,15498.557113,15425.703729999997,15457.629084891885,15425.703729999997,15457.629084891885,2022-08-15 04:30:00,2022-08-15 04:30:00,Full TP2,1304.2497821623328,1.34267936002602,True
2022-08-16 02:15:00,15597.694282,bearish,C,1,15642.263317,15508.556212,15571.633049587153,15642.263317,15642.263317,2022-08-16 03:30:00,2022-08-16 03:30:00,Stop Loss,-891.3807000000088,-1.0,False
2022-08-18 01:45:00,15363.707441,bearish,C,1,15410.562061,15269.998201,15329.732140651971,15410.562061,15410.562061,2022-08-18 04:00:00,2022-08-18 04:00:00,Stop Loss,-937.0924000000014,-1.0,False
2022-08-22 01:15:00,15065.4385,bearish,C,1,15112.864517,14970.586466,15030.010723603067,14970.586466,15030.010723603067,2022-08-22 02:45:00,2022-08-22 02:45:00,Full TP2,1302.798103969326,1.3735057109785669,True
2022-09-01 01:15:00,13876.933907,bearish,C,1,13979.499681,13671.802359000003,13835.844199326415,13905.789428,13887.79044,2022-09-01 06:00:00,2022-09-01 05:00:00,Force Close 06:00,-397.12053999999625,-0.1935931083599101,False
2022-09-06 02:15:00,13934.930646,bullish,C,1,13862.363186,14080.065566000001,13982.08793669085,13937.787628,13936.644835,2022-09-06 06:00:00,2022-09-06 05:00:00,Force Close 06:00,45.71170999997776,0.031496010746399024,True
2022-09-30 02:00:00,12806.225234,bullish,C,1,12697.731511,13023.212679999999,12874.25494047055,12808.4971,12826.672029,2022-09-30 06:00:00,2022-09-30 05:00:00,Force Close 06:00,227.18661000000793,0.10470034750305729,True
2022-10-05 03:15:00,13134.793869,bearish,C,1,13193.590522,13017.200562999997,13102.35219925666,13138.769635,13096.740112,2022-10-05 06:00:00,2022-10-05 05:00:00,Force Close 06:00,340.7799099999829,0.2897953306967794,True
2022-10-31 03:15:00,13113.495124,bearish,C,1,13158.092614,13024.300143999999,13072.760028186518,13079.417133,13070.897635,2022-10-31 06:00:00,2022-10-31 05:00:00,Force Close 06:00,766.7547999999806,0.8596389617442358,True
2022-10-31 03:45:00,13068.057802,bearish,C,1,13158.092614,12887.988178,13008.414255504746,13079.417133,13070.897635,2022-10-31 06:00:00,2022-10-31 05:00:00,Force Close 06:00,-141.99164000001474,-0.07885374381634458,False
