Date,Entry_Time,Direction,Entry_Price,SL_Price,FVG_Used,FVG_Level,Risk_R,TP_Price,Exit_Time,Exit_Price,Exit_Type,PnL_Points,PnL_R,Asian_High,Asian_Low
2024-02-06,2024-02-06 01:00:00,LONG,19033.044359,19008.388074,True,19008.388074,24.656285000000935,19057.700644,2024-02-06 03:48:00,19008.388074,SL,-24.656285000000935,-1.0,19030.364328,18968.455611
2024-02-07,2024-02-07 01:00:00,SHORT,18913.246972,18924.503102,True,18924.503102,11.256129999997938,18901.990842000003,2024-02-07 01:02:00,18924.503102,SL,-11.256129999997938,-1.0,18987.483832,18915.390997
2024-02-08,2024-02-08 01:00:00,LONG,19145.337659,19134.349532,True,19134.349532,10.988127000000532,19156.325786,2024-02-08 01:03:00,19134.349532,SL,-10.988127000000532,-1.0,19143.729641,19120.681374
2024-02-09,2024-02-09 01:15:00,LONG,19168.653929,19148.01769,True,19148.01769,20.636238999999478,19189.290168,2024-02-09 02:02:00,19189.290168,TP,20.636238999999478,1.0,19165.437892,19137.833572
2024-02-12,2024-02-12 02:15:00,LONG,19349.556024,19337.763887,True,19337.763887,11.792137000000366,19361.348161,2024-02-12 02:16:00,19337.763887,SL,-11.792137000000366,-1.0,19339.907912,19312.839598
2024-02-13,2024-02-13 01:00:00,LONG,19246.910835,19240.746764,True,19240.746764,6.16407099999924,19253.074905999998,2024-02-13 01:02:00,19240.746764,SL,-6.16407099999924,-1.0,19235.654705,19208.318388
2024-02-14,2024-02-14 01:00:00,LONG,19002.224002,18974.351679,True,18974.351679,27.872322999999597,19030.096325,2024-02-14 01:01:00,18974.351679,SL,-27.872322999999597,-1.0,18967.919605,18941.655301
2024-02-15,2024-02-15 01:00:00,LONG,19199.742289,19179.374053,True,19179.374053,20.36823600000207,19220.110525000004,2024-02-15 03:12:00,19179.374053,SL,-20.36823600000207,-1.0,19171.601963,19128.98947
2024-02-16,2024-02-16 01:15:00,LONG,19254.682925,19239.942754,True,19239.942754,14.740171000001283,19269.423096000002,2024-02-16 02:03:00,19269.423096000002,TP,14.740171000001283,1.0,19246.106826,19201.082305
2024-02-20,2024-02-20 02:15:00,SHORT,18932.543195,18995.255922,True,18995.255922,62.712727000001905,18869.830467999996,2024-02-20 08:32:00,18995.255922,SL,-62.712727000001905,-1.0,19031.43634,18939.511276
2024-02-21,2024-02-21 02:15:00,SHORT,18786.481504,18845.978193,True,18845.978193,59.496688999999606,18726.984815,2024-02-21 08:30:00,18726.984815,TP,59.496688999999606,1.0,18849.19423,18801.489678
2024-02-22,2024-02-22 01:00:00,LONG,19102.725166,19099.509129,True,19099.509129,3.216037000001961,19105.941203000002,2024-02-22 01:01:00,19105.941203000002,TP,3.216037000001961,1.0,19099.777132,18977.031711
2024-02-23,2024-02-23 03:15:00,SHORT,19301.851471,19328.383778,True,19328.383778,26.532306999997672,19275.319164000004,2024-02-23 05:20:00,19328.383778,SL,-26.532306999997672,-1.0,19354.916086,19312.839598
2024-02-26,2024-02-26 03:45:00,LONG,19287.647307,19261.115,True,19261.115,26.532306999997672,19314.179613999997,2024-02-26 07:32:00,19314.179613999997,TP,26.532306999997672,1.0,19279.607214,19212.606438
2024-02-27,2024-02-27 01:15:00,LONG,19265.939055,19234.314689,True,19234.314689,31.62436600000001,19297.563421,2024-02-27 03:22:00,19297.563421,TP,31.62436600000001,1.0,19261.919009,19218.502506
2024-02-28,2024-02-28 01:15:00,SHORT,19275.587167,19301.047462,True,19301.047462,25.46029499999713,19250.126872000004,2024-02-28 02:24:00,19250.126872000004,TP,25.46029499999713,1.0,19314.447617,19288.719319
2024-02-29,2024-02-29 02:00:00,SHORT,19132.47351,19197.598264,True,19197.598264,65.1247540000004,19067.348756,2024-02-29 07:30:00,19197.598264,SL,-65.1247540000004,-1.0,19221.45054,19155.521777
