Date,Entry_Time,Direction,Entry_Price,Exit_Time,Exit_Price,Exit_Type,PnL_Points,Risk_R
2023-03-28,2023-03-28 02:15:00,SHORT,14238.899723,2023-03-28 07:00:00,14242.796216,FORCE_CLOSE,-3.8964930000001914,42.356538
2023-03-29,2023-03-29 01:00:00,LONG,14261.44372,2023-03-29 07:00:00,14301.243616,FORCE_CLOSE,39.799896000000444,77.98161900000014
2023-03-30,2023-03-30 01:00:00,LONG,14455.711742,2023-03-30 07:00:00,14521.395486,FORCE_CLOSE,65.68374399999993,61.28236199999992
2023-04-04,2023-04-04 03:45:00,LONG,14769.379451,2023-04-04 07:00:00,14831.723343,FORCE_CLOSE,62.34389199999896,46.53135199999997
2023-04-05,2023-04-05 02:15:00,SHORT,14708.148842,2023-04-05 07:00:00,14701.469139,FORCE_CLOSE,6.67970299999979,41.799895999998625
2023-04-06,2023-04-06 02:15:00,LONG,14557.577209,2023-04-06 04:45:00,14490.450107,SL,-67.12710199999856,67.12710199999856
2023-04-10,2023-04-10 01:00:00,SHORT,14605.726733,2023-04-10 07:00:00,14565.648517,FORCE_CLOSE,40.078215999999884,71.58023700000012
2023-04-11,2023-04-11 03:45:00,LONG,14684.769883,2023-04-11 06:00:00,14633.228754,SL,-51.54112900000109,51.54112900000109
2023-04-13,2023-04-13 01:30:00,LONG,14464.339691,2023-04-13 07:00:00,14435.672634,FORCE_CLOSE,-28.66705699999875,76.59001399999943
2023-04-14,2023-04-14 04:00:00,SHORT,14666.679021,2023-04-14 07:00:00,14657.216109,FORCE_CLOSE,9.46291199999905,47.64463500000056
2023-04-18,2023-04-18 01:00:00,LONG,14679.481784,2023-04-18 03:30:00,14740.259255999998,TP,60.77747199999794,30.38873599999897
2023-04-19,2023-04-19 01:00:00,SHORT,14622.42599,2023-04-19 07:00:00,14563.978591,FORCE_CLOSE,58.44739900000059,60.16907800000081
2023-04-20,2023-04-20 02:00:00,SHORT,14595.428858,2023-04-20 07:00:00,14510.81929,FORCE_CLOSE,84.60956799999985,49.871203000000605
2023-04-21,2023-04-21 01:30:00,SHORT,14542.547878,2023-04-21 07:00:00,14520.838844,FORCE_CLOSE,21.70903399999952,52.09777100000065
2023-04-24,2023-04-24 01:00:00,SHORT,14498.016526,2023-04-24 04:30:00,14557.907283,SL,-59.89075700000103,59.89075700000103
2023-04-25,2023-04-25 02:00:00,SHORT,14472.68932,2023-04-25 07:00:00,14480.482306,FORCE_CLOSE,-7.792986000000383,68.24038600000131
2023-04-27,2023-04-27 01:00:00,LONG,14456.825026,2023-04-27 07:00:00,14502.469661,FORCE_CLOSE,45.64463499999874,57.38586899999973
2023-04-28,2023-04-28 03:15:00,SHORT,14679.203464,2023-04-28 07:00:00,14683.099957,FORCE_CLOSE,-3.8964930000001914,52.09777000000031
2023-05-02,2023-05-02 01:00:00,LONG,14816.972333,2023-05-02 07:00:00,14803.056286,FORCE_CLOSE,-13.916047000000617,48.20127700000012
2023-05-03,2023-05-03 02:15:00,LONG,14693.119511,2023-05-03 07:00:00,14714.828545,FORCE_CLOSE,21.70903399999952,44.02646300000015
2023-05-09,2023-05-09 01:45:00,SHORT,14833.949911,2023-05-09 06:30:00,14779.852141,TP,54.09777000000031,27.048885000000155
