Date,Direction,Entry_Price,SL,TP1,TP2,Scenario,Outcome,PnL,FVG_High,FVG_Low
2018-12-07,bearish,7893.35319,7842.130288,7914.801732,7935.670583,scenario_c,win,210.4854200000009,7891.034429,7890.744584
2018-12-10,bullish,7637.419916,7668.063812,7618.0002905,7598.580665,scenario_a,loss,-616.8779200000099,7641.477748,7639.448832
2018-12-10,bullish,7637.419916,7668.063812,7618.0002905,7598.580665,scenario_b,loss,-616.8779200000099,7641.477748,7639.448832
2018-12-10,bullish,7637.419916,7668.063812,7618.0002905,7598.580665,scenario_c,loss,-616.8779200000099,7641.477748,7639.448832
2018-12-11,bullish,7733.648508,7817.623914,7738.865721,7715.678108,scenario_a,win,-108.34425999999803,7737.12665,7735.967269
2018-12-11,bullish,7733.648508,7817.623914,7738.865721,7715.678108,scenario_c,loss,-56.172129999999015,7737.12665,7735.967269
2018-12-12,bullish,7855.383475,7887.476597,7829.0075655,7804.370727,scenario_a,loss,-645.8624400000044,7857.412391,7856.542855
2018-12-12,bullish,7855.383475,7887.476597,7829.0075655,7804.370727,scenario_b,loss,-645.8624400000044,7857.412391,7856.542855
2018-12-12,bullish,7855.383475,7887.476597,7829.0075655,7804.370727,scenario_c,loss,-645.8624400000044,7857.412391,7856.542855
2018-12-13,bullish,7894.222726,7928.054919,7880.165236,7859.151462,scenario_a,win,277.14980000000287,7899.729784,7898.570403
2018-12-13,bullish,7894.222726,7928.054919,7880.165236,7859.151462,scenario_c,win,136.57490000000143,7899.729784,7898.570403
2018-12-14,bearish,7753.05241,7708.666663,7775.5311335,7806.399643,scenario_a,win,445.57446999998865,7751.320078,7750.742634
2018-12-14,bearish,7753.05241,7708.666663,7775.5311335,7806.399643,scenario_c,win,220.78723499999433,7751.320078,7750.742634
2018-12-17,bearish,7663.259862,7635.619992,7674.9531035,7686.935067,scenario_a,win,229.86483000000226,7660.661363,7659.217753
2018-12-17,bearish,7663.259862,7635.619992,7674.9531035,7686.935067,scenario_c,win,112.93241500000113,7660.661363,7659.217753
2018-12-19,bullish,7523.229682,7561.552266,7516.444714,7499.265754,scenario_a,win,131.6993599999987,7526.405624,7525.82818
