Date;Entry_Time;Entry_Price;Exit_Time;Exit_Price;Exit_Reason;Stop_Loss;Take_Profit;PnL;Risk;Reward;RR_Ratio;Asia_Low;Asia_EQ;FVG_High;FVG_Low
2023-01-19;2023-01-19 02:00:00;12888.296991;2023-01-19 02:05:00;12892.9364065;Take Profit;12873.956978;12892.9364065;4.639415500001633;14.34001299999909;4.639415500001633;0.3235293789483962;12873.956978;12892.9364065;12874.238155;12870.020504
2023-01-20;2023-01-20 03:20:00;12811.816925;2023-01-20 03:25:00;12816.0345755;Take Profit;12801.694563;12816.0345755;4.217650500000673;10.122362000000066;4.217650500000673;0.4166666337363399;12801.694563;12816.0345755;12810.129865;12802.538093
2023-01-24;2023-01-24 01:55:00;13407.63038;2023-01-24 02:00:00;13411.988619;Take Profit;13397.789195;13411.988619;4.35823899999923;9.841185000001133;4.35823899999923;0.44285713559888656;13397.789195;13411.988619;13404.537436;13403.975082
2023-01-27;2023-01-27 01:15:00;13527.692836;2023-01-27 01:50:00;13544.0010855;Take Profit;13524.881069;13544.0010855;16.308249499999874;2.811767000001055;16.308249499999874;5.8000003200812005;13524.881069;13544.0010855;13522.631655;13521.788125
2023-01-31;2023-01-31 01:35:00;13436.872758;2023-01-31 01:45:00;13455.008656;Take Profit;13408.47391;13455.008656;18.135898000000452;28.398847999998907;18.135898000000452;0.6386138620834603;13408.47391;13455.008656;13432.936284;13431.5304
2023-02-03;2023-02-03 03:15:00;14211.514602;2023-02-03 03:30:00;14229.509911500001;Take Profit;14192.394585;14229.509911500001;17.995309500001895;19.12001699999928;17.995309500001895;0.9411764382846821;14192.394585;14229.509911500001;14203.922831;14198.86165
2023-02-06;2023-02-06 02:00:00;14138.689833;2023-02-06 02:05:00;14125.755704;Stop Loss;14125.755704;14150.499254999999;-12.934129000001121;12.934129000001121;11.809421999998449;0.9130434681761272;14125.755704;14150.499254999999;14125.474528;14122.943937
2023-02-08;2023-02-08 03:05:00;14360.257083;2023-02-08 03:10:00;14360.538259500001;Take Profit;14327.921761;14360.538259500001;0.2811765000005835;32.335322000000815;0.2811765000005835;0.008695645585362545;14327.921761;14360.538259500001;14358.288846;14343.948834
2023-02-15;2023-02-15 01:45:00;14121.256877;2023-02-15 01:55:00;14103.542744;Stop Loss;14103.542744;14142.063953500001;-17.714132999999492;17.714132999999492;20.80707650000113;1.1746031544418079;14103.542744;14142.063953500001;14118.44511;14111.978045
2023-02-16;2023-02-16 02:40:00;14342.54295;2023-02-16 02:50:00;14336.075886;Stop Loss;14336.075886;14362.084732;-6.467063999998572;6.467063999998572;19.54178200000024;3.0217393859106005;14336.075886;14362.084732;14342.261773;14341.69942
