date,type,entry_price,stop_loss,risk,tokyo_high,tokyo_low,tokyo_eq,sweep_extreme,tokyo_reference,sweep_depth,entry_datetime,outcome,profit_points
2024-05-30,long,19758.416264,19751.556418,6.859845999999379,19810.501851,19744.667785,19777.584818000003,19731.97688,19744.667785,12.690905000003113,2024-05-30 02:10:00,win,6.859845999999379
2024-05-31,short,19598.457989,19602.673897,4.215908000001946,19637.588278,19567.788304,19602.688291,19642.082974,19637.588278,4.494696000001568,2024-05-31 02:30:00,win,4.215908000001946
2024-06-03,short,19706.859465,19717.685219,10.825753999997687,19727.482185,19661.383724,19694.4329545,19754.450357,19727.482185,26.968172000000777,2024-06-03 02:20:00,loss,-10.825753999997687
2024-06-04,long,19694.961742,19681.227656,13.734086000000389,19752.335206,19712.940523,19732.6378645,19611.942075,19712.940523,100.9984480000021,2024-06-04 02:40:00,loss,-13.734086000000389
2024-06-05,long,19806.800338,19793.595039,13.205299000001105,19846.459414,19792.787464,19819.623439000003,19779.832166,19792.787464,12.955298000000766,2024-06-05 02:25:00,loss,-13.205299000001105
2024-06-07,short,20181.446413,20183.54717,2.100757000000158,20193.079742,20165.318388,20179.199065,20202.333526,20193.079742,9.253783999996813,2024-06-07 02:25:00,loss,-2.100757000000158
2024-06-11,short,20203.391102,20203.905496,0.5143939999979921,20196.252468,20176.687324,20186.469896,20213.966855,20196.252468,17.714386999999988,2024-06-11 01:45:00,loss,-0.5143939999979921
2024-06-12,short,20372.338767,20377.347856,5.009088999999221,20376.833463,20345.634989,20361.234226,20386.087247,20376.833463,9.25378400000045,2024-06-12 01:40:00,win,5.009088999999221
2024-06-13,short,20772.102258,20788.215888,16.11362999999983,20771.309076,20726.097729,20748.703402500003,20804.358306,20771.309076,33.049229999996896,2024-06-13 03:10:00,win,16.11362999999983
2024-06-14,short,20769.987107,20775.26059,5.2734830000008515,20775.01059,20741.168178,20758.089384,20790.345433,20775.01059,15.334842999996908,2024-06-14 01:40:00,win,5.2734830000008515
2024-06-17,long,20833.355417,20825.538002,7.817414999997709,20852.477986,20818.106786,20835.292386,20807.260881,20818.106786,10.845905000001949,2024-06-17 01:30:00,win,7.817414999997709
2024-06-19,short,21114.654512,21116.209239,1.5547269999988202,21113.08884,21093.517938,21103.303389,21126.657998,21113.08884,13.569157999998424,2024-06-19 02:25:00,loss,-1.5547269999988202
