entry_time,entry_price,direction,stop_loss,take_profit,session,fvg_created_at,entry_index,outcome,exit_time,exit_price,pnl
2020-03-18 08:31:00,8104.622137,LONG,7998.789367,8210.454907,New York,2020-03-18 08:30:00,772987,Win,2020-03-18 08:53:00,8210.454907,105.83276999999907
2020-03-19 01:09:00,8075.525257,SHORT,8088.076852,8062.973662,London,2020-03-19 01:06:00,773897,Win,2020-03-19 01:10:00,8062.973662,12.551594999999907
2020-03-19 08:46:00,8084.938953,LONG,8050.992593,8118.885313,New York,2020-03-19 08:40:00,774354,Loss,2020-03-19 08:48:00,8050.992593,-33.94635999999991
2020-03-20 01:18:00,8401.866734,SHORT,8414.988857,8388.744610999998,London,2020-03-20 01:17:00,775271,Loss,2020-03-20 01:29:00,8414.988857,-13.122123000001011
2020-03-20 08:32:00,8481.455259,LONG,8440.947838,8521.96268,New York,2020-03-20 08:31:00,775687,Win,2020-03-20 08:36:00,8521.96268,40.50742100000025
2020-03-23 01:05:00,7689.563701,LONG,7671.306835,7707.820567,London,2020-03-23 01:03:00,776554,Win,2020-03-23 01:07:00,7707.820567,18.256865999999718
2020-03-23 08:33:00,7979.961974,LONG,7942.021925,8017.902023,New York,2020-03-23 08:31:00,777002,Loss,2020-03-23 08:35:00,7942.021925,-37.94004899999982
2020-03-24 01:21:00,8306.588716,SHORT,8315.146621,8298.030811,London,2020-03-24 01:19:00,777935,Loss,2020-03-24 01:23:00,8315.146621,-8.557904999999664
2020-03-24 08:37:00,8438.950993,SHORT,8477.176306,8400.725680000001,New York,2020-03-24 08:35:00,778351,Win,2020-03-24 08:39:00,8400.725680000001,38.225312999999005
2020-03-25 01:02:00,8584.435393,SHORT,8613.817537,8555.053248999999,London,2020-03-25 01:00:00,779261,Win,2020-03-25 01:13:00,8555.053248999999,29.382144000001063
2020-03-25 08:33:00,8657.177593,LONG,8596.131198,8718.223988000002,New York,2020-03-25 08:31:00,779712,Win,2020-03-25 08:36:00,8718.223988000002,61.04639500000121
