Date;Year;FVG_Type;Entry_Price;Body_Size;SL_Level;SL_Distance;SL_Price;RR_Ratio;TP_Distance;TP_Price;Result
2025-02-25;2025;Bearish;21996.957812;19.330620999997336;50%;9.665310499998668;22006.6231225;3.0;28.995931499996004;21967.961880500006;SL
2025-02-25;2025;Bearish;21996.957812;19.330620999997336;50%;9.665310499998668;22006.6231225;3.5;33.82858674999534;21963.129225250006;SL
2025-02-25;2025;Bearish;21996.957812;19.330620999997336;50%;9.665310499998668;22006.6231225;4.0;38.66124199999467;21958.296570000006;SL
2025-02-25;2025;Bearish;21996.957812;19.330620999997336;50%;9.665310499998668;22006.6231225;4.5;43.493897249994006;21953.463914750006;SL
2025-02-25;2025;Bearish;21996.957812;19.330620999997336;50%;9.665310499998668;22006.6231225;5.0;48.32655249999334;21948.631259500005;SL
2025-02-25;2025;Bearish;21996.957812;19.330620999997336;75%;14.497965749998002;22011.455777749998;1.0;14.497965749998002;21982.459846250003;SL
2025-02-25;2025;Bearish;21996.957812;19.330620999997336;75%;14.497965749998002;22011.455777749998;1.5;21.746948624997003;21975.210863375003;SL
2025-02-25;2025;Bearish;21996.957812;19.330620999997336;75%;14.497965749998002;22011.455777749998;2.0;28.995931499996004;21967.961880500006;SL
2025-02-25;2025;Bearish;21996.957812;19.330620999997336;75%;14.497965749998002;22011.455777749998;2.5;36.244914374995005;21960.712897625006;SL
2025-02-25;2025;Bearish;21996.957812;19.330620999997336;75%;14.497965749998002;22011.455777749998;3.0;43.493897249994006;21953.463914750006;SL
2025-02-25;2025;Bearish;21996.957812;19.330620999997336;75%;14.497965749998002;22011.455777749998;3.5;50.74288012499301;21946.21493187501;SL
2025-02-25;2025;Bearish;21996.957812;19.330620999997336;75%;14.497965749998002;22011.455777749998;4.0;57.99186299999201;21938.96594900001;SL
2025-02-25;2025;Bearish;21996.957812;19.330620999997336;75%;14.497965749998002;22011.455777749998;4.5;65.24084587499101;21931.71696612501;SL
2025-02-25;2025;Bearish;21996.957812;19.330620999997336;75%;14.497965749998002;22011.455777749998;5.0;72.48982874999001;21924.46798325001;SL
2025-02-25;2025;Bearish;21996.957812;19.330620999997336;100%;19.330620999997336;22016.288432999998;1.0;19.330620999997336;21977.627191000003;SL
2025-02-25;2025;Bearish;21996.957812;19.330620999997336;100%;19.330620999997336;22016.288432999998;1.5;28.995931499996004;21967.961880500006;SL
2025-02-25;2025;Bearish;21996.957812;19.330620999997336;100%;19.330620999997336;22016.288432999998;2.0;38.66124199999467;21958.296570000006;SL
2025-02-25;2025;Bearish;21996.957812;19.330620999997336;100%;19.330620999997336;22016.288432999998;2.5;48.32655249999334;21948.631259500005;SL
2025-02-25;2025;Bearish;21996.957812;19.330620999997336;100%;19.330620999997336;22016.288432999998;3.0;57.99186299999201;21938.96594900001;SL
2025-02-25;2025;Bearish;21996.957812;19.330620999997336;100%;19.330620999997336;22016.288432999998;3.5;67.65717349999068;21929.30063850001;SL
2025-02-25;2025;Bearish;21996.957812;19.330620999997336;100%;19.330620999997336;22016.288432999998;4.0;77.32248399998934;21919.63532800001;SL
2025-02-25;2025;Bearish;21996.957812;19.330620999997336;100%;19.330620999997336;22016.288432999998;4.5;86.98779449998801;21909.97001750001;SL
2025-02-25;2025;Bearish;21996.957812;19.330620999997336;100%;19.330620999997336;22016.288432999998;5.0;96.65310499998668;21900.304707000014;SL
2025-02-28;2025;Bearish;21136.874056;39.17672400000083;50%;19.588362000000416;21156.462418000003;1.0;19.588362000000416;21117.285694;TP
2025-02-28;2025;Bearish;21136.874056;39.17672400000083;50%;19.588362000000416;21156.462418000003;1.5;29.382543000000624;21107.491513;TP
2025-02-28;2025;Bearish;21136.874056;39.17672400000083;50%;19.588362000000416;21156.462418000003;2.0;39.17672400000083;21097.697332;TP
2025-02-28;2025;Bearish;21136.874056;39.17672400000083;50%;19.588362000000416;21156.462418000003;2.5;48.97090500000104;21087.903151;SL
2025-02-28;2025;Bearish;21136.874056;39.17672400000083;50%;19.588362000000416;21156.462418000003;3.0;58.76508600000125;21078.10897;SL
2025-02-28;2025;Bearish;21136.874056;39.17672400000083;50%;19.588362000000416;21156.462418000003;3.5;68.55926700000146;21068.314789;SL
2025-02-28;2025;Bearish;21136.874056;39.17672400000083;50%;19.588362000000416;21156.462418000003;4.0;78.35344800000166;21058.520608;SL
2025-02-28;2025;Bearish;21136.874056;39.17672400000083;50%;19.588362000000416;21156.462418000003;4.5;88.14762900000187;21048.726426999998;SL
2025-02-28;2025;Bearish;21136.874056;39.17672400000083;50%;19.588362000000416;21156.462418000003;5.0;97.94181000000208;21038.932245999997;SL
2025-02-28;2025;Bearish;21136.874056;39.17672400000083;75%;29.382543000000624;21166.256599;1.0;29.382543000000624;21107.491513;TP
2025-02-28;2025;Bearish;21136.874056;39.17672400000083;75%;29.382543000000624;21166.256599;1.5;44.073814500000935;21092.8002415;SL
2025-02-28;2025;Bearish;21136.874056;39.17672400000083;75%;29.382543000000624;21166.256599;2.0;58.76508600000125;21078.10897;SL
2025-02-28;2025;Bearish;21136.874056;39.17672400000083;75%;29.382543000000624;21166.256599;2.5;73.45635750000156;21063.417698499998;SL
2025-02-28;2025;Bearish;21136.874056;39.17672400000083;75%;29.382543000000624;21166.256599;3.0;88.14762900000187;21048.726426999998;SL
2025-02-28;2025;Bearish;21136.874056;39.17672400000083;75%;29.382543000000624;21166.256599;3.5;102.83890050000218;21034.035155499998;SL
2025-02-28;2025;Bearish;21136.874056;39.17672400000083;75%;29.382543000000624;21166.256599;4.0;117.5301720000025;21019.343883999998;SL
2025-02-28;2025;Bearish;21136.874056;39.17672400000083;75%;29.382543000000624;21166.256599;4.5;132.2214435000028;21004.6526125;SL
2025-02-28;2025;Bearish;21136.874056;39.17672400000083;75%;29.382543000000624;21166.256599;5.0;146.91271500000312;20989.961341;SL
2025-02-28;2025;Bearish;21136.874056;39.17672400000083;100%;39.17672400000083;21176.05078;1.0;39.17672400000083;21097.697332;TP
2025-02-28;2025;Bearish;21136.874056;39.17672400000083;100%;39.17672400000083;21176.05078;1.5;58.76508600000125;21078.10897;SL
2025-02-28;2025;Bearish;21136.874056;39.17672400000083;100%;39.17672400000083;21176.05078;2.0;78.35344800000166;21058.520608;SL
2025-02-28;2025;Bearish;21136.874056;39.17672400000083;100%;39.17672400000083;21176.05078;2.5;97.94181000000208;21038.932245999997;SL
