direction,entry_datetime,entry_price,stop_loss,risk,fvg_type,fvg_top,fvg_bottom,tp_1,tp_1.5,tp_2,tp_2.5,exit_price,exit_datetime,exit_reason,pnl,rr_hit
SHORT,2023-03-06 14:20:00,13862.293124,13929.213182,66.9200579999997,bullish,13878.601374,13871.571956,13795.373066,13761.913037,13728.453008,13694.992979,13761.913037,2023-03-07 09:00:00,TP_1.5,100.38008699999955,1.5
SHORT,2023-03-07 09:05:00,13726.203595,13905.875515,179.67191999999886,bullish,13856.950767,13849.358996,13546.531675000002,13456.695715000002,13366.859755000003,13277.023795000005,13546.531675000002,2023-03-09 14:05:00,TP_1,179.67191999999886,1.0
SHORT,2023-03-09 14:10:00,13542.876378,13685.151795,142.27541699999892,bullish,13905.313161,13904.750808,13400.600961000002,13329.463252500002,13258.325544000003,13187.187835500004,13400.600961000002,2023-03-10 08:40:00,TP_1,142.27541699999892,1.0
SHORT,2023-03-10 08:45:00,13368.827993,13619.075268,250.24727499999972,bullish,13729.296539,13723.673005,13118.580718000001,12993.4570805,12868.333443000001,12743.209805500002,13619.075268,2023-03-14 08:30:00,STOP_LOSS,-250.24727499999972,0.0
LONG,2023-03-14 08:35:00,13644.406177,13395.308928,249.09724900000037,bearish,13492.26457,13491.983393,13893.503426000001,14018.052050500002,14142.600675000002,14267.1492995,13893.503426000001,2023-03-16 09:45:00,TP_1,249.09724900000037,1.0
LONG,2023-03-16 09:50:00,13933.581643,13708.976637,224.60500599999978,bearish,13735.138806,13733.747202,14158.186649,14270.489151999998,14382.791654999999,14495.094158,14158.186649,2023-03-16 14:20:00,TP_1,224.60500599999978,1.0
LONG,2023-03-16 14:25:00,14170.43277,14064.114167,106.31860299999971,bearish,13750.724779,13749.054854,14276.751373,14329.910674499999,14383.069975999999,14436.229277499999,14064.114167,2023-03-17 09:35:00,STOP_LOSS,-106.31860299999971,0.0
SHORT,2023-03-17 09:40:00,14050.754762,14262.557004,211.80224199999975,bullish,14188.801952,14182.400571,13838.95252,13733.051399,13627.150278000001,13521.249157000002,14262.557004,2023-03-21 08:30:00,STOP_LOSS,-211.80224199999975,0.0
LONG,2023-03-21 08:40:00,14236.673155,14198.821506,37.85164900000018,bearish,14012.346471,14012.06815,14274.524804,14293.4506285,14312.376453,14331.3022775,14274.524804,2023-03-21 09:00:00,TP_1,37.85164900000018,1.0
LONG,2023-03-21 09:35:00,14202.996321,14176.555831,26.440490000000864,bearish,14010.954866,14008.171657,14229.436811000001,14242.657056000002,14255.877301000002,14269.097546000003,14176.555831,2023-03-21 09:50:00,STOP_LOSS,-26.440490000000864,0.0
