timeframe,sl_percentage,rr_ratio,total_trades,wins,losses,no_exit,win_rate,total_pnl,avg_pnl,avg_win,avg_loss,best_trade,worst_trade,avg_bars_held
1m,75,4.5,279,42,237,0,15.053763440860216,-1141.7303413749332,-4.092223445788291,88.56461766964455,-20.51242313713082,224.38729462500032,-77.89085150000028,45.956989247311824
1m,75,5.0,279,41,238,0,14.695340501792115,-896.4491757499409,-3.2130794829746985,97.39020743902596,-20.543897818277333,249.31921625000086,-77.89085150000028,53.007168458781365
1m,100,1.0,279,121,158,0,43.36917562724014,-861.1703270000053,-3.0866319964157896,22.053076239669476,-22.339193367088683,71.42455400000108,-89.76923200000238,5.645161290322581
1m,100,1.5,279,95,184,0,34.05017921146953,-876.3450870000106,-3.141021817204339,33.61054541052635,-22.11601576630442,107.13683100000162,-89.76923200000238,7.942652329749104
1m,100,2.0,279,79,200,0,28.31541218637993,-934.724654000006,-3.3502675770609534,44.4159504050634,-22.217923680000073,138.0271700000012,-89.76923200000238,11.903225806451612
1m,100,2.5,279,67,212,0,24.014336917562723,-1051.750986499983,-3.769716797490978,54.864219514925786,-22.300253273584957,147.90743500000008,-89.76923200000238,15.75268817204301
1m,100,3.0,279,60,219,0,21.50537634408602,-1090.1654610000005,-3.907403086021507,63.84811645000023,-22.470559123287735,177.48892199999955,-89.76923200000238,20.34767025089606
1m,100,3.5,279,54,225,0,19.35483870967742,-906.1886525000173,-3.2479880017921765,76.21971784259257,-22.320237404444516,207.07040899999905,-89.76923200000238,42.61648745519713
1m,100,4.0,279,48,231,0,17.20430107526882,-1032.255787000001,-3.699841530465953,86.09598316666695,-22.35871419480526,236.6518959999994,-89.76923200000238,46.32974910394265
1m,100,4.5,279,45,234,0,16.129032258064516,-829.9123230000023,-2.9745961397849543,97.60186280000035,-22.316222858974434,266.2333829999998,-89.76923200000238,49.526881720430104
1m,100,5.0,279,41,238,0,14.695340501792115,-1045.199993000011,-3.746236534050219,104.7320078048782,-22.433665180672342,295.81486999999925,-89.76923200000238,69.44802867383513
5m,25,1.0,232,101,131,0,43.53448275862069,-713.6539510000011,-3.0760946163793155,28.031033690594114,-27.05945308206112,106.90250749999996,-100.06817999999839,21.982758620689655
5m,25,1.5,232,88,144,0,37.93103448275862,-287.47778274999746,-1.2391283739224028,41.51212482102278,-27.364894215277793,160.35376124999948,-100.06817999999839,47.93103448275862
5m,25,2.0,232,69,163,0,29.74137931034483,-704.5062892499936,-3.036665039870662,54.796294369565395,-27.518101845092062,173.67941500000597,-106.90250749999996,55.043103448275865
5m,25,2.5,232,56,176,0,24.137931034482758,-527.8674349999847,-2.275290668103382,74.5925423660718,-26.733237542613665,217.09926875000747,-106.90250749999996,82.30603448275862
5m,25,3.0,232,52,180,0,22.413793103448278,-191.53718749999553,-0.8255913254310152,89.19786878365409,-26.83236869027782,260.51912250000896,-106.90250749999996,100.25862068965517
5m,25,3.5,232,45,187,0,19.396551724137932,-282.9885363750109,-1.2197781740302194,105.30997417500001,-26.855280076203268,303.93897625001046,-106.90250749999996,124.67672413793103
5m,25,4.0,232,40,192,0,17.24137931034483,-565.3254002500207,-2.436747414870779,116.21194712499982,-27.155225444010487,347.35883000001195,-106.90250749999996,190.92672413793105
