Date,Direction,Entry_Time,Entry_Price,SL_Level,SL_Distance,TP_Level,TP_Distance,Exit_Time,Exit_Price,Exit_Type,PnL_Points,Result,Asian_High,Asian_Low,Asian_Mid
2023-09-28,SHORT,2023-09-28 04:00:00,15960.560373,16023.4175355,62.85716250000041,15860.560373,100,2023-09-28 07:30:00,16023.4175355,STOP_LOSS,-62.85716250000041,LOSS,16067.539734,15979.295337,16023.4175355
2023-09-29,LONG,2023-09-29 01:00:00,16182.936253,16137.592209,45.344043999999485,16282.936253,100,2023-09-29 07:30:00,16282.936253,TAKE_PROFIT,100.0,WIN,16173.43301,16101.751408,16137.592209
2023-10-04,SHORT,2023-10-04 01:00:00,15884.534432,15950.649848500001,66.11541650000072,15784.534432,100,2023-10-04 03:45:00,15950.649848500001,STOP_LOSS,-66.11541650000072,LOSS,16001.017035,15900.282662,15950.649848500001
2023-10-16,SHORT,2023-10-16 02:15:00,16441.967497,16470.205704,28.23820699999851,16341.967497000001,100,2023-10-16 07:30:00,16470.205704,STOP_LOSS,-28.23820699999851,LOSS,16494.914135,16445.497273,16470.205704
2023-10-23,SHORT,2023-10-23 02:15:00,15938.295633,15965.3119945,27.01636150000013,15838.295633,100,2023-10-23 04:30:00,15838.295633,TAKE_PROFIT,100.0,WIN,15982.825113,15947.798876,15965.3119945
2023-10-24,LONG,2023-10-24 01:00:00,16063.738437,16014.321575,49.41686200000004,16163.738437,100,2023-10-24 03:30:00,16014.321575,STOP_LOSS,-49.41686200000004,LOSS,16041.473697,15987.169453,16014.321575
2023-10-25,SHORT,2023-10-25 01:00:00,16031.698933,16075.6853705,43.98643749999974,15931.698933,100,2023-10-25 08:00:00,16020.023521,TIME_EXIT,11.675412000000506,WIN,16098.493153,16052.877588,16075.6853705
2023-10-27,LONG,2023-10-27 03:30:00,15566.311561,15526.805224,39.50633700000071,15666.311561,100,2023-10-27 06:00:00,15526.805224,STOP_LOSS,-39.50633700000071,LOSS,15555.993755,15497.616693,15526.805224
2023-10-30,LONG,2023-10-30 01:30:00,15592.106077,15568.483731,23.622346000000107,15692.106077,100,2023-10-30 08:00:00,15585.589568,TIME_EXIT,-6.516509000000951,LOSS,15587.218695,15549.748767,15568.483731
2023-10-31,SHORT,2023-10-31 01:00:00,15557.07984,15606.496702,49.41686200000004,15457.07984,100,2023-10-31 03:15:00,15606.496702,STOP_LOSS,-49.41686200000004,LOSS,15652.112267,15560.881137,15606.496702
2023-11-02,LONG,2023-11-02 02:45:00,16096.320983,16065.639085499999,30.68189750000056,16196.320983,100,2023-11-02 07:00:00,16196.320983,TAKE_PROFIT,100.0,WIN,16093.062729,16038.215442,16065.639085499999
