Date,Direction,Entry_Time,Entry_Price,Asian_High,Asian_Low,Asian_Mid,SL_Level,SL_Distance,Exit_Time,Exit_Price,Exit_Type,PnL_Points,Result
2023-12-19,LONG,2023-12-19 02:15:00,18163.106287,18158.014228,18128.533887,18143.2740575,18143.2740575,19.832229499999812,2023-12-19 07:00:00,18192.586628,TIME_EXIT,29.480341000002227,WIN
2023-12-20,SHORT,2023-12-20 02:00:00,18227.963038,18273.523566,18253.691336,18263.607451,18263.607451,35.64441299999817,2023-12-20 07:00:00,18201.430731,TIME_EXIT,26.53230700000131,WIN
2023-12-21,LONG,2023-12-21 01:00:00,18068.501192,18060.193096,18010.612522,18035.402809,18035.402809,33.09838300000047,2023-12-21 07:00:00,18095.033499,TIME_EXIT,26.53230700000131,WIN
2023-12-26,LONG,2023-12-26 01:00:00,18258.515392,18255.031351,18214.562883,18234.797117000002,18234.797117000002,23.718274999999267,2023-12-26 03:15:00,18234.797117000002,STOP_LOSS,-23.718274999999267,LOSS
2023-12-29,LONG,2023-12-29 01:00:00,18344.812391,18341.060347,18318.012081,18329.536214,18329.536214,15.276176999999734,2023-12-29 06:00:00,18329.536214,STOP_LOSS,-15.276176999999734,LOSS
2024-01-02,SHORT,2024-01-02 03:30:00,18220.458951,18265.483472,18225.283007,18245.3832395,18245.3832395,24.92428849999851,2024-01-02 07:00:00,18031.784767,TIME_EXIT,188.6741839999995,WIN
2024-01-03,SHORT,2024-01-03 02:45:00,17875.806961,17933.695631,17890.815135,17912.255383,17912.255383,36.4484220000013,2024-01-03 07:00:00,17809.610194,TIME_EXIT,66.19676699999764,WIN
2024-01-05,SHORT,2024-01-05 01:00:00,17600.031768,17654.972404,17608.607867,17631.7901355,17631.7901355,31.758367499998712,2024-01-05 07:00:00,17580.199538,TIME_EXIT,19.83222999999998,WIN
2024-01-08,SHORT,2024-01-08 02:00:00,17617.987976,17688.472792,17619.863998,17654.168395,17654.168395,36.180419000000256,2024-01-08 06:00:00,17654.168395,STOP_LOSS,-36.180419000000256,LOSS
2024-01-09,SHORT,2024-01-09 01:15:00,17979.524162,18005.520463,17980.864177,17993.192320000002,17993.192320000002,13.668158000000403,2024-01-09 07:00:00,17918.95546,TIME_EXIT,60.568702000000485,WIN
2024-01-10,LONG,2024-01-10 02:15:00,18069.037198,18064.213142,18031.248761,18047.7309515,18047.7309515,21.30624650000027,2024-01-10 05:45:00,18047.7309515,STOP_LOSS,-21.30624650000027,LOSS
2024-01-11,LONG,2024-01-11 01:00:00,18234.931119,18234.395112,18180.526489,18207.460800499997,18207.460800499997,27.470318500003486,2024-01-11 07:00:00,18231.715081,TIME_EXIT,-3.2160380000022997,LOSS
2024-01-16,SHORT,2024-01-16 01:00:00,18088.065418,18156.40621,18089.94144,18123.173824999998,18123.173824999998,35.108406999999715,2024-01-16 06:30:00,18123.173824999998,STOP_LOSS,-35.108406999999715,LOSS
2024-01-17,SHORT,2024-01-17 01:00:00,18050.812987,18204.110762,18108.701657,18156.4062095,18156.4062095,105.59322249999968,2024-01-17 07:00:00,18100.929567,TIME_EXIT,-50.116579999998066,LOSS
2024-01-18,LONG,2024-01-18 01:00:00,18104.949614,18087.529412,18051.884999,18069.707205500003,18069.707205500003,35.24240849999842,2024-01-18 07:00:00,18237.61115,TIME_EXIT,132.66153599999961,WIN
2024-01-19,LONG,2024-01-19 01:30:00,18419.85326,18415.56521,18364.912624,18390.238917000002,18390.238917000002,29.61434299999746,2024-01-19 07:00:00,18492.214097,TIME_EXIT,72.36083700000017,WIN
2024-01-23,SHORT,2024-01-23 02:15:00,18696.700465,18747.085048,18714.120667,18730.602857500002,18730.602857500002,33.90239250000013,2024-01-23 05:45:00,18730.602857500002,STOP_LOSS,-33.90239250000013,LOSS
2024-01-24,LONG,2024-01-24 01:00:00,18895.290764,18877.602559,18833.918054,18855.7603065,18855.7603065,39.53045750000092,2024-01-24 07:00:00,18958.8075,TIME_EXIT,63.51673599999776,WIN
