date,time,setup_type,candle_830_open,candle_830_high,candle_830_low,candle_830_close,next_candle_open,next_candle_high,next_candle_low,next_candle_close,prev5_max_high,prev5_min_low,year
2018-10-02,08:30:00,bearish_830_to_bullish_breakout,8882.88456,8895.927592,8852.160973,8873.89936,8873.89936,8907.231553,8873.89936,8903.463566,8884.913476,8871.870444,2018
2018-10-11,08:30:00,bearish_830_to_bullish_breakout,8162.619342,8206.675806,8117.983188,8134.214517,8133.634826,8275.658954,8122.04102,8271.890967,8191.603858,8112.186285,2018
2018-11-08,08:30:00,bearish_830_to_bullish_breakout,8323.77325,8336.526437,8293.629354,8305.513005,8305.22316,8345.221792,8302.614554,8340.874114,8335.367056,8314.20836,2018
2018-11-16,08:30:00,bearish_830_to_bullish_breakout,7926.105693,7935.960429,7892.483655,7911.32359,7911.613435,7971.321538,7910.454055,7962.626183,7946.394854,7891.034429,2018
2018-11-27,08:30:00,bearish_830_to_bullish_breakout,7705.823373,7731.329747,7667.273967,7695.388947,7695.388947,7733.648508,7684.954522,7729.300831,7711.620276,7678.577928,2018
2018-12-10,08:30:00,bullish_830_to_bearish_breakdown,7657.998922,7735.967269,7654.52078,7730.460211,7731.039902,7733.358663,7631.043322,7650.462948,7721.475012,7653.94109,2018
2018-12-13,08:30:00,bullish_830_to_bearish_breakdown,7891.903965,7921.758016,7870.165578,7892.19381,7892.19381,7902.33839,7859.731152,7868.716352,7902.048545,7874.8031,2018
2018-12-31,08:30:00,bullish_830_to_bearish_breakdown,7340.179921,7364.432571,7326.898708,7349.130304,7348.841581,7354.904744,7310.152831,7328.919762,7343.933307,7329.497206,2018
2019-01-08,08:30:00,bullish_830_to_bearish_breakdown,7581.262808,7606.381624,7577.509422,7597.431241,7597.142519,7599.163573,7548.348497,7554.989104,7581.55153,7556.143992,2019
2019-02-04,08:30:00,bearish_830_to_bullish_breakout,7946.784885,7962.953319,7938.123225,7943.608943,7943.608943,7981.142806,7943.320221,7975.079643,7946.496163,7932.926228,2019
2019-02-27,08:30:00,bullish_830_to_bearish_breakdown,8194.508379,8221.648249,8192.198603,8214.430198,8214.430198,8218.183584,8183.536942,8188.445216,8204.61365,8191.909881,2019
2019-03-22,08:30:00,bullish_830_to_bearish_breakdown,8618.109391,8642.553441,8614.083312,8625.873972,8625.586395,8627.599434,8559.44367,8568.646136,8634.788861,8612.35785,2019
2019-03-25,08:30:00,bullish_830_to_bearish_breakdown,8436.935842,8479.497247,8417.380602,8437.223419,8437.223419,8437.510996,8400.125978,8406.165096,8467.994165,8434.347648,2019
