date,entry_time,direction,entry_price,stop_loss,take_profit,bias,swing_low,swing_high,ote_zone,risk,result,exit_time,exit_price,pnl,pnl_points
2022-02-09,2022-02-09 11:30:00+01:00,LONG,17117.946251,17008.709966,17179.5487504,BULLISH,17013.709966,17144.291686,"(np.float64(17094.40946896), np.float64(17116.8695248))",109.23628500000268,WIN,2022-02-09 14:00:00+01:00,17179.5487504,61.60249939999994,61.60249939999994
2022-02-10,2022-02-10 10:45:00+01:00,LONG,17192.400741,16857.223716,17344.46544519,BULLISH,16862.223716,17241.941613,"(np.float64(17096.889376346), np.float64(17162.20085463))",335.17702500000087,LOSS,2022-02-10 14:20:00+01:00,16857.223716,-335.17702500000087,-335.17702500000087
2022-02-11,2022-02-11 08:25:00+01:00,SHORT,16832.44192,16919.628222,16562.948167169998,BEARISH,16637.714793,16914.628222,"(np.float64(16808.847292121998), np.float64(16856.47640191))",87.18630199999825,WIN,2022-02-11 13:30:00+01:00,16562.948167169998,269.49375283000336,269.49375283000336
2022-02-14,2022-02-14 11:20:00+01:00,LONG,16430.960403,16218.346922,16533.56728073,BULLISH,16223.346922,16467.614921,"(np.float64(16374.304545382), np.float64(16416.31864121))",212.61348100000032,LOSS,2022-02-14 13:55:00+01:00,16218.346922,-212.61348100000032,-212.61348100000032
2022-02-15,2022-02-15 10:45:00+01:00,LONG,16658.905686,16541.078498,16718.82723302,BULLISH,16546.078498,16682.101124,"(np.float64(16630.140480868), np.float64(16653.536372540002))",117.8271879999993,LOSS,2022-02-15 12:45:00+01:00,16541.078498,-117.8271879999993,-117.8271879999993
2022-02-16,2022-02-16 08:30:00+01:00,LONG,16712.169283,16467.769462,16801.537580179996,BULLISH,16472.769462,16731.641996,"(np.float64(16632.752688012), np.float64(16677.27876386))",244.39982099999906,LOSS,2022-02-17 09:50:00+01:00,16467.769462,-244.39982099999906,-244.39982099999906
2022-02-17,2022-02-17 09:15:00+01:00,SHORT,16583.87847,16688.246577,16330.475477869999,BEARISH,16405.474058,16683.246577,"(np.float64(16577.137474742), np.float64(16624.914348010003))",104.36810700000206,WIN,2022-02-17 14:30:00+01:00,16330.475477869999,253.4029921300007,253.4029921300007
2022-02-18,2022-02-18 09:15:00+01:00,SHORT,16229.933281,16352.915011,15896.222531100002,BEARISH,15992.251641,16347.915011,"(np.float64(16212.05160366), np.float64(16273.225703299999))",122.98172999999952,WIN,2022-02-20 18:00:00+01:00,15896.222531100002,333.7107498999976,333.7107498999976
2022-02-22,2022-02-22 10:05:00+01:00,SHORT,16047.233418,16165.346969,15760.29726999,BEARISH,15845.347206,16160.346969,"(np.float64(16040.017059534), np.float64(16094.19701877))",118.11355100000037,WIN,2022-02-22 13:50:00+01:00,15760.29726999,286.93614800999967,286.93614800999967
2022-02-23,2022-02-23 09:35:00+01:00,LONG,16054.678867,15703.751854,16172.80950602,BULLISH,15708.751854,16074.15158,"(np.float64(15934.568884668), np.float64(15997.41763754))",350.92701300000044,LOSS,2022-02-23 13:10:00+01:00,15703.751854,-350.92701300000044,-350.92701300000044
2022-02-24,2022-02-24 09:50:00+01:00,SHORT,15256.870374,15540.501984,14757.58715807,BEARISH,14922.970625,15535.501984,"(np.float64(15301.515004862), np.float64(15406.87039861))",283.63161000000036,LOSS,2022-02-24 13:35:00+01:00,15540.501984,-283.63161000000036,-283.63161000000036
