Datetime,Open,High,Low,Close,Volume,Swing_High,Swing_Low,FVG_Bullish_Top,FVG_Bullish_Bottom,FVG_Bullish_Mean,FVG_Bearish_Top,FVG_Bearish_Bottom,FVG_Bearish_Mean,MSS_Bullish,MSS_Bearish,OB_Bullish_High,OB_Bullish_Low,OB_Bearish_High,OB_Bearish_Low
2024-03-04 20:00:00-05:00,19489.721646,19497.493736,19484.093581,19484.89759,1429,19497.493736,0.0,,,,,,,0,0,,,,
2024-03-04 20:15:00-05:00,19484.361584,19485.969603,19465.601367,19473.64146,2809,0.0,0.0,,,,,,,0,1,,,,
2024-03-04 20:30:00-05:00,19474.445469,19476.589494,19462.921336,19474.177466,1678,0.0,19462.921336,,,,19484.093581,19476.589494,19480.3415375,0,0,,,,
2024-03-04 20:45:00-05:00,19474.713473,19485.433597,19473.909463,19483.289572,1414,0.0,0.0,,,,,,,0,0,,,,
2024-03-04 21:00:00-05:00,19483.289572,19500.709774,19483.289572,19487.577621,2843,19500.709774,0.0,19483.289572,19476.589494,19479.939533,,,,0,0,,,,
2024-03-04 21:15:00-05:00,19487.845625,19495.885718,19479.001522,19482.753566,1583,0.0,0.0,,,,,,,0,0,,,,
2024-03-04 21:30:00-05:00,19482.217559,19486.773612,19455.685252,19457.025268,2907,0.0,0.0,,,,,,,0,1,,,,
2024-03-04 21:45:00-05:00,19456.757265,19470.15742,19442.017094,19453.273224,3494,0.0,19442.017094,,,,19479.001522,19470.15742,19474.579470999997,0,0,,,,
2024-03-04 22:00:00-05:00,19453.541227,19464.261352,19444.429122,19449.253178,3453,0.0,0.0,,,,,,,0,0,,,,
2024-03-04 22:15:00-05:00,19449.521181,19464.261352,19439.605066,19459.973302,2619,0.0,0.0,,,,,,,0,0,,,,
2024-03-04 22:30:00-05:00,19459.705299,19462.117327,19438.533054,19446.037141,2590,0.0,0.0,,,,,,,0,0,,,,
2024-03-04 22:45:00-05:00,19446.037141,19449.253178,19429.688951,19433.708998,2869,0.0,0.0,,,,,,,0,1,,,,
2024-03-04 23:00:00-05:00,19434.245004,19435.317016,19411.196737,19421.916861,3945,0.0,19411.196737,,,,19438.533054,19435.317016,19436.925035,0,0,,,,
2024-03-04 23:15:00-05:00,19422.720871,19436.657032,19419.504833,19430.492961,2152,0.0,0.0,,,,,,,0,0,,,,
2024-03-04 23:30:00-05:00,19429.688951,19444.965128,19429.152945,19442.017094,2047,19444.965128,0.0,,,,,,,0,0,,,,
2024-03-04 23:45:00-05:00,19441.481088,19444.429122,19436.121026,19440.677078,1367,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 00:00:00-05:00,19440.141072,19456.757265,19439.873069,19448.181165,2120,0.0,0.0,,,,,,,0,0,,,,
