strategy,direction,entry_datetime,entry_price,stop_loss,take_profit,exit_datetime,exit_price,pnl,outcome,fvg_timeframe
B: FVG Tap (5m),SHORT,2019-08-05 03:00:00,8696.125982,8716.125982,8656.125982,2019-08-05 06:15:00,8656.125982,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-05 03:05:00,8675.492564,8695.492564,8635.492564,2019-08-05 04:30:00,8695.492564,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-05 03:45:00,8668.328183,8688.328183,8628.328183,2019-08-05 03:45:00,8688.328183,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-05 03:45:00,8685.809273,8705.809273,8645.809273,2019-08-05 04:30:00,8705.809273,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-05 03:50:00,8682.656946,8702.656946,8642.656946,2019-08-05 04:30:00,8702.656946,-20.0,LOSS,5m
B: FVG Tap (15m),SHORT,2019-08-06 02:10:00,8521.028504,8541.028504,8481.028504,2019-08-06 02:15:00,8541.028504,-20.0,LOSS,15m
B: FVG Tap (15m),SHORT,2019-08-06 02:25:00,8536.790143,8556.790143,8496.790143,2019-08-06 03:00:00,8496.790143,40.0,WIN,15m
B: FVG Tap (15m),SHORT,2019-08-06 02:30:00,8519.022477,8539.022477,8479.022477,2019-08-06 02:30:00,8539.022477,-20.0,LOSS,15m
B: FVG Tap (15m),SHORT,2019-08-06 02:40:00,8519.022477,8539.022477,8479.022477,2019-08-06 03:15:00,8539.022477,-20.0,LOSS,15m
B: FVG Tap (15m),LONG,2019-08-06 03:15:00,8564.874518,8544.874518,8604.874518,2019-08-06 03:15:00,8544.874518,-20.0,LOSS,15m
B: FVG Tap (15m),LONG,2019-08-06 03:25:00,8564.874518,8544.874518,8604.874518,2019-08-06 05:00:00,8544.874518,-20.0,LOSS,15m
B: FVG Tap (15m),LONG,2019-08-06 03:35:00,8562.29534,8542.29534,8602.29534,2019-08-06 05:00:00,8542.29534,-20.0,LOSS,15m
B: FVG Tap (15m),LONG,2019-08-06 03:40:00,8564.014792,8544.014792,8604.014792,2019-08-06 05:00:00,8544.014792,-20.0,LOSS,15m
B: FVG Tap (15m),LONG,2019-08-06 03:45:00,8564.587942,8544.587942,8604.587942,2019-08-06 05:00:00,8544.587942,-20.0,LOSS,15m
B: FVG Tap (15m),LONG,2019-08-06 03:55:00,8563.728217,8543.728217,8603.728217,2019-08-06 05:00:00,8543.728217,-20.0,LOSS,15m
B: FVG Tap (15m),SHORT,2019-08-07 03:10:00,8639.957233,8659.957233,8599.957233,2019-08-07 03:30:00,8659.957233,-20.0,LOSS,15m
B: FVG Tap (15m),SHORT,2019-08-07 03:15:00,8638.810932,8658.810932,8598.810932,2019-08-07 03:30:00,8658.810932,-20.0,LOSS,15m
B: FVG Tap (15m),SHORT,2019-08-07 03:20:00,8634.512303,8654.512303,8594.512303,2019-08-07 03:30:00,8654.512303,-20.0,LOSS,15m
B: FVG Tap (15m),SHORT,2019-08-07 03:30:00,8638.237782,8658.237782,8598.237782,2019-08-07 03:40:00,8658.237782,-20.0,LOSS,15m
B: FVG Tap (5m),SHORT,2019-08-07 03:50:00,8657.151748,8677.151748,8617.151748,2019-08-07 07:00:00,8617.151748,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-07 03:55:00,8656.865173,8676.865173,8616.865173,2019-08-07 07:00:00,8616.865173,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-08 01:00:00,8702.430638,8722.430638,8662.430638,2019-08-08 01:15:00,8722.430638,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-08 01:15:00,8709.881594,8729.881594,8669.881594,2019-08-08 03:00:00,8669.881594,40.0,WIN,5m
B: FVG Tap (5m),LONG,2019-08-08 01:15:00,8722.20433,8702.20433,8762.20433,2019-08-08 02:00:00,8702.20433,-20.0,LOSS,5m
B: FVG Tap (5m),LONG,2019-08-08 01:20:00,8723.064056,8703.064056,8763.064056,2019-08-08 02:00:00,8703.064056,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-08 01:25:00,8722.20433,8742.20433,8682.20433,2019-08-08 02:15:00,8682.20433,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-08 01:30:00,8716.18625,8736.18625,8676.18625,2019-08-08 03:00:00,8676.18625,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-08 01:30:00,8718.478852,8738.478852,8678.478852,2019-08-08 03:00:00,8678.478852,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-08 01:40:00,8716.18625,8736.18625,8676.18625,2019-08-08 03:00:00,8676.18625,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-08 01:50:00,8714.466798,8734.466798,8674.466798,2019-08-08 03:00:00,8674.466798,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-08 02:00:00,8703.863514,8723.863514,8663.863514,2019-08-08 08:00:00,8723.863514,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-08 02:00:00,8692.687079,8712.687079,8652.687079,2019-08-08 05:00:00,8712.687079,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-08 02:05:00,8691.540778,8711.540778,8651.540778,2019-08-08 05:00:00,8711.540778,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-08 02:15:00,8687.8153,8707.8153,8647.8153,2019-08-08 04:15:00,8707.8153,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-08 02:15:00,8687.8153,8707.8153,8647.8153,2019-08-08 04:15:00,8707.8153,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-08 02:20:00,8684.949548,8704.949548,8644.949548,2019-08-08 02:45:00,8704.949548,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-08 02:30:00,8682.943521,8702.943521,8642.943521,2019-08-08 02:30:00,8702.943521,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-08 02:40:00,8698.70516,8718.70516,8658.70516,2019-08-08 08:00:00,8718.70516,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-08 02:45:00,8696.985708,8716.985708,8656.985708,2019-08-08 05:15:00,8716.985708,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-08 02:50:00,8700.997762,8720.997762,8660.997762,2019-08-08 08:00:00,8720.997762,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-08 02:55:00,8696.985708,8716.985708,8656.985708,2019-08-08 05:15:00,8716.985708,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-08 03:00:00,8668.901334,8688.901334,8628.901334,2019-08-08 03:05:00,8688.901334,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-08 03:05:00,8694.979681,8714.979681,8654.979681,2019-08-08 05:00:00,8714.979681,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-08 03:10:00,8668.901334,8688.901334,8628.901334,2019-08-08 03:30:00,8688.901334,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-08 03:35:00,8688.961601,8708.961601,8648.961601,2019-08-08 04:15:00,8708.961601,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-08 03:50:00,8697.272283,8717.272283,8657.272283,2019-08-08 05:15:00,8717.272283,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-08 03:55:00,8695.266257,8715.266257,8655.266257,2019-08-08 05:00:00,8715.266257,-20.0,LOSS,5m
B: FVG Tap (15m),LONG,2019-08-09 01:45:00,8827.377447,8807.377447,8867.377447,2019-08-09 02:15:00,8807.377447,-20.0,LOSS,15m
B: FVG Tap (15m),LONG,2019-08-09 01:50:00,8828.523748,8808.523748,8868.523748,2019-08-09 02:15:00,8808.523748,-20.0,LOSS,15m
B: FVG Tap (15m),LONG,2019-08-12 02:00:00,8826.804297,8806.804297,8866.804297,2019-08-12 03:00:00,8806.804297,-20.0,LOSS,15m
B: FVG Tap (15m),LONG,2019-08-12 02:05:00,8830.2432,8810.2432,8870.2432,2019-08-12 03:00:00,8810.2432,-20.0,LOSS,15m
B: FVG Tap (15m),LONG,2019-08-12 02:15:00,8832.535802,8812.535802,8872.535802,2019-08-12 03:00:00,8812.535802,-20.0,LOSS,15m
B: FVG Tap (15m),LONG,2019-08-12 02:20:00,8834.541828,8814.541828,8874.541828,2019-08-12 03:00:00,8814.541828,-20.0,LOSS,15m
B: FVG Tap (15m),LONG,2019-08-12 02:35:00,8832.249226,8812.249226,8872.249226,2019-08-12 03:00:00,8812.249226,-20.0,LOSS,15m
B: FVG Tap (1h),SHORT,2019-08-12 03:00:00,8786.683762,8806.683762,8746.683762,2019-08-12 03:05:00,8806.683762,-20.0,LOSS,1h
B: FVG Tap (1h),SHORT,2019-08-12 03:05:00,8785.824036,8805.824036,8745.824036,2019-08-12 03:45:00,8745.824036,40.0,WIN,1h
B: FVG Tap (5m),SHORT,2019-08-12 03:15:00,8771.495273,8791.495273,8731.495273,2019-08-12 04:00:00,8731.495273,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-12 03:15:00,8774.361026,8794.361026,8734.361026,2019-08-12 03:45:00,8734.361026,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-12 03:20:00,8773.5013,8793.5013,8733.5013,2019-08-12 03:45:00,8733.5013,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-12 03:25:00,8771.495273,8791.495273,8731.495273,2019-08-12 04:00:00,8731.495273,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-12 03:30:00,8748.282678,8768.282678,8708.282678,2019-08-12 03:30:00,8768.282678,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-12 03:30:00,8760.605414,8780.605414,8720.605414,2019-08-12 05:00:00,8720.605414,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-12 03:40:00,8748.282678,8768.282678,8708.282678,2019-08-12 05:30:00,8708.282678,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-12 03:45:00,8743.410899,8763.410899,8703.410899,2019-08-12 05:30:00,8703.410899,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-12 03:45:00,8744.270624,8764.270624,8704.270624,2019-08-12 05:30:00,8704.270624,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-12 03:50:00,8741.118297,8761.118297,8701.118297,2019-08-12 05:30:00,8701.118297,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-13 01:00:00,8682.943521,8702.943521,8642.943521,2019-08-13 01:30:00,8642.943521,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-13 01:00:00,8688.388451,8708.388451,8648.388451,2019-08-13 01:30:00,8648.388451,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-13 01:05:00,8684.089822,8704.089822,8644.089822,2019-08-13 01:30:00,8644.089822,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-13 01:10:00,8682.943521,8702.943521,8642.943521,2019-08-13 01:30:00,8642.943521,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-13 01:15:00,8657.724899,8677.724899,8617.724899,2019-08-13 01:20:00,8677.724899,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-13 01:20:00,8658.8712,8678.8712,8618.8712,2019-08-13 04:30:00,8618.8712,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-13 01:25:00,8657.724899,8677.724899,8617.724899,2019-08-13 04:30:00,8617.724899,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-13 01:30:00,8653.139695,8673.139695,8613.139695,2019-08-13 03:30:00,8673.139695,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-13 01:30:00,8645.115588,8665.115588,8605.115588,2019-08-13 02:15:00,8665.115588,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-13 01:35:00,8650.560517,8670.560517,8610.560517,2019-08-13 02:15:00,8670.560517,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-13 01:40:00,8645.115588,8665.115588,8605.115588,2019-08-13 02:15:00,8665.115588,-20.0,LOSS,5m
B: FVG Tap (15m),SHORT,2019-08-13 01:45:00,8639.097507,8659.097507,8599.097507,2019-08-13 02:00:00,8659.097507,-20.0,LOSS,15m
B: FVG Tap (5m),SHORT,2019-08-13 02:10:00,8657.724899,8677.724899,8617.724899,2019-08-13 04:30:00,8617.724899,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-13 02:15:00,8653.139695,8673.139695,8613.139695,2019-08-13 03:30:00,8673.139695,-20.0,LOSS,5m
B: FVG Tap (15m),SHORT,2019-08-13 02:20:00,8659.44435,8679.44435,8619.44435,2019-08-13 04:30:00,8619.44435,40.0,WIN,15m
B: FVG Tap (5m),SHORT,2019-08-13 02:25:00,8653.139695,8673.139695,8613.139695,2019-08-13 03:30:00,8673.139695,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-13 02:30:00,8651.420243,8671.420243,8611.420243,2019-08-13 03:30:00,8671.420243,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-13 02:35:00,8657.438324,8677.438324,8617.438324,2019-08-13 04:30:00,8617.438324,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-13 02:40:00,8651.420243,8671.420243,8611.420243,2019-08-13 03:30:00,8671.420243,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-13 02:45:00,8643.396136,8663.396136,8603.396136,2019-08-13 03:15:00,8663.396136,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-13 02:45:00,8648.841066,8668.841066,8608.841066,2019-08-13 03:30:00,8668.841066,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-13 02:50:00,8635.372029,8655.372029,8595.372029,2019-08-13 03:00:00,8655.372029,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-13 03:05:00,8647.694765,8667.694765,8607.694765,2019-08-13 03:30:00,8667.694765,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-13 03:15:00,8654.572571,8674.572571,8614.572571,2019-08-13 04:30:00,8614.572571,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-13 03:15:00,8656.005447,8676.005447,8616.005447,2019-08-13 04:30:00,8616.005447,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-13 03:25:00,8654.572571,8674.572571,8614.572571,2019-08-13 04:30:00,8614.572571,40.0,WIN,5m
B: FVG Tap (15m),LONG,2019-08-14 03:45:00,8846.577989,8826.577989,8886.577989,2019-08-14 04:15:00,8826.577989,-20.0,LOSS,15m
B: FVG Tap (15m),LONG,2019-08-14 03:50:00,8843.139086,8823.139086,8883.139086,2019-08-14 04:15:00,8823.139086,-20.0,LOSS,15m
B: FVG Tap (15m),LONG,2019-08-14 03:55:00,8846.577989,8826.577989,8886.577989,2019-08-14 04:15:00,8826.577989,-20.0,LOSS,15m
B: FVG Tap (5m),SHORT,2019-08-15 01:40:00,8650.273942,8670.273942,8610.273942,2019-08-15 02:00:00,8610.273942,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-15 01:45:00,8642.249835,8662.249835,8602.249835,2019-08-15 04:00:00,8602.249835,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-15 02:00:00,8609.007106,8629.007106,8569.007106,2019-08-15 02:00:00,8629.007106,-20.0,LOSS,5m
B: FVG Tap (5m),SHORT,2019-08-15 02:00:00,8648.554491,8668.554491,8608.554491,2019-08-15 02:10:00,8608.554491,40.0,WIN,5m
B: FVG Tap (5m),SHORT,2019-08-15 02:05:00,8642.53641,8662.53641,8602.53641,2019-08-15 04:00:00,8602.53641,40.0,WIN,5m
