timeframe,year,date,time,setup_type,direction,sl_percentage,rr_ratio,entry_price,sl_price,tp_price,risk,body_size,outcome,exit_price,exit_time,pnl,bars_held
1m,2021,2021-02-16,08:30:00,bearish_830_to_bullish_breakout,LONG,50,1.5,15835.409267,15817.116644,15862.848201500003,18.292623000001186,2.286577999999281,LOSS,15817.116644,2021-02-16 08:32:00,-18.292623000001186,2.0
1m,2021,2021-02-16,08:30:00,bearish_830_to_bullish_breakout,LONG,50,2.0,15835.409267,15817.116644,15871.994513000003,18.292623000001186,2.286577999999281,LOSS,15817.116644,2021-02-16 08:32:00,-18.292623000001186,2.0
1m,2021,2021-02-16,08:30:00,bearish_830_to_bullish_breakout,LONG,50,2.5,15835.409267,15817.116644,15881.140824500004,18.292623000001186,2.286577999999281,LOSS,15817.116644,2021-02-16 08:32:00,-18.292623000001186,2.0
1m,2021,2021-02-16,08:30:00,bearish_830_to_bullish_breakout,LONG,50,3.0,15835.409267,15817.116644,15890.287136000004,18.292623000001186,2.286577999999281,LOSS,15817.116644,2021-02-16 08:32:00,-18.292623000001186,2.0
1m,2021,2021-02-16,08:30:00,bearish_830_to_bullish_breakout,LONG,50,3.5,15835.409267,15817.116644,15899.433447500005,18.292623000001186,2.286577999999281,LOSS,15817.116644,2021-02-16 08:32:00,-18.292623000001186,2.0
1m,2021,2021-02-16,08:30:00,bearish_830_to_bullish_breakout,LONG,50,4.0,15835.409267,15817.116644,15908.579759000006,18.292623000001186,2.286577999999281,LOSS,15817.116644,2021-02-16 08:32:00,-18.292623000001186,2.0
1m,2021,2021-02-16,08:30:00,bearish_830_to_bullish_breakout,LONG,50,4.5,15835.409267,15817.116644,15917.726070500006,18.292623000001186,2.286577999999281,LOSS,15817.116644,2021-02-16 08:32:00,-18.292623000001186,2.0
1m,2021,2021-02-16,08:30:00,bearish_830_to_bullish_breakout,LONG,50,5.0,15835.409267,15817.116644,15926.872382000007,18.292623000001186,2.286577999999281,LOSS,15817.116644,2021-02-16 08:32:00,-18.292623000001186,2.0
1m,2021,2021-02-16,08:30:00,bearish_830_to_bullish_breakout,LONG,75,1.0,15835.409267,15816.5449995,15854.273534500002,18.864267500001006,2.286577999999281,LOSS,15816.5449995,2021-02-16 08:32:00,-18.864267500001006,2.0
1m,2021,2021-02-16,08:30:00,bearish_830_to_bullish_breakout,LONG,75,1.5,15835.409267,15816.5449995,15863.705668250002,18.864267500001006,2.286577999999281,LOSS,15816.5449995,2021-02-16 08:32:00,-18.864267500001006,2.0
