direction,sl_type,rr_ratio,smt_datetime,entry_datetime,entry_price,stop_loss,take_profit,risk,reward,exit_datetime,exit_price,pnl,outcome,variant
LONG,entry_candle,1.0,2018-01-12 03:30:00,2018-01-15 01:00:00,7947.754861,7946.583316,7948.9264060000005,1.171545000000151,1.171545000000151,2018-01-15 01:00:00,7946.583316,-1.171545000000151,LOSS,SL: Entry Candle | TP: 1.0:1 R/R
SHORT,entry_candle,1.5,2023-07-21 03:30:00,2023-07-24 01:00:00,17093.329724,17098.004691,17086.3172735,4.674966999999015,7.012450499998522,2023-07-24 01:00:00,17098.004691,-4.674966999999015,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
SHORT,entry_candle,1.5,2023-07-21 03:30:00,2023-07-24 01:00:00,17093.329724,17098.004691,17086.3172735,4.674966999999015,7.012450499998522,2023-07-24 01:00:00,17098.004691,-4.674966999999015,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
SHORT,entry_candle,1.5,2023-07-21 03:45:00,2023-07-24 01:00:00,17093.329724,17098.004691,17086.3172735,4.674966999999015,7.012450499998522,2023-07-24 01:00:00,17098.004691,-4.674966999999015,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
SHORT,entry_candle,1.5,2023-07-24 03:00:00,2023-07-24 03:05:00,17133.204443,17139.254401,17124.129505999997,6.049957999999606,9.074936999999409,2023-07-24 03:10:00,17139.254401,-6.049957999999606,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
LONG,entry_candle,1.5,2023-07-25 01:00:00,2023-07-25 01:15:00,17143.65437,17127.97948,17167.166704999996,15.674889999998413,23.51233499999762,2023-07-25 03:00:00,17167.166704999996,23.5123349999958,WIN,SL: Entry Candle | TP: 1.5:1 R/R
SHORT,entry_candle,1.5,2023-07-27 03:30:00,2023-07-28 01:00:00,17206.628927,17219.003839,17188.066559000003,12.374911999999313,18.56236799999897,2023-07-28 01:05:00,17219.003839,-12.374911999999313,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
SHORT,entry_candle,1.5,2023-08-04 03:00:00,2023-08-04 03:30:00,17070.504884,17085.904776,17047.405046000007,15.399891999997635,23.099837999996453,2023-08-04 03:30:00,17085.904776,-15.399891999997635,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
LONG,entry_candle,1.5,2023-08-07 03:45:00,2023-08-07 03:50:00,16967.105612,16945.930761,16998.867888499997,21.174850999999762,31.762276499999643,2023-08-08 01:00:00,16945.930761,-21.174850999999762,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
SHORT,entry_candle,1.5,2023-08-09 02:00:00,2023-08-09 02:15:00,16936.580827,16942.080788,16928.330885500007,5.499960999997711,8.249941499996567,2023-08-09 02:20:00,16942.080788,-5.499960999997711,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
SHORT,entry_candle,1.5,2023-08-09 03:45:00,2023-08-10 01:00:00,16771.581988,16772.956978,16769.519503000007,1.3749899999966146,2.062484999994922,2023-08-10 01:00:00,16772.956978,-1.3749899999966146,LOSS,SL: Entry Candle | TP: 1.5:1 R/R
