direction,smt_datetime,smt_idx,fvg_type,fvg_top,fvg_bottom,entry_datetime,entry_idx,entry_price,stop_loss,take_profit,risk,reward,exit_datetime,exit_price,pnl,outcome
LONG,2024-10-16 02:15:00,84213,Bearish,21029.965521,21021.713318,2024-10-16 02:45:00,84220,21032.802215,20970.910693,21156.585258999996,61.891521999998076,123.78304399999615,2024-10-23 01:00:00,21156.585258999996,123.78304399999615,WIN
SHORT,2024-10-17 03:45:00,84284,Bullish,21114.034838,21109.650855,2024-10-18 01:00:00,84288,21051.369672,21131.828651,20890.451714000003,80.45897899999909,160.91795799999818,2024-10-22 02:30:00,21131.828651,-80.45897899999909,LOSS
SHORT,2024-10-17 03:45:00,84285,Bullish,21114.034838,21109.650855,2024-10-18 01:00:00,84288,21051.369672,21141.628141,20870.852734,90.25846900000033,180.51693800000066,2024-10-23 01:00:00,21141.628141,-90.25846900000033,LOSS
SHORT,2024-10-18 03:15:00,84324,Bullish,21094.951619,21091.083399,2024-10-18 03:35:00,84330,21084.894246,21113.261194,21028.160350000002,28.366947999998956,56.73389599999791,2024-10-22 02:00:00,21113.261194,-28.366947999998956,LOSS
SHORT,2024-10-23 02:15:00,84452,Bullish,21160.453479,21157.358903,2024-10-23 02:45:00,84460,21152.974921,21184.178563,21090.567637,31.2036420000004,62.4072840000008,2024-10-24 01:00:00,21090.567637,62.4072840000008,WIN
SHORT,2024-10-23 02:15:00,84453,Bullish,21171.026614,21169.221445,2024-10-23 02:30:00,84456,21160.453479,21190.109834,21101.140769,29.656354999999166,59.31270999999833,2024-10-24 01:00:00,21101.140769,59.31270999999833,WIN
LONG,2024-10-24 02:00:00,84496,Bearish,20975.294676,20973.231625,2024-10-24 02:00:00,84497,20993.34637,20954.92205,21070.195009999996,38.42431999999826,76.84863999999652,2024-10-25 02:45:00,21070.195009999996,76.84863999999652,WIN
SHORT,2024-10-25 03:00:00,84560,Bullish,21072.773823,21069.679247,2024-10-25 03:00:00,84561,21063.232214,21088.504585,21012.687472,25.27237099999911,50.54474199999822,2024-10-28 01:00:00,21088.504585,-25.27237099999911,LOSS
SHORT,2024-10-29 02:00:00,84640,Bullish,21187.273139,21186.757376,2024-10-29 02:05:00,84642,21184.694326,21199.909325,21154.264328,15.214998999999807,30.429997999999614,2024-10-29 02:15:00,21199.909325,-15.214998999999807,LOSS
LONG,2024-10-29 03:00:00,84657,Bearish,21186.499495,21178.505173,2024-10-29 03:30:00,84664,21187.53102,21143.17543,21276.242199999997,44.35558999999921,88.71117999999842,2024-10-30 01:00:00,21276.242199999997,88.71117999999842,WIN
LONG,2024-10-29 03:15:00,84660,Bearish,21186.499495,21178.505173,2024-10-29 03:30:00,84664,21187.53102,21127.444668,21307.703723999995,60.08635199999844,120.17270399999688,2024-10-30 01:00:00,21307.703723999995,120.17270399999688,WIN
SHORT,2024-10-31 03:45:00,84765,Bullish,20942.285864,20941.770102,2024-11-01 01:00:00,84768,20745.26452,20975.036795,20285.719970000002,229.77227499999935,459.5445499999987,2024-11-06 01:00:00,20975.036795,-229.77227499999935,LOSS
LONG,2024-11-01 02:15:00,84788,Bearish,20711.224182,20709.676894,2024-11-01 02:15:00,84789,20715.350284,20687.499099,20771.052654,27.851184999999532,55.702369999999064,2024-11-01 02:25:00,20687.499099,-27.851184999999532,LOSS
SHORT,2024-11-04 03:45:00,84861,Bullish,20789.62011,20784.462483,2024-11-05 01:00:00,84864,20771.310535,20809.219092,20695.493421000003,37.90855699999884,75.81711399999767,2024-11-06 01:00:00,20809.219092,-37.90855699999884,LOSS
SHORT,2024-11-13 03:00:00,85184,Bullish,21836.102594,21835.071069,2024-11-13 03:15:00,85189,21834.039543,21851.317593,21799.483442999997,17.278050000000803,34.55610000000161,2024-11-14 01:00:00,21799.483442999997,34.55610000000161,WIN
LONG,2024-11-18 01:45:00,85308,Bearish,21264.637541,21258.964152,2024-11-18 02:15:00,85316,21273.663388,21226.986866,21367.016432000004,46.67652200000157,93.35304400000314,2024-11-18 03:15:00,21226.986866,-46.67652200000157,LOSS
SHORT,2024-11-19 01:30:00,85352,Bullish,21314.150759,21311.829827,2024-11-19 02:00:00,85360,21303.061861,21332.202453,21244.78067699999,29.14059200000338,58.28118400000676,2024-11-19 02:00:00,21332.202453,-29.14059200000338,LOSS
SHORT,2024-11-25 03:15:00,85573,Bullish,21617.934979,21615.614047,2024-11-25 03:30:00,85576,21613.550996,21626.960826,21586.731336000008,13.409829999996873,26.819659999993746,2024-11-25 03:30:00,21626.960826,-13.409829999996873,LOSS
SHORT,2024-11-25 03:30:00,85577,Bullish,21617.934979,21615.614047,2024-11-26 01:00:00,85584,21550.88583,21629.023877,21394.609736,78.13804700000037,156.27609400000074,2024-11-27 01:00:00,21629.023877,-78.13804700000037,LOSS
SHORT,2024-12-02 03:00:00,85808,Bullish,21625.67142,21624.382013,2024-12-02 03:05:00,85810,21622.576843,21634.697266,21598.335997,12.1204230000003,24.2408460000006,2024-12-03 01:00:00,21634.697266,-12.1204230000003,LOSS
LONG,2024-12-06 01:30:00,85977,Bearish,22159.227915,22158.970034,2024-12-06 02:00:00,85985,22161.033085,22150.45995,22182.179354999997,10.573134999998729,21.146269999997457,2024-12-06 03:00:00,22150.45995,-10.573134999998729,LOSS
LONG,2024-12-06 01:45:00,85980,Bearish,22159.227915,22158.970034,2024-12-06 02:00:00,85985,22161.033085,22147.107492,22188.884271,13.925592999999935,27.85118599999987,2024-12-06 03:00:00,22147.107492,-13.925592999999935,LOSS
SHORT,2024-12-06 02:30:00,85993,Bullish,22159.227915,22156.649102,2024-12-06 03:00:00,86000,22150.202068,22169.80105,22111.004104,19.598981999999523,39.19796399999905,2024-12-09 01:00:00,22169.80105,-19.598981999999523,LOSS
SHORT,2024-12-09 03:00:00,86048,Bullish,22376.106123,22374.300954,2024-12-09 03:00:00,86049,22352.896803,22389.00019,22280.690029,36.1033869999992,72.2067739999984,2024-12-10 01:00:00,22280.690029,72.2067739999984,WIN
LONG,2024-12-10 02:00:00,86080,Bearish,22136.018594,22135.24495,2024-12-10 02:00:00,86081,22138.081645,22129.055798,22156.133338999993,9.025846999997157,18.051693999994313,2024-12-10 02:10:00,22129.055798,-9.025846999997157,LOSS
LONG,2024-12-10 02:15:00,86084,Bearish,22136.018594,22135.24495,2024-12-10 02:30:00,86088,22137.308001,22124.156053,22163.611897000006,13.151948000002449,26.303896000004897,2024-12-11 01:00:00,22124.156053,-13.151948000002449,LOSS
LONG,2024-12-11 01:30:00,86121,Bearish,22101.978257,22101.204613,2024-12-11 02:00:00,86128,22105.846477,22080.574106,22156.391218999997,25.27237099999911,50.54474199999822,2024-12-12 01:00:00,22156.391218999997,50.54474199999822,WIN
SHORT,2024-12-11 02:30:00,86137,Bullish,22112.551392,22111.519867,2024-12-11 02:45:00,86141,22108.16741,22122.866646,22078.768937999997,14.699236000000383,29.398472000000766,2024-12-11 03:00:00,22122.866646,-14.699236000000383,LOSS
