Date,Time,Type,Entry_Price,Open_830,High_830,Low_830,Close_830,Max_High_Prev5,Min_Low_Prev5,Prev_Candles_Start,Prev_Candles_End
2018-04-12,08:30:00,Bullish,7747.471307,7742.80187,7758.561219,7736.381394,7747.471307,7753.891783,7742.21819,08:05:00,08:25:00
2018-04-13,08:30:00,Bullish,7824.517015,7824.225176,7834.439569,7821.890457,7824.517015,7830.353812,7820.431258,08:05:00,08:25:00
2018-04-16,08:30:00,Bearish,7793.873836,7800.002472,7805.547428,7787.7452,7793.873836,7815.761821,7798.835113,08:05:00,08:25:00
2018-04-17,08:30:00,Bearish,7874.713462,7881.133938,7882.884976,7868.001146,7874.713462,7890.764651,7879.966578,08:05:00,08:25:00
2018-04-19,08:30:00,Bearish,7941.544777,7950.299971,7954.969408,7940.377418,7941.544777,7957.304127,7941.544777,08:05:00,08:25:00
2018-04-20,08:30:00,Bearish,7872.378743,7892.51569,7898.936166,7872.086904,7872.378743,7906.81584,7889.889132,08:05:00,08:25:00
2018-04-23,08:30:00,Bearish,7814.302622,7823.057816,7827.435413,7809.633185,7814.302622,7823.641496,7818.972059,08:05:00,08:25:00
2018-04-24,08:30:00,Bearish,7795.333035,7802.92087,7811.967904,7792.414637,7795.333035,7813.718943,7800.294312,08:05:00,08:25:00
2018-04-26,08:30:00,Bearish,7706.030055,7710.115812,7722.956763,7699.025899,7706.030055,7724.415962,7708.072933,08:05:00,08:25:00
2018-04-27,08:30:00,Bearish,7859.245952,7884.344175,7887.262574,7856.327554,7859.245952,7903.897442,7882.009457,08:05:00,08:25:00
2018-04-30,08:30:00,Bearish,7789.496239,7793.290156,7807.590307,7788.32888,7789.496239,7808.757666,7792.706477,08:05:00,08:25:00
2018-05-01,08:30:00,Bullish,7706.905574,7698.734059,7712.15869,7691.729904,7706.905574,7704.862695,7692.897263,08:05:00,08:25:00
2018-05-02,08:30:00,Bearish,7797.959593,7822.182297,7823.933336,7797.667753,7797.959593,7827.435413,7816.92918,08:05:00,08:25:00
2018-05-03,08:30:00,Bearish,7707.489254,7721.789404,7727.6262,7706.321894,7707.489254,7726.167001,7711.575011,08:05:00,08:25:00
2018-05-07,08:30:00,Bullish,7954.677569,7941.252937,7955.844928,7935.124302,7954.677569,7953.802049,7940.669258,08:05:00,08:25:00
2018-05-08,08:30:00,Bullish,7962.557243,7951.75917,7964.891962,7951.175491,7962.557243,7957.887806,7951.467331,08:05:00,08:25:00
2018-05-09,08:30:00,Bullish,7981.81867,7976.273714,7985.612588,7967.22668,7981.81867,7980.943151,7975.981874,08:05:00,08:25:00
2018-05-10,08:30:00,Bearish,8071.413491,8074.915568,8079.876845,8068.203253,8071.413491,8078.125806,8072.87269,08:05:00,08:25:00
2018-05-11,08:30:00,Bullish,8120.734418,8118.399699,8126.571214,8111.979223,8120.734418,8122.485456,8116.356821,08:05:00,08:25:00
2018-05-14,08:30:00,Bullish,8150.210238,8141.455044,8154.004155,8140.871364,8150.210238,8145.248961,8139.120325,08:05:00,08:25:00
2018-05-15,08:30:00,Bearish,8046.898947,8070.829811,8074.915568,8042.52135,8046.898947,8074.915568,8057.69702,08:05:00,08:25:00
2018-05-16,08:30:00,Bullish,8057.11334,8054.778622,8063.825656,8052.443903,8057.11334,8058.572539,8039.602952,08:05:00,08:25:00
2018-05-17,08:30:00,Bullish,8073.748209,8069.078772,8077.833966,8062.074617,8073.748209,8071.121651,8062.658296,08:05:00,08:25:00
2018-05-21,08:30:00,Bullish,8104.975068,8084.254442,8110.811864,8082.503403,8104.975068,8087.46468,8080.460525,08:05:00,08:25:00
2018-05-22,08:30:00,Bullish,8108.185306,8104.099549,8111.687384,8102.05667,8108.185306,8105.558748,8097.387233,08:05:00,08:25:00
2018-05-23,08:30:00,Bullish,8003.122976,7994.367782,8006.625054,7994.367782,8003.122976,7994.951462,7982.98603,08:05:00,08:25:00
2018-05-24,08:30:00,Bullish,8124.820175,8121.609937,8128.030413,8111.395544,8124.820175,8125.403855,8108.768986,08:05:00,08:25:00
2018-05-25,08:30:00,Bearish,8106.142427,8120.734418,8132.69985,8104.391389,8106.142427,8125.695694,8104.683228,08:05:00,08:25:00
2018-05-28,08:30:00,Bearish,8139.120325,8140.871364,8145.540801,8137.952966,8139.120325,8145.540801,8139.995845,08:05:00,08:25:00
2018-05-29,08:30:00,Bearish,8081.919724,8090.091238,8104.099549,8072.87269,8081.919724,8103.515869,8078.417646,08:05:00,08:25:00
2018-05-31,08:30:00,Bullish,8151.961277,8147.58368,8157.214393,8139.412165,8151.961277,8154.004155,8133.575369,08:05:00,08:25:00
2018-06-01,08:30:00,Bullish,8192.81885,8183.479976,8192.81885,8182.312617,8192.81885,8191.067811,8181.437097,08:05:00,08:25:00
2018-06-04,08:30:00,Bullish,8306.344534,8292.628063,8307.511893,8288.250466,8306.344534,8300.799577,8290.877024,08:05:00,08:25:00
2018-06-05,08:30:00,Bearish,8361.502257,8364.420655,8370.257451,8353.038903,8361.502257,8364.420655,8354.789941,08:05:00,08:25:00
2018-06-06,08:30:00,Bullish,8383.390242,8381.055524,8386.016801,8377.553446,8383.390242,8381.055524,8374.635048,08:05:00,08:25:00
2018-06-07,08:30:00,Bearish,8401.77615,8421.913097,8423.080456,8400.025111,8401.77615,8422.204936,8411.698703,08:05:00,08:25:00
2018-06-08,08:30:00,Bullish,8306.745451,8306.163685,8321.2896,8300.927791,8306.745451,8308.490749,8298.600727,08:05:00,08:25:00
2018-06-11,08:30:00,Bullish,8355.32291,8343.68759,8357.649973,8342.524058,8355.32291,8345.723771,8339.906111,08:05:00,08:25:00
2018-06-12,08:30:00,Bullish,8394.592113,8384.992974,8398.373592,8383.247676,8394.592113,8387.901804,8382.084144,08:05:00,08:25:00
2018-06-13,08:30:00,Bullish,8435.315731,8430.952486,8435.606614,8425.134826,8435.315731,8432.406901,8424.262177,08:05:00,08:25:00
2018-06-14,08:30:00,Bullish,8468.185508,8455.095774,8472.548753,8448.696348,8468.185508,8455.67754,8442.878689,08:05:00,08:25:00
2018-06-15,08:30:00,Bearish,8458.295487,8474.294051,8475.457583,8450.150763,8458.295487,8481.275243,8454.223125,08:05:00,08:25:00
2018-06-18,08:30:00,Bearish,8394.882996,8415.244805,8415.826571,8391.3924,8394.882996,8415.826571,8408.845379,08:05:00,08:25:00
2018-06-19,08:30:00,Bullish,8381.793261,8354.159378,8386.156506,8351.832314,8381.793261,8364.631165,8350.668782,08:05:00,08:25:00
2018-06-20,08:30:00,Bullish,8485.056722,8476.911998,8488.256435,8474.294051,8485.056722,8486.220254,8474.294051,08:05:00,08:25:00
2018-06-22,08:30:00,Bearish,8433.861316,8453.932242,8456.841072,8432.697784,8433.861316,8458.004604,8453.932242,08:05:00,08:25:00
2018-06-25,08:30:00,Bullish,8336.124632,8330.01609,8341.942292,8317.799004,8336.124632,8334.379335,8326.234611,08:05:00,08:25:00
2018-06-26,08:30:00,Bearish,8229.079693,8244.787375,8258.749758,8228.78881,8229.079693,8247.696205,8238.678832,08:05:00,08:25:00
2018-06-28,08:30:00,Bullish,8137.742436,8125.816233,8138.905967,8119.125924,8137.742436,8125.816233,8111.272084,08:05:00,08:25:00
2018-06-29,08:30:00,Bullish,8256.713577,8243.042077,8261.367705,8242.460311,8256.713577,8248.859736,8239.260598,08:05:00,08:25:00
2018-07-02,08:30:00,Bearish,8145.596276,8147.92334,8149.959521,8130.179478,8145.596276,8164.794553,8136.869787,08:05:00,08:25:00
2018-07-03,08:30:00,Bearish,8293.07395,8310.236047,8311.981345,8286.965408,8293.07395,8317.799004,8309.072515,08:05:00,08:25:00
2018-07-05,08:30:00,Bullish,8244.205609,8236.933534,8250.023268,8235.479119,8244.205609,8245.369141,8233.152055,08:05:00,08:25:00
2018-07-06,08:30:00,Bearish,8298.309844,8303.545738,8309.072515,8288.419823,8298.309844,8311.399579,8290.746887,08:05:00,08:25:00
2018-07-09,08:30:00,Bullish,8467.312859,8457.422838,8468.767274,8454.223125,8467.312859,8458.004604,8452.186944,08:05:00,08:25:00
2018-07-10,08:30:00,Bearish,8488.8382,8499.600871,8504.254999,8485.347605,8488.8382,8507.745595,8496.982924,08:05:00,08:25:00
2018-07-11,08:30:00,Bullish,8449.568997,8428.334539,8451.314295,8421.353348,8449.568997,8432.406901,8422.51688,08:05:00,08:25:00
2018-07-12,08:30:00,Bullish,8494.65586,8487.092903,8497.56469,8480.111711,8494.65586,8491.165264,8483.602307,08:05:00,08:25:00
2018-07-13,08:30:00,Bullish,8602.282565,8593.556076,8605.482278,8591.810778,8602.282565,8594.428725,8589.483714,08:05:00,08:25:00
2018-07-16,08:30:00,Bullish,8613.045236,8603.73698,8616.535832,8599.664618,8613.045236,8608.391108,8602.573448,08:05:00,08:25:00
2018-07-17,08:30:00,Bullish,8511.527073,8490.001732,8513.854137,8488.547317,8511.527073,8498.146456,8485.056722,08:05:00,08:25:00
2018-07-19,08:30:00,Bullish,8602.282565,8585.993118,8603.73698,8581.048107,8602.282565,8588.611065,8583.375171,08:05:00,08:25:00
2018-07-23,08:30:00,Bullish,8548.469213,8540.324489,8556.613936,8540.324489,8548.469213,8545.851266,8539.742723,08:05:00,08:25:00
2018-07-24,08:30:00,Bullish,8684.020685,8683.438919,8690.42011,8682.56627,8684.020685,8687.220397,8678.784791,08:05:00,08:25:00
2018-07-25,08:30:00,Bullish,8646.787662,8632.825279,8651.150907,8629.0438,8646.787662,8636.315875,8626.13497,08:05:00,08:25:00
2018-07-26,08:30:00,Bullish,8645.333247,8631.370864,8654.059737,8625.553204,8645.333247,8633.697928,8614.499651,08:05:00,08:25:00
2018-07-27,08:30:00,Bearish,8657.25945,8673.548897,8676.457727,8656.968567,8657.25945,8676.74861,8669.185652,08:05:00,08:25:00
2018-07-30,08:30:00,Bearish,8472.548753,8500.182637,8503.964116,8470.803455,8472.548753,8504.545882,8490.001732,08:05:00,08:25:00
2018-07-31,08:30:00,Bullish,8443.751338,8408.554496,8444.623987,8404.191251,8443.751338,8428.334539,8388.192687,08:05:00,08:25:00
2018-08-01,08:30:00,Bullish,8467.312859,8460.622551,8474.003168,8439.09721,8467.312859,8464.985796,8457.422838,08:05:00,08:25:00
2018-08-02,08:30:00,Bullish,8427.752773,8410.008911,8428.043656,8406.227432,8427.752773,8412.045092,8399.537124,08:05:00,08:25:00
2018-08-03,08:30:00,Bearish,8585.120469,8599.082852,8609.845523,8584.829586,8585.120469,8611.009055,8596.755789,08:05:00,08:25:00
2018-08-06,08:30:00,Bullish,8613.045236,8607.809342,8615.081417,8595.592257,8613.045236,8610.718172,8606.354927,08:05:00,08:25:00
2018-08-07,08:30:00,Bullish,8702.05543,8686.929514,8702.928079,8683.729802,8702.05543,8688.383929,8682.857153,08:05:00,08:25:00
2018-08-08,08:30:00,Bearish,8673.83978,8683.729802,8686.929514,8659.586514,8673.83978,8683.729802,8674.712429,08:05:00,08:25:00
2018-08-09,08:30:00,Bearish,8694.201589,8699.437483,8708.745738,8693.619823,8694.201589,8704.673377,8696.819536,08:05:00,08:25:00
2018-08-10,08:30:00,Bullish,8649.114726,8637.77029,8652.605322,8632.534396,8649.114726,8643.006183,8631.079981,08:05:00,08:25:00
2018-08-13,08:30:00,Bullish,8658.132099,8645.915013,8659.877397,8641.842651,8658.132099,8651.732673,8644.460598,08:05:00,08:25:00
2018-08-14,08:30:00,Bearish,8652.023556,8653.187088,8662.495344,8645.915013,8652.023556,8658.132099,8651.150907,08:05:00,08:25:00
2018-08-16,08:30:00,Bullish,8632.243513,8630.498215,8635.443226,8620.026427,8632.243513,8633.988811,8616.826715,08:05:00,08:25:00
2018-08-17,08:30:00,Bearish,8558.359234,8571.158086,8572.903384,8550.796277,8558.359234,8572.321618,8563.595128,08:05:00,08:25:00
2018-08-20,08:30:00,Bearish,8608.972874,8616.244949,8618.572013,8599.955501,8608.972874,8620.026427,8611.881704,08:05:00,08:25:00
2018-08-21,08:30:00,Bullish,8623.807906,8613.336119,8625.553204,8608.100225,8623.807906,8615.3723,8608.391108,08:05:00,08:25:00
2018-08-22,08:30:00,Bullish,8619.444661,8599.373735,8619.444661,8596.755789,8619.444661,8602.573448,8592.101661,08:05:00,08:25:00
2018-08-23,08:30:00,Bullish,8656.968567,8636.606758,8658.132099,8636.024992,8656.968567,8641.842651,8631.079981,08:05:00,08:25:00
2018-08-24,08:30:00,Bullish,8674.130663,8665.695056,8680.530089,8663.658875,8674.130663,8668.02212,8661.622695,08:05:00,08:25:00
2018-08-27,08:30:00,Bullish,8766.922336,8762.849974,8773.612644,8761.977325,8766.922336,8766.631453,8761.395559,08:05:00,08:25:00
2018-08-29,08:30:00,Bullish,8838.188667,8833.243657,8839.933965,8830.334827,8838.188667,8834.407189,8828.298646,08:05:00,08:25:00
2018-08-30,08:30:00,Bullish,8909.454999,8902.473808,8915.563542,8899.855861,8909.454999,8908.58235,8899.564978,08:05:00,08:25:00
2018-08-31,08:30:00,Bullish,8908.873233,8891.420254,8912.072946,8890.256722,8908.873233,8894.038201,8883.857296,08:05:00,08:25:00
2018-09-04,08:30:00,Bearish,8882.111998,8887.057009,8897.237914,8880.948467,8882.111998,8891.420254,8881.530233,08:05:00,08:25:00
2018-09-05,08:30:00,Bearish,8839.933965,8860.586657,8861.459306,8839.352199,8839.933965,8871.349328,8855.059881,08:05:00,08:25:00
2018-09-06,08:30:00,Bearish,8757.032314,8761.104676,8771.867347,8749.178474,8757.032314,8772.15823,8759.941144,08:05:00,08:25:00
2018-09-07,08:30:00,Bullish,8636.606758,8617.699364,8637.77029,8612.46347,8636.606758,8621.480842,8601.991682,08:05:00,08:25:00
2018-09-10,08:30:00,Bearish,8671.512716,8692.747174,8699.437483,8666.276822,8671.512716,8702.05543,8689.547461,08:05:00,08:25:00
2018-09-11,08:30:00,Bearish,8627.007619,8636.897641,8644.751481,8615.3723,8627.007619,8647.369428,8631.079981,08:05:00,08:25:00
2018-09-12,08:30:00,Bullish,8728.234899,8727.944016,8733.761675,8710.781919,8728.234899,8730.271079,8720.381058,08:05:00,08:25:00
2018-09-13,08:30:00,Bullish,8781.7286,8766.076961,8788.105193,8764.917581,8781.7286,8767.526187,8756.801916,08:05:00,08:25:00
2018-09-14,08:30:00,Bearish,8803.466987,8813.611567,8819.698316,8791.583335,8803.466987,8823.176457,8811.872496,08:05:00,08:25:00
2018-09-17,08:30:00,Bearish,8755.642536,8764.627736,8772.453555,8755.35269,8755.642536,8765.497271,8757.961297,08:05:00,08:25:00
2018-09-18,08:30:00,Bullish,8708.977465,8662.312395,8711.006381,8657.385027,8708.977465,8671.877285,8655.066266,08:05:00,08:25:00
2018-09-19,08:30:00,Bullish,8737.672136,8726.947865,8748.686252,8725.208794,8737.672136,8728.686936,8717.962665,08:05:00,08:25:00
2018-09-20,08:30:00,Bearish,8758.251142,8778.250458,8790.423955,8756.512071,8758.251142,8779.989529,8772.16371,08:05:00,08:25:00
2018-09-21,08:30:00,Bearish,8839.697631,8840.277322,8843.175773,8827.524135,8839.697631,8851.871128,8829.842896,08:05:00,08:25:00
2018-09-24,08:30:00,Bearish,8675.065582,8702.021181,8707.238394,8664.921001,8675.065582,8710.426691,8698.543039,08:05:00,08:25:00
2018-09-25,08:30:00,Bearish,8767.526187,8783.467671,8793.322406,8767.526187,8767.526187,8795.931013,8782.598135,08:05:00,08:25:00
2018-09-26,08:30:00,Bullish,8826.654599,8807.234974,8832.161657,8802.887296,8826.654599,8818.538935,8804.336522,08:05:00,08:25:00
2018-09-27,08:30:00,Bullish,8843.755464,8841.726548,8852.740664,8836.21949,8843.755464,8842.596083,8830.712432,08:05:00,08:25:00
2018-09-28,08:30:00,Bullish,8861.725863,8851.581283,8867.522767,8850.711747,8861.725863,8853.900044,8843.465619,08:05:00,08:25:00
2018-10-01,08:30:00,Bullish,8937.95514,8925.491798,8943.462198,8917.086289,8937.95514,8931.288701,8924.622263,08:05:00,08:25:00
2018-10-02,08:30:00,Bullish,8886.362702,8882.88456,8895.927592,8878.826728,8886.362702,8884.913476,8873.609515,08:05:00,08:25:00
2018-10-03,08:30:00,Bullish,8917.955824,8909.84016,8919.98474,8901.43465,8917.955824,8914.187837,8909.550315,08:05:00,08:25:00
2018-10-04,08:30:00,Bearish,8823.756148,8844.624999,8849.262522,8814.770948,8823.756148,8849.552367,8837.958561,08:05:00,08:25:00
2018-10-05,08:30:00,Bearish,8692.746136,8706.948549,8711.586072,8679.992949,8692.746136,8721.440807,8697.383659,08:05:00,08:25:00
2018-10-08,08:30:00,Bearish,8548.693093,8563.765041,8571.880705,8532.171919,8548.693093,8585.503428,8561.44628,08:05:00,08:25:00
2018-10-09,08:30:00,Bullish,8574.199467,8557.098602,8577.097918,8535.07037,8574.199467,8557.098602,8541.736809,08:05:00,08:25:00
2018-10-10,08:30:00,Bearish,8503.477248,8525.215635,8528.693777,8498.839726,8503.477248,8531.882074,8518.549196,08:05:00,08:25:00
2018-10-11,08:30:00,Bullish,8175.662374,8162.619342,8206.675806,8147.257549,8175.662374,8191.603858,8146.967704,08:05:00,08:25:00
2018-10-12,08:30:00,Bearish,8271.890967,8303.194244,8316.527121,8269.862051,8271.890967,8308.991147,8278.557405,08:05:00,08:25:00
2018-10-15,08:30:00,Bearish,8258.558089,8287.83245,8302.324708,8257.978399,8258.558089,8300.295792,8278.847251,08:05:00,08:25:00
2018-10-16,08:30:00,Bullish,8301.745018,8301.165328,8315.947431,8291.600438,8301.745018,8301.165328,8285.223844,08:05:00,08:25:00
2018-10-17,08:30:00,Bearish,8461.739545,8499.419416,8504.056938,8457.971558,8461.739545,8503.187403,8475.652113,08:05:00,08:25:00
2018-10-18,08:30:00,Bearish,8390.147791,8424.92921,8429.276888,8385.800114,8390.147791,8440.870694,8422.030759,08:05:00,08:25:00
2018-10-19,08:30:00,Bullish,8324.35294,8318.556037,8342.613185,8314.20836,8324.35294,8335.367056,8312.469289,08:05:00,08:25:00
2018-10-22,08:30:00,Bullish,8322.613869,8301.745018,8326.961547,8296.81765,8322.613869,8304.933315,8287.83245,08:05:00,08:25:00
2018-10-23,08:30:00,Bullish,8148.99662,8146.098168,8160.300581,8116.244117,8148.99662,8150.156,8126.968388,08:05:00,08:25:00
2018-10-24,08:30:00,Bearish,8243.486141,8255.949483,8267.543289,8235.660322,8243.486141,8282.035547,8255.369793,08:05:00,08:25:00
2018-10-26,08:30:00,Bullish,7902.048545,7873.933565,7926.105693,7872.194494,7902.048545,7893.643035,7851.905333,08:05:00,08:25:00
2018-10-29,08:30:00,Bearish,8041.753911,8060.593847,8079.723627,8040.884376,8041.753911,8085.230685,8058.854776,08:05:00,08:25:00
2018-10-30,08:30:00,Bullish,7783.21203,7761.473643,7795.385527,7722.634392,7783.21203,7779.733888,7724.373463,08:05:00,08:25:00
2018-10-31,08:30:00,Bullish,8047.260969,8031.899176,8057.40555,8031.319486,8047.260969,8039.43515,8018.566299,08:05:00,08:25:00
